 	il	a	beaucoup	d'	appétit	</S>
a10	0.262131	0.206022	0.149806	0.120748	0.140167	0.121126
a87	0.298731	0.166689	0.148588	0.124166	0.133272	0.128553
a30	0.253718	0.149577	0.14165	0.137433	0.155763	0.16186
a53	0.23792	0.148539	0.129165	0.131601	0.165401	0.187374
a20	0.309203	0.266866	0.171716	0.106148	0.0831129	0.062954
a14	0.424601	0.314779	0.152102	0.0537089	0.0340499	0.020759
a35	0.446727	0.305123	0.135325	0.0542785	0.0371251	0.0214217
a26	0.46953	0.265067	0.127991	0.0646995	0.0454787	0.0272338
a24	0.441486	0.271446	0.140401	0.0704666	0.0476834	0.0285163
a35	0.446468	0.271544	0.138321	0.0731915	0.0467634	0.0237122
a14	0.343431	0.250614	0.164697	0.111028	0.084508	0.0457226
a73	0.25074	0.201297	0.171425	0.148738	0.143826	0.0839741
a57	0.150667	0.140374	0.158998	0.180888	0.22347	0.145602
a53	0.0670719	0.0786326	0.121605	0.16586	0.304162	0.262669
a76	0.0784674	0.0902937	0.12997	0.189269	0.267318	0.244683
a94	0.0390084	0.0477929	0.0887266	0.201824	0.301366	0.321282
a32	0.0179855	0.0225858	0.0437871	0.116748	0.29654	0.502353
a76	0.0122037	0.0187974	0.0400517	0.115346	0.276344	0.537257
a44	0.0113501	0.0183981	0.0409096	0.125425	0.288413	0.515505
a57	0.00764502	0.0113762	0.0246524	0.0713762	0.231848	0.653103
a38	0.00404153	0.00671503	0.0171604	0.0558368	0.239525	0.676721
a75	0.00285759	0.00447249	0.0112645	0.0458335	0.234915	0.700657
a41	0.00354782	0.00668779	0.0179863	0.0635473	0.215034	0.693197
a94	0.00562128	0.00862703	0.0215029	0.071491	0.242268	0.65049
a24	0.00336271	0.00549974	0.0154515	0.0506271	0.220917	0.704142
a41	0.00634681	0.00960496	0.0230413	0.0620713	0.227348	0.671588
a35	0.0124778	0.0179331	0.0356548	0.0728904	0.232469	0.628575
a20	0.013365	0.0186419	0.0365515	0.0728186	0.229506	0.629117
a44	0.041432	0.0622855	0.102592	0.145664	0.252075	0.395952
a57	0.0170708	0.0229713	0.0431754	0.0868522	0.240606	0.589325
a87	0.0350166	0.0467208	0.0687273	0.113721	0.248783	0.487031
a23	0.0612474	0.0692928	0.0851248	0.1498	0.257112	0.377423
a87	0.117245	0.115475	0.118951	0.166248	0.209474	0.272607
</S>	0.0956684	0.0965132	0.114313	0.167814	0.225615	0.300076
