 	il	est	venu	demander	son	dû	</S>
a66	0.410761	0.337685	0.173017	0.0490164	0.0153055	0.00806401	0.00615107
a87	0.425195	0.349523	0.168111	0.0367701	0.0116071	0.00458768	0.00420519
a23	0.574043	0.305585	0.0876247	0.0144109	0.00712748	0.00479401	0.00641534
a53	0.439317	0.266339	0.112682	0.0330655	0.0313528	0.0462692	0.0709753
a15	0.372714	0.313807	0.154125	0.0722568	0.0381289	0.024804	0.0241645
a6	0.192063	0.298917	0.283921	0.126991	0.0487181	0.0263817	0.0230089
a37	0.157138	0.222841	0.323617	0.205041	0.0608892	0.0190093	0.0114648
a56	0.222103	0.251765	0.276751	0.142767	0.0524728	0.0307588	0.0233817
a93	0.161266	0.194546	0.275386	0.183198	0.07756	0.0592887	0.0487555
a56	0.115653	0.14418	0.261978	0.243661	0.108812	0.0676445	0.0580712
a94	0.0945961	0.116987	0.230414	0.259256	0.130477	0.0883994	0.0798705
a34	0.0778382	0.0950481	0.172797	0.227127	0.159294	0.133283	0.134612
a56	0.0714522	0.06766	0.110323	0.178572	0.167381	0.182892	0.22172
a96	0.0373778	0.0322141	0.0386599	0.080812	0.188835	0.295991	0.32611
a62	0.016771	0.0132573	0.0152279	0.0299213	0.0860234	0.311284	0.527515
a56	0.0122758	0.01139	0.0132168	0.0244446	0.0606573	0.251815	0.626201
a96	0.00386127	0.00271528	0.00317239	0.00750214	0.0322189	0.244259	0.706271
a66	0.00311942	0.00278878	0.00406662	0.0122413	0.0424131	0.240726	0.694645
a9	0.0425026	0.0368434	0.0398703	0.0768802	0.121822	0.254768	0.427314
a99	0.230625	0.203252	0.136834	0.0803476	0.070984	0.112518	0.165438
a87	0.259795	0.248259	0.136756	0.0726562	0.0789556	0.0918708	0.111707
a23	0.366921	0.315421	0.156494	0.0494869	0.0348847	0.036057	0.0407354
a99	0.224996	0.170951	0.104541	0.036255	0.0615674	0.150697	0.250991
a87	0.0988668	0.073458	0.0490935	0.0310114	0.0770336	0.244206	0.426331
</S>	0.0480951	0.0298934	0.0174633	0.0146788	0.0660372	0.264462	0.559371
