 	on	dit	que	ce	sorcier	s'	est	repenti	</S>
a66	0.0834865	0.100991	0.0966938	0.166143	0.267498	0.231089	0.0429497	0.00753571	0.00361325
a87	0.403869	0.237508	0.114261	0.0891499	0.0931619	0.0453872	0.00882292	0.00324341	0.00459646
a23	0.417798	0.224382	0.118662	0.076981	0.0692546	0.0527857	0.0217235	0.0105583	0.00785476
a87	0.443003	0.195365	0.101453	0.0699547	0.0487198	0.0355161	0.0316705	0.0307292	0.0435888
a23	0.383882	0.206551	0.123647	0.0895024	0.0530412	0.036873	0.0401581	0.0379339	0.0284124
a87	0.371426	0.189428	0.0953174	0.0685658	0.0511547	0.0479737	0.0513716	0.0611545	0.0636084
a23	0.346158	0.180785	0.104267	0.0776342	0.05431	0.0483379	0.0610522	0.0673052	0.0601508
a79	0.322528	0.172261	0.0856962	0.0667129	0.0538158	0.0567643	0.0651813	0.0845604	0.0924806
a15	0.22247	0.209185	0.113783	0.0964874	0.0996716	0.0949669	0.0431821	0.0585628	0.0616912
a79	0.202906	0.209583	0.108911	0.0905371	0.110015	0.102862	0.0521584	0.0621453	0.0608829
a5	0.287404	0.263289	0.140589	0.0998994	0.0828369	0.0512001	0.0319603	0.0246168	0.0182048
a12	0.232388	0.199173	0.125728	0.115847	0.105346	0.0809951	0.0558867	0.0410609	0.043575
a96	0.243672	0.17908	0.113744	0.111207	0.109874	0.0959058	0.0680961	0.0362836	0.0421373
a31	0.175811	0.142016	0.116313	0.135097	0.124532	0.107464	0.0821702	0.0509588	0.0656387
a62	0.130903	0.121345	0.116728	0.151665	0.151094	0.119192	0.0773419	0.0525827	0.0791484
a34	0.099808	0.10368	0.116717	0.166315	0.176964	0.156967	0.0965133	0.0383288	0.0447064
a98	0.0936422	0.0974417	0.117487	0.175367	0.174554	0.15624	0.0883768	0.0427677	0.0541235
a79	0.0562939	0.069781	0.102288	0.148333	0.13188	0.102118	0.0695998	0.088547	0.23116
a90	0.0461349	0.0623721	0.0870898	0.131728	0.126702	0.106716	0.0651335	0.0888124	0.285311
a15	0.0342993	0.0453506	0.0644249	0.132154	0.146499	0.129225	0.0797281	0.0935964	0.274722
a98	0.0188085	0.027314	0.0398357	0.0875663	0.107293	0.120766	0.0866822	0.11931	0.392424
a85	0.01475	0.0234894	0.036264	0.0739037	0.0923774	0.10579	0.0786345	0.155801	0.418991
a92	0.00440419	0.00658372	0.0100823	0.0222212	0.0313947	0.0436474	0.0422066	0.173731	0.665729
a37	0.00502452	0.00648398	0.0108372	0.0256058	0.0356058	0.0560112	0.0716627	0.248295	0.540473
a75	0.00619764	0.00718889	0.00843033	0.0123774	0.0153791	0.0243311	0.055154	0.262465	0.608477
a5	0.000973071	0.00111026	0.00147987	0.00318447	0.00439806	0.0104417	0.0447331	0.335611	0.598069
a75	0.00166339	0.00184918	0.00217048	0.00332421	0.00427982	0.00833753	0.0360687	0.342182	0.600124
a56	0.000565772	0.000621949	0.000724688	0.00129478	0.0017907	0.00441733	0.0279281	0.347895	0.614761
a93	0.000745186	0.000735413	0.000872966	0.00126357	0.00173799	0.00413357	0.0297112	0.301652	0.659148
a4	0.0017226	0.0017929	0.00206693	0.00253793	0.00352128	0.0067617	0.043442	0.323068	0.615087
a61	0.00142101	0.00140157	0.00156799	0.00207347	0.00275502	0.00494027	0.024981	0.253618	0.707241
a21	0.00174156	0.00173994	0.00199066	0.00298563	0.0041438	0.00665239	0.0285363	0.257641	0.694569
a47	0.000531443	0.000568152	0.000598739	0.000856249	0.00133461	0.00307887	0.0174642	0.236185	0.739383
a96	0.00141548	0.00153725	0.00158061	0.00231804	0.00345558	0.00610224	0.0245475	0.370856	0.588187
a66	0.000719031	0.00087008	0.000947729	0.0015595	0.00247909	0.00437701	0.0146654	0.332261	0.642121
a9	0.00370858	0.00422398	0.00353302	0.00497969	0.0107364	0.0237746	0.08607	0.414247	0.448726
a82	0.0323097	0.0248853	0.0175995	0.0158474	0.0304628	0.0578763	0.145458	0.346554	0.329007
a87	0.12022	0.102244	0.0909413	0.0901644	0.142927	0.150653	0.132596	0.123698	0.0465559
a23	0.0994517	0.0954346	0.0939028	0.0966681	0.13195	0.156062	0.164953	0.115623	0.0459552
a97	0.0959586	0.0411571	0.0262279	0.0188625	0.0226965	0.0278041	0.0454166	0.183995	0.537881
</S>	0.042947	0.0226843	0.0214386	0.0263221	0.0342921	0.0423351	0.0363203	0.128808	0.644853
