 	on	ne	peut	pas	manger	autant	sans	être	malade	</S>
a40	0.350242	0.168284	0.0815947	0.0651485	0.0540662	0.0366637	0.0529141	0.056453	0.0607755	0.0738579
a73	0.265317	0.106395	0.0686153	0.0562839	0.0341223	0.0296777	0.0548767	0.060531	0.107872	0.21631
a44	0.447858	0.256811	0.123469	0.049291	0.0301728	0.021366	0.0188257	0.0140442	0.0159412	0.0222207
a38	0.436684	0.262922	0.139397	0.059925	0.0368613	0.0175335	0.013381	0.00884118	0.00972232	0.0147326
a15	0.258572	0.224576	0.191796	0.134902	0.0967311	0.034252	0.0213613	0.0120444	0.0110959	0.014669
a69	0.184025	0.194881	0.197877	0.150468	0.113441	0.0548086	0.0391049	0.0220247	0.0193146	0.0240555
a90	0.107633	0.116803	0.149811	0.181139	0.165294	0.0980908	0.0648333	0.0392192	0.0352966	0.0418796
a25	0.0944334	0.0934473	0.109852	0.138705	0.143624	0.123975	0.0905062	0.0601493	0.062488	0.0828195
a44	0.110398	0.109971	0.123032	0.151051	0.143967	0.100144	0.0809061	0.0586787	0.0546348	0.0672165
a15	0.109829	0.0990623	0.10559	0.127826	0.146985	0.119681	0.0937528	0.064445	0.0604266	0.0724022
a44	0.0754205	0.0658031	0.0680412	0.0687623	0.0778191	0.122796	0.139636	0.121032	0.115384	0.145306
a57	0.0858325	0.0720682	0.0784884	0.0844709	0.0942555	0.12162	0.129089	0.101836	0.100125	0.132214
a38	0.0733548	0.0583154	0.0714029	0.105268	0.155544	0.152684	0.118201	0.0697784	0.077916	0.117535
a98	0.0778265	0.059844	0.0710525	0.0940904	0.131611	0.138681	0.122989	0.0845464	0.0890955	0.130263
a73	0.0452542	0.0388597	0.0472098	0.0565671	0.0708261	0.110318	0.136631	0.141543	0.15649	0.196301
a44	0.0399627	0.031741	0.039493	0.0492152	0.062144	0.108414	0.142241	0.147847	0.160378	0.218565
a57	0.0477524	0.0351473	0.044222	0.0552741	0.0686871	0.097327	0.128388	0.134966	0.165661	0.222575
a38	0.030673	0.0185584	0.0223668	0.0331765	0.0567113	0.128708	0.161553	0.143392	0.172973	0.231887
a53	0.0346098	0.0224528	0.0257106	0.0331185	0.0502292	0.098083	0.136572	0.13772	0.196224	0.26528
a4	0.0300161	0.0228228	0.0284954	0.0351129	0.0451222	0.0754866	0.107436	0.140213	0.211675	0.30362
a57	0.0390406	0.0287933	0.0357901	0.0430753	0.0524464	0.0892923	0.121351	0.141461	0.192542	0.256208
a3	0.0400218	0.0244893	0.0301986	0.0390143	0.0479817	0.084386	0.136153	0.145843	0.186843	0.265069
a87	0.0223856	0.0120512	0.0133514	0.0183896	0.0267755	0.0673357	0.15214	0.15713	0.204852	0.325588
a23	0.0262974	0.0110721	0.00818932	0.00887826	0.0112816	0.0268857	0.0709483	0.117806	0.242956	0.475685
a53	0.0139162	0.00577788	0.00364218	0.00397502	0.00521866	0.0128652	0.0283625	0.0606299	0.210698	0.654914
a90	0.0319051	0.0152055	0.0113343	0.0101341	0.0129134	0.0317312	0.0507582	0.0756723	0.193852	0.566494
a53	0.0371182	0.0207617	0.020341	0.0213283	0.0243869	0.0448901	0.0753181	0.100765	0.18854	0.466551
a90	0.0169822	0.00915232	0.0096018	0.0120605	0.0168347	0.034892	0.0620915	0.0856823	0.194175	0.558528
a15	0.0181248	0.0110669	0.012573	0.0165711	0.0228102	0.0518884	0.0906194	0.109658	0.19694	0.469748
a73	0.00338069	0.00217153	0.00315258	0.00556223	0.00867343	0.0264842	0.0602893	0.0959069	0.217865	0.576514
a90	0.00254148	0.001659	0.00227079	0.00380083	0.00556052	0.0204512	0.0533763	0.0976973	0.229504	0.583139
a13	0.00731294	0.00476839	0.00603392	0.00986802	0.0157961	0.0473143	0.0991026	0.136862	0.22553	0.447411
a98	0.00314095	0.00178613	0.00233746	0.00373872	0.00593803	0.0152582	0.0407092	0.0799195	0.207698	0.639473
a73	0.0049907	0.00279546	0.00363434	0.00593438	0.00893591	0.0223876	0.0506966	0.0937824	0.217924	0.588918
a84	0.00343525	0.00203953	0.00277005	0.00443645	0.00659857	0.0170106	0.0420384	0.081681	0.206915	0.633075
a40	0.00118924	0.000615122	0.000633011	0.000793737	0.00106262	0.00387015	0.0169689	0.0672546	0.237833	0.669779
a54	0.0147311	0.0078961	0.00808919	0.0108534	0.0136741	0.0283325	0.0560176	0.0932633	0.206033	0.56111
a73	0.00554765	0.00344721	0.00398714	0.00591319	0.00731398	0.014908	0.0292818	0.0596735	0.183723	0.686205
a84	0.00167368	0.00126716	0.00165878	0.00263444	0.00356593	0.00855426	0.0219048	0.0513301	0.191849	0.715562
a57	0.000589446	0.000336571	0.000335962	0.000463043	0.000580689	0.00195603	0.0103223	0.0507507	0.239169	0.695497
a87	0.00509348	0.00197611	0.00118991	0.00134466	0.00139173	0.00431599	0.0175851	0.0683233	0.233982	0.664798
</S>	0.0211464	0.0083478	0.00412832	0.00374705	0.00353094	0.0104162	0.0294758	0.074952	0.212127	0.632128
