 	le	sol	durcit	pendant	la	saison	sèche	</S>
a66	0.129505	0.0857263	0.108221	0.198085	0.262429	0.161776	0.0381002	0.0161569
a87	0.0712831	0.0866242	0.1663	0.199485	0.23148	0.170983	0.0465812	0.0272634
a23	0.314271	0.268884	0.192189	0.0912975	0.0517456	0.0359239	0.0228918	0.0227974
a40	0.349466	0.382236	0.173112	0.0669248	0.0161896	0.004573	0.0032394	0.00425912
a27	0.447368	0.254613	0.13037	0.0732707	0.0400369	0.019835	0.0162338	0.0182727
a10	0.389751	0.198928	0.0806892	0.0626682	0.0649156	0.0660677	0.0658122	0.0711678
a83	0.376968	0.188312	0.101759	0.0761177	0.0685145	0.0617167	0.0610011	0.0656118
a21	0.259753	0.156706	0.1034	0.100352	0.0834843	0.0939209	0.0979272	0.104458
a12	0.154424	0.205158	0.193969	0.170846	0.0850523	0.076899	0.0604559	0.0531965
a18	0.136962	0.203986	0.201548	0.201363	0.100244	0.0700128	0.0452586	0.0406259
a38	0.101365	0.146099	0.125	0.158197	0.125967	0.113149	0.108064	0.122159
a21	0.0721445	0.112191	0.124037	0.147486	0.1215	0.115278	0.142959	0.164404
a62	0.0782674	0.152413	0.209337	0.238885	0.139398	0.0768728	0.0538683	0.0509577
a21	0.0541495	0.127486	0.18156	0.21452	0.147515	0.0937196	0.0840567	0.0969941
a47	0.068504	0.116326	0.192921	0.211791	0.165168	0.117515	0.0706927	0.0570816
a83	0.0440511	0.0877051	0.139588	0.210154	0.193744	0.124693	0.0965335	0.103532
a98	0.0307309	0.0593548	0.0860838	0.142271	0.162088	0.135251	0.181307	0.202914
a73	0.0278418	0.0456984	0.0597242	0.0796792	0.111233	0.116587	0.226444	0.332793
a35	0.0188438	0.0285807	0.0450183	0.0597385	0.0673785	0.0829776	0.239085	0.458377
a98	0.0122358	0.0164282	0.0208676	0.023009	0.0296718	0.0485732	0.238833	0.610381
a92	0.0243443	0.0303149	0.0346093	0.0338568	0.0367016	0.055801	0.224578	0.559794
a34	0.0137341	0.0169215	0.0213938	0.026483	0.0353172	0.0603498	0.245677	0.580124
a47	0.00495875	0.0078898	0.00862017	0.00840634	0.0139662	0.0334159	0.214906	0.707837
a83	0.0025999	0.00382373	0.00388626	0.00349988	0.00828592	0.0341494	0.236918	0.706837
a30	0.00172286	0.00262769	0.00320783	0.00285026	0.00668286	0.0263159	0.213298	0.743295
a93	0.0077936	0.00734744	0.00814421	0.00564349	0.0121578	0.0467032	0.24601	0.666201
a56	0.000855511	0.00105699	0.00123411	0.0014596	0.00376543	0.0190502	0.172238	0.80034
a21	0.00111919	0.00138569	0.00183339	0.00220271	0.00559896	0.0234047	0.179813	0.784643
a41	0.00336761	0.00315062	0.00344735	0.00590947	0.0166384	0.0540329	0.225708	0.687746
a27	0.00228327	0.00220968	0.00231453	0.00302151	0.00672092	0.0238286	0.217139	0.742482
a57	0.00720328	0.00673255	0.00846114	0.00574361	0.0140614	0.0529609	0.247539	0.657298
a10	0.132764	0.0697743	0.0796113	0.0498343	0.0684623	0.0964144	0.191966	0.311174
a87	0.284332	0.136495	0.139223	0.0861435	0.0783868	0.0646349	0.0819654	0.128819
a23	0.189829	0.118993	0.130355	0.0925035	0.0924864	0.0936607	0.110887	0.171286
a87	0.0660642	0.0496234	0.0853742	0.056878	0.0546116	0.0712268	0.161182	0.45504
</S>	0.0142307	0.0123277	0.0258023	0.0217264	0.0288018	0.0607123	0.200744	0.635655
