 	l'	arête	du	poisson	s'	est	coincée	dans	sa	gorge	</S>
a23	0.499911	0.218398	0.110395	0.0504442	0.0260844	0.019169	0.0128934	0.0156808	0.0164766	0.0149784	0.015569
a87	0.352212	0.255756	0.183899	0.0958556	0.0371981	0.0138138	0.00538718	0.00819348	0.0112906	0.0180073	0.0183865
a23	0.212687	0.177589	0.160435	0.116374	0.0688108	0.0369626	0.020499	0.0317402	0.0443051	0.0615466	0.06905
a38	0.32429	0.275189	0.115112	0.0541125	0.0291214	0.0203322	0.019636	0.0280869	0.0279453	0.0410256	0.0651493
a41	0.478517	0.331103	0.0938043	0.0356847	0.0184711	0.00979188	0.00847511	0.0107504	0.00560889	0.00367641	0.00411697
a27	0.342024	0.336833	0.130264	0.0764367	0.0413297	0.0216512	0.0159618	0.0143738	0.00868556	0.00593867	0.00650265
a94	0.269459	0.276862	0.13518	0.103856	0.0699162	0.0424038	0.0330907	0.0265111	0.0167023	0.0123575	0.0136629
a76	0.200752	0.193482	0.146852	0.126725	0.0911068	0.0691425	0.0614113	0.0449307	0.0290085	0.0192548	0.0173346
a41	0.12944	0.149849	0.145874	0.127805	0.101599	0.0832453	0.0777434	0.0712055	0.0504569	0.0356035	0.0271773
a73	0.0987751	0.151714	0.160847	0.14123	0.111814	0.0848795	0.0769159	0.0634096	0.0456494	0.0365647	0.0282011
a0	0.068381	0.113706	0.173965	0.168816	0.129293	0.0932366	0.0843776	0.0672206	0.0423018	0.0333719	0.0253301
a11	0.0447293	0.0662815	0.108423	0.127261	0.130037	0.112409	0.111115	0.10487	0.0733924	0.0665192	0.0549634
a56	0.0410777	0.0544775	0.0844768	0.108114	0.11352	0.103304	0.110744	0.118078	0.0889053	0.0941768	0.0831249
a75	0.0378466	0.0568348	0.0881711	0.106028	0.108338	0.0932712	0.0926931	0.116277	0.0994753	0.110077	0.0909888
a41	0.0263056	0.0344934	0.0412836	0.05628	0.0733811	0.0827952	0.106434	0.146338	0.14233	0.1554	0.134958
a18	0.0258622	0.0350144	0.0407805	0.0487913	0.0623829	0.0763208	0.0866768	0.142395	0.142318	0.186728	0.15273
a41	0.0268104	0.0354405	0.0361201	0.0359393	0.0433639	0.0656511	0.0775001	0.123737	0.132588	0.217468	0.205382
a94	0.015508	0.0199537	0.0216433	0.0249431	0.0379633	0.0646336	0.09232	0.145667	0.158913	0.215121	0.203334
a76	0.0134552	0.0171721	0.0190737	0.0198707	0.0267042	0.0502899	0.0738237	0.122379	0.146543	0.255275	0.255413
a73	0.0151801	0.01583	0.0153918	0.0140384	0.0196264	0.0374939	0.0531718	0.108006	0.141037	0.274696	0.305528
a30	0.00692247	0.00895198	0.00892512	0.00864265	0.0128929	0.0260115	0.0391853	0.0905116	0.137986	0.310554	0.349416
a73	0.0042388	0.00617037	0.00554491	0.00502845	0.00561966	0.00975947	0.0151593	0.0428998	0.0842032	0.343649	0.477727
a20	0.0017289	0.00246254	0.00203013	0.00169286	0.00168583	0.00256988	0.00378292	0.0222954	0.0683805	0.356801	0.53657
a94	0.0054056	0.00701472	0.00528322	0.00366243	0.00394812	0.00596111	0.00997824	0.0554163	0.11865	0.339663	0.445017
a20	0.00139776	0.00169908	0.00145852	0.00149905	0.00252568	0.00523554	0.00953712	0.0533489	0.109399	0.322613	0.491287
a94	0.00502003	0.00573053	0.00426167	0.00402251	0.00603388	0.00922751	0.0142778	0.070519	0.129278	0.316133	0.435496
a53	0.00177036	0.00225888	0.00188233	0.00177396	0.00263558	0.00460672	0.00810218	0.050346	0.109146	0.316893	0.500585
a94	0.0035163	0.0036577	0.00274942	0.00226418	0.00288777	0.00451326	0.00778663	0.0536946	0.11072	0.321949	0.486261
a54	0.00324021	0.00399934	0.00270662	0.00197353	0.00233323	0.00342406	0.00534449	0.037062	0.0954449	0.316241	0.528231
a73	0.00628064	0.00769785	0.00582137	0.0052725	0.00665676	0.00874316	0.0110314	0.0581762	0.126293	0.314817	0.449209
a84	0.00413031	0.00512906	0.00336784	0.00214753	0.00228124	0.00312443	0.00471799	0.0382622	0.105759	0.309389	0.521692
a57	0.00204432	0.00283939	0.00242237	0.00173405	0.00143801	0.00171197	0.00222147	0.0227128	0.0897403	0.351899	0.521236
a87	0.0022299	0.00288045	0.00396435	0.00388114	0.00404881	0.00654769	0.00977905	0.0616721	0.165409	0.317857	0.42173
</S>	0.0030481	0.00550135	0.00920024	0.0107493	0.0124043	0.0204078	0.0286836	0.109933	0.176862	0.300379	0.322831
