 	je	cuis	de	la	viande	à	l'	étouffée	</S>
a66	0.364726	0.360309	0.129881	0.0625238	0.0335144	0.0215348	0.0130339	0.00814634	0.0063298
a23	0.427666	0.420928	0.0831434	0.0339633	0.0142986	0.0076064	0.00470328	0.00401433	0.00367717
a79	0.519991	0.33532	0.0772074	0.023805	0.00896271	0.00553736	0.00735148	0.0101689	0.0116563
a75	0.314284	0.231774	0.117161	0.0872695	0.0483327	0.039932	0.0413149	0.0560284	0.0639031
a85	0.187882	0.226511	0.199334	0.122139	0.065859	0.0577437	0.0482015	0.0461679	0.0461621
a5	0.13915	0.230979	0.161304	0.153092	0.129743	0.0858224	0.0468497	0.0306663	0.0223935
a12	0.20757	0.33676	0.198717	0.11582	0.0744158	0.035052	0.0148943	0.00944327	0.00732784
a43	0.0912668	0.191491	0.249215	0.212379	0.140443	0.0615738	0.025985	0.0156652	0.0119817
a21	0.0411464	0.104521	0.232568	0.272029	0.194542	0.0801978	0.0364233	0.0216123	0.01696
a12	0.0252859	0.0670406	0.155947	0.24134	0.232113	0.132581	0.0709144	0.0428352	0.0319429
a96	0.00893306	0.0217585	0.0760934	0.164092	0.232341	0.209622	0.145225	0.0805056	0.06143
a21	0.0114365	0.0190047	0.0555265	0.139433	0.217374	0.218181	0.173573	0.0954253	0.0700458
a12	0.00907571	0.0116687	0.0194666	0.0430978	0.110837	0.20944	0.257528	0.187016	0.15187
a75	0.00493944	0.005583	0.0148093	0.0378236	0.0869137	0.165678	0.260298	0.227993	0.195963
a6	0.000964326	0.00108448	0.0035547	0.0146418	0.0450174	0.127188	0.269901	0.277511	0.260137
a36	0.000786896	0.000633457	0.00158763	0.0061341	0.0179399	0.0601835	0.199608	0.328657	0.38447
a7	0.00551321	0.0035148	0.00245619	0.00340192	0.0069382	0.0203698	0.0996098	0.276004	0.582192
a26	0.00241564	0.00135785	0.000876443	0.00148104	0.0048922	0.0218597	0.118363	0.294162	0.554592
a57	0.0300652	0.0213139	0.00776357	0.00850637	0.0245521	0.0684657	0.144908	0.262162	0.432263
a87	0.214258	0.179197	0.0508621	0.0406055	0.0536153	0.0766826	0.0952786	0.125967	0.163534
a23	0.373936	0.351728	0.0951872	0.0474808	0.0302675	0.0263721	0.0241323	0.0248476	0.0260486
a87	0.0944305	0.0598411	0.0190305	0.0152231	0.0229994	0.0557868	0.170847	0.274078	0.287764
a23	0.0201436	0.0140264	0.00545446	0.00615603	0.0108726	0.0426374	0.184315	0.340117	0.376277
a10	0.0194385	0.0172803	0.00928226	0.0108801	0.0203056	0.0630444	0.206313	0.313036	0.34042
</S>	0.00505797	0.00639948	0.0053252	0.00853276	0.0210921	0.0758507	0.212159	0.325968	0.339614
