 	ils	ont	retrouvé	l'	ancien	village	</S>
a23	0.255399	0.201645	0.178217	0.0824484	0.0964291	0.0980946	0.0877669
a87	0.215851	0.213009	0.200299	0.116055	0.100404	0.0711058	0.083276
a23	0.223242	0.221757	0.197272	0.126787	0.0770531	0.062743	0.0911449
a87	0.128778	0.13136	0.195566	0.136217	0.136365	0.13141	0.140305
a10	0.137454	0.13668	0.188589	0.148609	0.138705	0.122621	0.127341
a87	0.125404	0.129946	0.179338	0.173495	0.179934	0.118968	0.0929143
a23	0.113404	0.140069	0.213901	0.178676	0.1569	0.107218	0.0898318
a57	0.0941039	0.117205	0.184709	0.162987	0.196689	0.138815	0.105491
a20	0.150251	0.155429	0.206086	0.169959	0.159206	0.0936871	0.0653815
a30	0.15689	0.201046	0.271833	0.184437	0.104497	0.047093	0.0342034
a35	0.237388	0.245051	0.249615	0.173606	0.0629539	0.0187651	0.0126207
a24	0.305202	0.290799	0.230462	0.112038	0.0389748	0.0131859	0.00933766
a25	0.318991	0.284204	0.21692	0.0992914	0.0455407	0.0215334	0.0135193
a84	0.158549	0.220097	0.214642	0.168879	0.117004	0.0708035	0.0500245
a4	0.0605238	0.0969814	0.137804	0.177117	0.204318	0.180022	0.143234
a35	0.124731	0.168114	0.187303	0.17837	0.183179	0.0990964	0.0592053
a83	0.200088	0.193964	0.182532	0.134491	0.124252	0.0916236	0.0730492
a66	0.123195	0.118694	0.116585	0.125665	0.19738	0.181762	0.136719
a75	0.0430903	0.05487	0.068497	0.11439	0.255665	0.263354	0.200134
a30	0.0410125	0.0435182	0.0511686	0.0795313	0.221892	0.295186	0.267692
a57	0.0354094	0.0360667	0.0440795	0.0602506	0.157972	0.28787	0.378351
a87	0.00387108	0.006707	0.0113961	0.0172931	0.0886861	0.320224	0.551823
a23	0.0028171	0.00346742	0.00578035	0.0149169	0.122847	0.335864	0.514307
a53	0.00632108	0.00706552	0.0118081	0.0288423	0.142562	0.357691	0.44571
a76	0.0103547	0.0194986	0.0411746	0.0796008	0.194647	0.258867	0.395858
a41	0.0353409	0.033957	0.039243	0.0600372	0.147233	0.25952	0.424668
a30	0.00640135	0.00555505	0.0078802	0.0207936	0.0980297	0.298204	0.563136
a27	0.00398882	0.00499912	0.00880042	0.0206418	0.0628401	0.236978	0.661752
a25	0.00133275	0.00212939	0.00431259	0.0117235	0.0585371	0.245024	0.676941
a38	0.00111257	0.00120831	0.00155697	0.0044141	0.0384594	0.23586	0.717388
a14	0.00224557	0.00285095	0.00346352	0.00687479	0.0398189	0.228405	0.716342
a35	0.00305674	0.00317364	0.00437322	0.0107889	0.0510722	0.233019	0.694516
a73	0.00275827	0.00248669	0.00338561	0.0113062	0.0667772	0.244627	0.668659
a84	0.00129707	0.0019651	0.00361583	0.00948506	0.0487066	0.245199	0.689731
a87	0.00279386	0.00304723	0.00342417	0.00626976	0.0308611	0.203431	0.750173
a23	0.0539979	0.0377328	0.0186978	0.0186024	0.0628412	0.230694	0.577434
a87	0.139215	0.105481	0.0716808	0.0637267	0.131376	0.192501	0.296019
</S>	0.036338	0.0268789	0.0160681	0.0220602	0.0954522	0.297799	0.505403
