 	repartons	en	campagne	il	ya	trop	de	souffrance	à	brazaville	</S>
a66	0.219667	0.193542	0.190087	0.118117	0.0904338	0.0750064	0.0574329	0.0305596	0.0117153	0.00722246	0.00621602
a87	0.260289	0.171456	0.0829237	0.0749793	0.0728634	0.104161	0.101591	0.0825423	0.0225441	0.0131667	0.0134838
a23	0.459923	0.261862	0.128249	0.0342607	0.0290747	0.0210388	0.0158557	0.0185805	0.0110816	0.00918869	0.0108855
a83	0.429969	0.200409	0.132552	0.0542338	0.0649493	0.0307392	0.0247931	0.0217462	0.0137899	0.0112375	0.0155817
a96	0.214549	0.124471	0.133284	0.0802104	0.0926104	0.0724669	0.0734306	0.0638225	0.052579	0.0430177	0.0495581
a18	0.306852	0.130181	0.108663	0.0709261	0.0763256	0.0566239	0.062111	0.0636316	0.0427608	0.0451115	0.036814
a94	0.282521	0.120069	0.105878	0.0847463	0.0823779	0.0569162	0.0696119	0.0873037	0.040928	0.0390452	0.0306022
a90	0.173053	0.0988313	0.116736	0.110574	0.116711	0.0825091	0.0959806	0.087938	0.0402071	0.04026	0.0371997
a25	0.139192	0.106972	0.141471	0.127998	0.124964	0.0872043	0.0941162	0.0777056	0.0336871	0.0342555	0.0324346
a79	0.088467	0.0841003	0.119137	0.114667	0.118862	0.0916333	0.1063	0.124543	0.0517657	0.0487058	0.0518192
a37	0.0828087	0.09355	0.151404	0.13286	0.138127	0.0988051	0.0910939	0.0782727	0.0433509	0.0355356	0.0541922
a90	0.0755687	0.0977662	0.159751	0.151133	0.164991	0.122212	0.109469	0.0620446	0.0190729	0.0166361	0.0213553
a15	0.0361986	0.0641133	0.136984	0.161295	0.17197	0.140267	0.135214	0.0813716	0.0263354	0.0204012	0.0258507
a20	0.0120294	0.0317389	0.0756796	0.119569	0.140648	0.131685	0.159556	0.14799	0.0731036	0.0414787	0.0665218
a7	0.0168648	0.0400631	0.0981581	0.147471	0.15469	0.132254	0.144802	0.126372	0.0549581	0.0300478	0.0543196
a84	0.0226352	0.0363696	0.106609	0.130042	0.145206	0.113937	0.113496	0.107405	0.07439	0.0516271	0.0982834
a87	0.0656128	0.0892275	0.158238	0.128514	0.129504	0.10109	0.0872846	0.0846243	0.0565634	0.0449941	0.0543477
a23	0.0705867	0.054026	0.0634907	0.0568846	0.05584	0.0629829	0.0756982	0.166452	0.124596	0.147202	0.122241
a99	0.0916002	0.0894526	0.0807857	0.0698478	0.0717879	0.0674327	0.0929178	0.144028	0.10422	0.0732851	0.114642
a18	0.0156238	0.017729	0.0250693	0.0304484	0.0333453	0.043398	0.0644522	0.173792	0.237986	0.1626	0.195556
a62	0.0086477	0.0114366	0.0179627	0.0224392	0.0258281	0.0400322	0.0598574	0.171556	0.260413	0.183665	0.198163
a12	0.00330695	0.00483906	0.0128193	0.0205376	0.0199796	0.0317679	0.0501498	0.132935	0.196867	0.262037	0.264762
a21	0.00678644	0.00814374	0.0165889	0.020359	0.0188119	0.029014	0.0468623	0.114501	0.207403	0.27776	0.253771
a25	0.00814471	0.0103364	0.021901	0.0225906	0.0204854	0.0269815	0.0390511	0.0846686	0.208854	0.286417	0.27057
a98	0.0016498	0.00295563	0.00736609	0.0122248	0.012537	0.0153531	0.0263068	0.0793125	0.225021	0.27669	0.340583
a92	0.0028106	0.00501596	0.0131053	0.0240371	0.0265833	0.0301701	0.0430803	0.0788898	0.211882	0.218789	0.345637
a21	0.00317824	0.00684294	0.0214976	0.0360015	0.0378512	0.0405974	0.0513382	0.0813097	0.212656	0.218845	0.289882
a5	0.00365479	0.00594854	0.0152338	0.0201341	0.023134	0.0263792	0.0316961	0.0682025	0.213494	0.256358	0.335765
a18	0.00208893	0.00336503	0.00758252	0.00990768	0.0125587	0.0171566	0.0231337	0.0778129	0.285928	0.250818	0.309648
a75	0.00755012	0.00721235	0.0111269	0.0179148	0.023765	0.0433712	0.04766	0.117233	0.21116	0.157147	0.355859
a85	0.00124548	0.00156441	0.00240676	0.00265696	0.00317167	0.004304	0.0084332	0.0442959	0.218336	0.213122	0.500463
a41	0.000861921	0.00112456	0.00167438	0.00229964	0.00273644	0.00374034	0.00694879	0.0354552	0.179805	0.197554	0.567799
a0	0.00120138	0.0015323	0.00212769	0.00266661	0.00309698	0.00438303	0.00822779	0.0400562	0.184771	0.194345	0.557592
a11	0.00114444	0.00143358	0.00182994	0.00261622	0.00334399	0.00665239	0.0113	0.0532287	0.224004	0.185781	0.508666
a10	0.020506	0.0184294	0.0203526	0.0224934	0.0251597	0.0346466	0.0383853	0.102741	0.188086	0.17662	0.35258
a87	0.0695868	0.0445172	0.0342036	0.0301596	0.0295087	0.0459916	0.0559077	0.145024	0.160019	0.156988	0.228094
a23	0.0698198	0.056822	0.0357711	0.0336867	0.0314132	0.0578923	0.104488	0.166324	0.141636	0.13446	0.167687
a87	0.0180445	0.0102606	0.00608628	0.00493574	0.00478576	0.011008	0.0182228	0.0695458	0.165742	0.223093	0.468276
</S>	0.00954438	0.00546568	0.0039882	0.00277185	0.00231239	0.00513558	0.00888302	0.0460241	0.121054	0.217905	0.576916
