 	appellations	pour	une	femme	</S>
a23	0.557528	0.236342	0.115896	0.0488931	0.0413412
a83	0.437559	0.17657	0.126153	0.117317	0.142401
a70	0.432803	0.246193	0.160748	0.0862774	0.0739783
a94	0.436598	0.282517	0.184245	0.0658322	0.0308088
a41	0.253585	0.277513	0.242461	0.139737	0.086704
a14	0.271862	0.270947	0.258352	0.122547	0.0762926
a30	0.289198	0.223166	0.221106	0.155705	0.110825
a57	0.194009	0.193066	0.200951	0.215271	0.196703
a87	0.0664105	0.0864614	0.137572	0.264944	0.444612
</S>	0.0384325	0.0565982	0.120837	0.284224	0.499908
