 	le	féticheur	a	neutralisé	l'	amulette	de	cette	femme	</S>
a15	0.239385	0.189131	0.137532	0.104573	0.0849455	0.06196	0.0730243	0.0573019	0.0301334	0.0220132
a87	0.078293	0.0832669	0.0745512	0.0820653	0.127431	0.114812	0.130539	0.128383	0.0955001	0.0851581
a23	0.218657	0.110154	0.0664987	0.0636453	0.0805986	0.057899	0.0555857	0.0815376	0.115804	0.149621
a70	0.214158	0.133664	0.106914	0.0699331	0.114144	0.0672152	0.0663029	0.0666447	0.0747976	0.0862268
a75	0.407466	0.233192	0.155694	0.0404911	0.0445946	0.0262373	0.0271122	0.0234306	0.0193642	0.022418
a6	0.38465	0.199065	0.181072	0.081222	0.0446295	0.0289418	0.0272076	0.0191242	0.0151155	0.0189718
a96	0.307059	0.204966	0.207918	0.105299	0.0468491	0.0309676	0.0292117	0.0219808	0.0192901	0.0264599
a75	0.252297	0.229179	0.236325	0.124211	0.0420661	0.0316977	0.0275689	0.019761	0.0161793	0.0207153
a85	0.196203	0.197741	0.214933	0.156282	0.0641898	0.0503286	0.0397663	0.0256848	0.0223687	0.0325032
a73	0.191498	0.228063	0.216124	0.15883	0.0585546	0.0416346	0.0351197	0.0229978	0.0195637	0.0276143
a44	0.138647	0.18872	0.216878	0.179172	0.07157	0.0583361	0.0471507	0.0326243	0.0277669	0.0391345
a13	0.13426	0.17677	0.204369	0.178668	0.0743713	0.0656011	0.048686	0.0378237	0.0332628	0.0461877
a90	0.0765812	0.113417	0.167131	0.185338	0.0872166	0.0799406	0.057436	0.0597517	0.0689783	0.104209
a79	0.090548	0.104024	0.129381	0.170903	0.103504	0.108876	0.0757452	0.0650899	0.0610798	0.0908477
a70	0.0639113	0.0771518	0.0985417	0.18542	0.118596	0.117098	0.0868616	0.0836777	0.0729992	0.0957437
a13	0.0472565	0.0550375	0.0804927	0.207147	0.129916	0.126275	0.0862499	0.0869707	0.0776171	0.103037
a11	0.0240696	0.0279453	0.0598723	0.220303	0.131608	0.138042	0.0880859	0.0913348	0.0914637	0.127274
a34	0.0220022	0.0263899	0.0633211	0.241396	0.132703	0.143346	0.0914609	0.0900468	0.0828101	0.106524
a66	0.0478888	0.0458406	0.060573	0.169924	0.123716	0.148609	0.110684	0.109886	0.0901544	0.0927245
a9	0.0135512	0.0151419	0.0422073	0.199201	0.129242	0.159679	0.112439	0.119635	0.0976322	0.11127
a53	0.0172967	0.0172919	0.0387099	0.200506	0.105879	0.16557	0.115746	0.104632	0.0959624	0.138405
a90	0.0122096	0.0103253	0.0191008	0.0788216	0.085794	0.159695	0.114867	0.150084	0.172809	0.196293
a56	0.0091514	0.00802943	0.0186639	0.0692443	0.084453	0.141496	0.111978	0.152584	0.178083	0.226318
a34	0.00799385	0.00705829	0.0168	0.0628802	0.0839659	0.140302	0.107468	0.155089	0.1851	0.233343
a66	0.00450959	0.00416744	0.0106145	0.053733	0.0750575	0.126099	0.0998377	0.149045	0.203484	0.273452
a61	0.00288053	0.00247915	0.00673885	0.0407031	0.0622623	0.105302	0.101288	0.152783	0.228009	0.297553
a56	0.00631692	0.0053737	0.010658	0.045201	0.0564253	0.0932843	0.0830542	0.128165	0.220903	0.350619
a34	0.00520792	0.00445232	0.00965713	0.0441276	0.057976	0.0877855	0.0771976	0.115485	0.216365	0.381746
a93	0.00293281	0.00258009	0.00580044	0.0281399	0.0423392	0.0671514	0.0625136	0.101037	0.231157	0.456348
a70	0.00132532	0.00127249	0.00332228	0.0231874	0.0391192	0.0597921	0.0531623	0.090967	0.228385	0.499467
a83	0.000882515	0.000814399	0.00186009	0.015065	0.0410508	0.0588548	0.0569941	0.0938664	0.232334	0.498278
a62	0.00067246	0.000593135	0.00162906	0.0112765	0.0324796	0.0552486	0.0496512	0.0912232	0.236808	0.520419
a70	0.00136146	0.00126187	0.00283164	0.0178269	0.0436006	0.070204	0.0654674	0.108668	0.239662	0.449116
a93	0.000951204	0.000894546	0.00200447	0.0139629	0.0373947	0.0601661	0.055555	0.094793	0.224636	0.509642
a4	0.000402222	0.000383816	0.00112158	0.0105746	0.0321158	0.0486934	0.0458761	0.0823693	0.229157	0.549306
a13	0.000469577	0.00039888	0.00101136	0.00934893	0.033173	0.0520707	0.0474168	0.0934951	0.247414	0.515202
a9	0.00144672	0.00114615	0.00252075	0.012025	0.034536	0.0508611	0.0437556	0.0808147	0.239258	0.533636
a87	0.0109593	0.00595093	0.00857251	0.0129165	0.0588457	0.0893149	0.0776079	0.131386	0.253438	0.351009
a23	0.11368	0.0571923	0.044015	0.0438155	0.0961413	0.090422	0.0944715	0.123276	0.168752	0.168235
a87	0.0680133	0.0301371	0.0266797	0.0442316	0.119019	0.117339	0.112155	0.128022	0.165058	0.189344
a23	0.0281526	0.0202295	0.0229616	0.0337842	0.0913059	0.0875607	0.0907103	0.113076	0.203135	0.309084
a87	0.0390822	0.0243	0.0240339	0.0414735	0.102569	0.0952366	0.0916371	0.121924	0.186524	0.27322
</S>	0.0392609	0.0225465	0.0223317	0.0205029	0.0859348	0.0783638	0.0818107	0.112072	0.206738	0.330438
