 	la	hauteur	de	cette	maison	me	fait	peur	</S>
a66	0.359447	0.172644	0.058692	0.0536092	0.0665167	0.101799	0.0981145	0.0597772	0.0294012
a87	0.15648	0.0724291	0.108226	0.158362	0.197699	0.151973	0.0843546	0.0447285	0.025748
a23	0.249314	0.311355	0.175886	0.135728	0.0598627	0.0272662	0.0175013	0.0124973	0.0105911
a18	0.160224	0.292529	0.197266	0.207105	0.0862797	0.0267144	0.0126934	0.00907764	0.00811054
a9	0.251496	0.34688	0.152677	0.131424	0.0594452	0.0218671	0.0130093	0.0109846	0.012217
a53	0.286575	0.352482	0.136413	0.0983012	0.0536702	0.0249778	0.0165351	0.0151692	0.0158769
a44	0.210566	0.357697	0.167097	0.120097	0.0605	0.0258141	0.0195666	0.0187079	0.0199543
a75	0.140092	0.253867	0.19004	0.153771	0.110043	0.0607973	0.0361777	0.0267167	0.0284955
a5	0.0828277	0.14963	0.170775	0.164877	0.157453	0.105077	0.0666359	0.049422	0.0533018
a18	0.0633544	0.10315	0.190514	0.21038	0.204944	0.11348	0.0523344	0.031819	0.0300231
a21	0.0512365	0.0664112	0.128537	0.178966	0.172453	0.15469	0.107882	0.0695177	0.0703053
a47	0.0765225	0.0632834	0.136008	0.180975	0.191575	0.159775	0.0889313	0.053873	0.0490572
a21	0.062492	0.0397802	0.0861557	0.142499	0.166738	0.199147	0.140007	0.0882616	0.0749193
a12	0.0217364	0.0125523	0.0293474	0.065402	0.122863	0.223772	0.225119	0.16581	0.133398
a47	0.00966361	0.00515489	0.0129567	0.0319259	0.070928	0.180931	0.248096	0.236598	0.203746
a62	0.0155744	0.00841681	0.018759	0.0341923	0.0592019	0.157893	0.238447	0.242408	0.225107
a88	0.00513643	0.00300843	0.00727923	0.0154698	0.0275398	0.0942957	0.196203	0.296302	0.354765
a75	0.00203495	0.00109236	0.00221779	0.004852	0.0108184	0.0527551	0.165992	0.298081	0.462156
a21	0.00115283	0.000459175	0.00102949	0.00219789	0.00517641	0.0289683	0.123633	0.304759	0.532624
a75	0.00092324	0.000471754	0.000772281	0.00151503	0.0034745	0.0221032	0.0910389	0.26982	0.609881
a47	0.000466992	0.000195521	0.000419915	0.000880975	0.00183253	0.0128853	0.0649976	0.254921	0.6634
a7	0.000436081	0.000202885	0.000487165	0.000901514	0.00179247	0.0110346	0.0636854	0.270231	0.651229
a84	0.00136284	0.000648682	0.00151635	0.00218996	0.003832	0.0149445	0.0625155	0.245206	0.667784
a57	0.106895	0.0388677	0.0489606	0.0383184	0.038318	0.0574715	0.0887415	0.205025	0.377402
a87	0.221444	0.115455	0.072842	0.0470676	0.0376282	0.0458475	0.0681327	0.141535	0.250048
a23	0.256211	0.167605	0.129168	0.0815124	0.0631504	0.0565218	0.0626179	0.087228	0.0959858
a87	0.0821024	0.0542081	0.0562073	0.0394836	0.0285519	0.0467156	0.100043	0.235089	0.357598
a97	0.0135835	0.0112031	0.021317	0.0182229	0.0190331	0.0489643	0.126492	0.250248	0.490936
</S>	0.0398301	0.0382941	0.0429382	0.0375777	0.0381466	0.0697061	0.1236	0.204863	0.405044
