 	ramasse	les	ordures	qui	sont	à	l'	entrée	de	la	maison	</S>
a82	0.388361	0.215593	0.0660192	0.046666	0.0543726	0.0640895	0.0569647	0.0406056	0.0301769	0.0176996	0.0100406	0.00941177
a97	0.297712	0.271901	0.0931985	0.060696	0.0357839	0.0351592	0.0400837	0.0297497	0.0328107	0.0331086	0.0322304	0.0375659
a87	0.243142	0.231209	0.165532	0.165336	0.0645303	0.0387591	0.0261952	0.0163122	0.013588	0.0115811	0.0113927	0.0124226
a23	0.249427	0.239717	0.17132	0.157642	0.0602213	0.0316965	0.0214652	0.0172172	0.014695	0.0127605	0.011264	0.0125746
a30	0.0884025	0.0817001	0.168874	0.216871	0.139075	0.0805099	0.0555075	0.044036	0.0377838	0.0289927	0.0273333	0.0309145
a4	0.0689031	0.0741262	0.181578	0.235556	0.158301	0.0761504	0.0522819	0.0442925	0.0347164	0.0264775	0.0235435	0.0240727
a50	0.157068	0.227883	0.223506	0.174897	0.106678	0.0428163	0.0207936	0.0159291	0.0114528	0.00830536	0.00551444	0.00515583
a62	0.0488945	0.0916983	0.248111	0.204713	0.160305	0.0748158	0.0452816	0.0362464	0.0299112	0.025222	0.0171978	0.0176027
a12	0.0372195	0.0757945	0.25574	0.217164	0.165415	0.0784518	0.0464032	0.0340211	0.0289796	0.0244771	0.0181927	0.0181412
a94	0.0273458	0.0626787	0.211892	0.18886	0.16706	0.0984781	0.0646472	0.044921	0.0397959	0.0351773	0.0289443	0.0302001
a26	0.0243522	0.0570808	0.221904	0.187231	0.174565	0.100927	0.066118	0.0436373	0.0388395	0.0329148	0.0255147	0.0269144
a38	0.0191295	0.0424441	0.149862	0.160064	0.200012	0.127881	0.0804778	0.0488273	0.047057	0.0411199	0.0398223	0.0433034
a62	0.0137082	0.0289051	0.101313	0.120961	0.18422	0.14519	0.103388	0.0636552	0.0618123	0.0556583	0.0571947	0.0639949
a12	0.00975659	0.0143674	0.0518182	0.0891887	0.164061	0.153028	0.130345	0.076969	0.0748186	0.0698516	0.0816416	0.0841549
a62	0.00667292	0.0110183	0.0352291	0.061268	0.137115	0.159145	0.154635	0.106647	0.0971332	0.0795725	0.07485	0.0767146
a50	0.00374213	0.0052633	0.0176672	0.0366248	0.0919015	0.128738	0.151403	0.117451	0.120135	0.109112	0.113333	0.104629
a62	0.00248186	0.00308529	0.0101252	0.0240266	0.0670483	0.104203	0.14608	0.120488	0.138164	0.130527	0.136917	0.116852
a83	0.00156867	0.0017562	0.00503533	0.012513	0.0372039	0.0703676	0.116274	0.12063	0.15753	0.171664	0.174952	0.130506
a99	0.00130749	0.0015931	0.00547453	0.0126758	0.0370639	0.0717522	0.124292	0.13458	0.171581	0.176091	0.148958	0.114632
a4	0.000663515	0.000807135	0.00186017	0.00369808	0.0130232	0.0350963	0.0938182	0.119277	0.180026	0.196997	0.194398	0.160335
a94	0.000598522	0.000753493	0.00164888	0.0030349	0.00824424	0.0226464	0.070047	0.119959	0.183918	0.218129	0.196918	0.174102
a4	0.000441265	0.000601586	0.00114819	0.00185376	0.00480921	0.0127964	0.0458545	0.0965521	0.169088	0.226844	0.218276	0.221735
a99	0.000259529	0.000336251	0.000573211	0.000991461	0.00264004	0.00738543	0.0302176	0.0734306	0.143548	0.220237	0.256968	0.263413
a13	0.000169505	0.000227417	0.000377029	0.000677047	0.0024593	0.00790321	0.0350777	0.0750149	0.140244	0.203967	0.261862	0.272021
a26	0.000130141	0.000183343	0.000232991	0.00040063	0.00129339	0.00391051	0.017168	0.0438194	0.0973546	0.182477	0.298571	0.35446
a66	0.000640252	0.000603363	0.00069484	0.00120677	0.00248959	0.00507582	0.0166552	0.0409405	0.0803878	0.16129	0.287436	0.40258
a99	0.00136343	0.00119684	0.00106109	0.00161984	0.00262428	0.00399274	0.00968963	0.0255001	0.0508925	0.13113	0.292066	0.478863
a50	0.00294282	0.00266663	0.00205567	0.0030704	0.0043452	0.00615994	0.0133707	0.03276	0.0607646	0.139563	0.288613	0.443689
a83	0.00044578	0.000493577	0.00064901	0.00128154	0.00283653	0.00542771	0.0137585	0.0288184	0.0554043	0.129406	0.306542	0.454937
a9	0.000227992	0.000309807	0.000437629	0.00081264	0.00169001	0.00299982	0.00841714	0.0223788	0.0487	0.128184	0.305179	0.480663
a99	0.00227971	0.00177484	0.00184024	0.00332082	0.00494991	0.00690158	0.0139704	0.0296053	0.0504114	0.112438	0.272509	0.499999
a87	0.0134211	0.0101577	0.00731503	0.011423	0.0137312	0.0171091	0.027615	0.0459068	0.068358	0.126231	0.247897	0.410835
</S>	0.132146	0.0872859	0.0228825	0.0244312	0.0249064	0.0332926	0.0487968	0.0658561	0.0887782	0.116958	0.144837	0.209829
