 	c'	est	lui	qui	a	provoqué	l'	autre	</S>
a66	0.230853	0.171898	0.173782	0.133613	0.125745	0.0679874	0.0462198	0.0291341	0.0207675
a87	0.189169	0.152625	0.155089	0.15163	0.123983	0.0815435	0.0678771	0.0438607	0.0342212
a10	0.270693	0.209371	0.155382	0.110568	0.0708026	0.0621646	0.0475968	0.037684	0.0357377
a53	0.226766	0.186014	0.15098	0.114786	0.0864088	0.0883234	0.0642148	0.0445763	0.0379303
a90	0.236191	0.170884	0.150394	0.133566	0.161223	0.098228	0.0244196	0.012945	0.0121501
a92	0.267558	0.218608	0.16305	0.111929	0.110519	0.0662539	0.0261067	0.0170245	0.0189499
a75	0.154382	0.153074	0.118615	0.108362	0.130796	0.124485	0.0840053	0.0594467	0.0668342
a25	0.129373	0.139232	0.129462	0.124575	0.116077	0.111975	0.0970342	0.0748878	0.0773857
a56	0.134098	0.12976	0.113586	0.0902697	0.0815997	0.104274	0.12408	0.108515	0.113817
a90	0.0995767	0.119121	0.133876	0.123702	0.110132	0.10692	0.111183	0.096593	0.0988961
a4	0.0879856	0.106629	0.130279	0.115662	0.111072	0.12446	0.133939	0.101985	0.087989
a61	0.0757765	0.0701734	0.0771074	0.0858207	0.10073	0.140387	0.164616	0.144287	0.141103
a21	0.0350941	0.0287836	0.0328366	0.0538349	0.0728899	0.121862	0.208775	0.225493	0.22043
a5	0.014651	0.0107923	0.0116286	0.0223886	0.0387792	0.0939812	0.197218	0.291459	0.319103
a47	0.00777133	0.00545519	0.00492398	0.00809546	0.0151735	0.0550478	0.177738	0.321782	0.404013
a96	0.010511	0.00744939	0.00588539	0.00747072	0.0129406	0.0407633	0.167282	0.324313	0.423385
a93	0.00242024	0.00184597	0.00150893	0.00216183	0.00437948	0.0174557	0.116155	0.318091	0.535982
a90	0.0027264	0.00201612	0.00161698	0.00207014	0.00369021	0.0150117	0.103593	0.322128	0.547148
a7	0.00155822	0.00122909	0.00115383	0.0016853	0.00375183	0.0179873	0.092289	0.306961	0.573385
a84	0.000907675	0.000595681	0.000476101	0.000660429	0.00179719	0.00785346	0.0551899	0.296025	0.636494
a87	0.0984155	0.0565109	0.0362745	0.0381609	0.0422169	0.0742299	0.127911	0.210068	0.316213
a23	0.232927	0.13883	0.0835062	0.0597949	0.0471763	0.0704437	0.0999324	0.137237	0.130152
a87	0.0631751	0.0342859	0.0196987	0.016855	0.0190607	0.0589086	0.121843	0.312569	0.353604
</S>	0.00720956	0.00448633	0.00359003	0.00478739	0.00929114	0.0563587	0.133631	0.320997	0.459648
