 	il	est	venu	à	midi	</S>
a23	0.394995	0.23842	0.129111	0.109122	0.0772262	0.0511254
a87	0.354496	0.221577	0.152796	0.108171	0.0889662	0.0739942
a23	0.276372	0.21888	0.182866	0.1357	0.102162	0.0840201
a99	0.341611	0.26555	0.152357	0.109314	0.0766739	0.0544945
a30	0.379523	0.259501	0.128856	0.0928757	0.0693224	0.0699224
a53	0.246039	0.211444	0.139482	0.141925	0.119598	0.141512
a20	0.494492	0.27865	0.096478	0.0585761	0.0358519	0.0359525
a30	0.41256	0.295929	0.146214	0.0822062	0.0367561	0.0263352
a57	0.356507	0.290343	0.187134	0.102799	0.0397026	0.0235148
a87	0.190957	0.183493	0.16875	0.162022	0.12938	0.165398
a40	0.190405	0.19867	0.17489	0.178024	0.132149	0.125861
a30	0.386476	0.252349	0.150226	0.106938	0.0560084	0.0480022
a35	0.373933	0.256721	0.175552	0.10532	0.0542234	0.0342513
a32	0.285357	0.247106	0.210912	0.138592	0.0727345	0.0452993
a24	0.173049	0.184013	0.215328	0.191847	0.134345	0.101418
a41	0.126079	0.134078	0.175544	0.183993	0.182538	0.197769
a35	0.0609871	0.0804085	0.142017	0.19768	0.23305	0.285857
a14	0.0424258	0.0551909	0.107529	0.180975	0.2626	0.35128
a35	0.0317579	0.0391969	0.077973	0.156794	0.279807	0.414471
a11	0.023432	0.028492	0.0595617	0.141181	0.298399	0.448934
a75	0.0119288	0.0140638	0.0297881	0.0892771	0.284981	0.569961
a41	0.0081951	0.00855623	0.019776	0.0630176	0.251262	0.649193
a98	0.00598055	0.0065493	0.0152094	0.0536305	0.25851	0.66012
a76	0.00748895	0.00787391	0.0151609	0.0490339	0.232654	0.687788
a94	0.00827902	0.00888375	0.0172276	0.0514056	0.239572	0.674632
a76	0.014442	0.0150706	0.0279718	0.0662745	0.231615	0.644627
a92	0.0122899	0.0151305	0.0271112	0.065608	0.239777	0.640084
a61	0.00758654	0.0101705	0.0223512	0.0588966	0.237856	0.663139
a43	0.0127101	0.0129978	0.0227419	0.050073	0.204347	0.69713
a11	0.0261188	0.0279542	0.0468275	0.088913	0.230238	0.579949
a47	0.0249645	0.0252918	0.0422279	0.0848136	0.236499	0.586203
a83	0.0109499	0.012602	0.0257463	0.0612175	0.215287	0.674197
a25	0.0167309	0.0186865	0.0341948	0.0687149	0.211753	0.649919
a87	0.0445136	0.0475031	0.0694381	0.102623	0.214254	0.521669
</S>	0.0492752	0.0534803	0.07976	0.12399	0.244437	0.449057
