 	la	danseuse	n'	a	personne	pour	la	gratifier	</S>
a15	0.38491	0.182309	0.115363	0.0806908	0.0646492	0.0399052	0.0336959	0.0437794	0.054697
a66	0.118095	0.0490116	0.10262	0.173642	0.125846	0.0783117	0.101263	0.114012	0.137198
a87	0.130885	0.0822735	0.076434	0.0695022	0.046738	0.0372877	0.0763836	0.18278	0.297716
a23	0.203217	0.137709	0.117211	0.105381	0.0694436	0.0474479	0.0595305	0.110672	0.149387
a93	0.119107	0.102906	0.109966	0.0911266	0.055059	0.0492042	0.0866515	0.15963	0.226349
a56	0.326578	0.278728	0.154439	0.0601192	0.0338708	0.0280578	0.03722	0.0413804	0.039607
a43	0.177787	0.264667	0.216221	0.115019	0.0539019	0.0383995	0.0445721	0.0456379	0.0437945
a21	0.120489	0.171745	0.212296	0.163146	0.0825967	0.0542578	0.0613371	0.062791	0.0713415
a5	0.180558	0.194419	0.231688	0.147981	0.0558806	0.0286091	0.0341483	0.04908	0.0776357
a85	0.130225	0.117714	0.168622	0.153346	0.0810317	0.0484112	0.0618464	0.0982089	0.140594
a47	0.0635044	0.0622108	0.111317	0.136809	0.132764	0.0926946	0.0966624	0.133852	0.170185
a56	0.0141907	0.0158058	0.0264337	0.041573	0.0585187	0.0782481	0.155269	0.281716	0.328245
a93	0.0137418	0.012675	0.0190168	0.0318139	0.0534025	0.0856164	0.177658	0.293597	0.312478
a4	0.00358621	0.00272747	0.00567127	0.0116523	0.0243081	0.050197	0.133081	0.314993	0.453784
a93	0.00153255	0.00111803	0.00313312	0.00752104	0.0168093	0.039914	0.11761	0.310653	0.50171
a70	0.00129815	0.000902802	0.00315146	0.00836222	0.0210825	0.0531911	0.150497	0.294062	0.467452
a71	0.00122157	0.000701187	0.0022332	0.00615291	0.0162686	0.0425847	0.120219	0.272808	0.53781
a9	0.0149251	0.0094597	0.0180808	0.02934	0.0411226	0.0572405	0.100115	0.213782	0.515934
a87	0.218707	0.129838	0.0744572	0.0571679	0.0467555	0.0479911	0.0639691	0.116509	0.244605
a23	0.362593	0.236497	0.137391	0.0884678	0.0503601	0.0296364	0.0222034	0.0298273	0.0430236
a87	0.0510894	0.0172158	0.0149481	0.0192325	0.0305045	0.0600021	0.12191	0.285713	0.399384
</S>	0.0318615	0.00876246	0.00948629	0.0139171	0.0294324	0.0691472	0.146011	0.303798	0.387584
