 	quand	je	mange	ne	me	parle	pas	</S>
a66	0.402566	0.206069	0.13883	0.108114	0.0708237	0.0394019	0.0195659	0.0146281
a87	0.312161	0.177701	0.117727	0.0979908	0.0980522	0.0834517	0.0540612	0.058855
a97	0.332783	0.285062	0.147404	0.0829711	0.0515915	0.0366868	0.0264744	0.0370273
a79	0.291669	0.292508	0.154225	0.084824	0.0575759	0.0447261	0.0330563	0.041416
a15	0.41201	0.270285	0.104474	0.051727	0.0310194	0.0275717	0.0375664	0.0653455
a79	0.311051	0.222057	0.157268	0.108365	0.0621605	0.0425517	0.0425666	0.0539805
a37	0.265586	0.228615	0.193773	0.137339	0.0725002	0.0382407	0.0309404	0.0330054
a12	0.201143	0.236893	0.220641	0.167586	0.0836641	0.0406259	0.0251194	0.0243272
a62	0.159615	0.200828	0.225023	0.187896	0.103866	0.055337	0.0342589	0.0331766
a61	0.147582	0.189431	0.219217	0.196553	0.116471	0.0630674	0.0347442	0.0329344
a62	0.0947607	0.159041	0.216409	0.209591	0.139725	0.0846178	0.0500447	0.0458111
a88	0.0788278	0.127539	0.191536	0.214676	0.161476	0.107481	0.0628579	0.0556065
a75	0.0442803	0.0831653	0.161274	0.229146	0.210985	0.136873	0.0714581	0.0628191
a85	0.0228312	0.0364507	0.091737	0.151072	0.170867	0.176434	0.182449	0.16816
a47	0.0122706	0.0251729	0.0820202	0.142538	0.166306	0.16926	0.197435	0.204998
a7	0.0115142	0.0174601	0.0428485	0.0878229	0.14971	0.189705	0.215978	0.284961
a44	0.0158358	0.0207704	0.0395717	0.0812176	0.13698	0.175682	0.215242	0.3147
a11	0.0072307	0.00953844	0.0196749	0.0454263	0.108474	0.182325	0.264816	0.362515
a0	0.00642214	0.00823765	0.0168171	0.0360679	0.0779796	0.162891	0.297189	0.394396
a75	0.00352263	0.0034676	0.00608852	0.0132849	0.0348778	0.114374	0.323343	0.501042
a6	0.000711945	0.00130828	0.00415059	0.0106563	0.0335	0.0916659	0.288638	0.569369
a37	0.000296872	0.000539067	0.00165814	0.00422296	0.0163753	0.0643957	0.305342	0.60717
a54	0.000919698	0.00115426	0.00282069	0.00665275	0.0212338	0.0701549	0.285398	0.611665
a7	0.000517573	0.000746441	0.00190078	0.00420776	0.0148197	0.0579427	0.286917	0.632948
a36	0.00197037	0.00221367	0.0044263	0.00761675	0.0217492	0.0722125	0.279015	0.610796
a2	0.0287628	0.0230727	0.0313728	0.0393262	0.0711536	0.144876	0.267827	0.393609
a57	0.0920979	0.0664125	0.0695634	0.0771893	0.107925	0.147346	0.194225	0.245241
a97	0.228652	0.12182	0.0712855	0.0581022	0.0724938	0.103748	0.151719	0.192179
a87	0.161338	0.0991902	0.0647148	0.0566316	0.0761759	0.120071	0.182306	0.239572
a97	0.0917936	0.0637741	0.0509105	0.0541711	0.0856218	0.143168	0.217963	0.292597
a87	0.0325934	0.0297127	0.0342003	0.0501839	0.0905993	0.148336	0.252264	0.362111
</S>	0.0181065	0.0197939	0.0271062	0.0423587	0.079359	0.131754	0.249968	0.431554
