 	ceux-ci	sont	des	seins	de	jeunes	filles	et	ceux-là	d'	une	vieille	femme	</S>
a66	0.0458446	0.0561354	0.0597552	0.0726991	0.0633847	0.0715628	0.0736331	0.0755928	0.1603	0.209893	0.0973196	0.0088672	0.00279775	0.0022151
a87	0.211279	0.143294	0.0919977	0.0702399	0.0642648	0.0627348	0.0567479	0.0489091	0.0904999	0.0889667	0.0389967	0.0100184	0.0101923	0.0118581
a23	0.302612	0.182128	0.0823039	0.0500284	0.0370001	0.0488196	0.0580405	0.0525128	0.064799	0.0675214	0.0317792	0.00895837	0.00631763	0.00717847
a87	0.520103	0.165378	0.0533392	0.0337278	0.0320329	0.0362748	0.039144	0.0353004	0.0352139	0.0187878	0.00803286	0.00630683	0.00636622	0.00999295
a23	0.446939	0.180715	0.0771441	0.0410359	0.0348279	0.0398256	0.0376645	0.0331537	0.0393112	0.0327974	0.0162874	0.00860373	0.00556113	0.00613339
a83	0.488273	0.137951	0.0604104	0.0365946	0.0337555	0.0347324	0.0326631	0.0334314	0.0329111	0.0287085	0.0208486	0.0194714	0.0172891	0.0229599
a54	0.232227	0.0953363	0.0657167	0.0441316	0.0390443	0.0414252	0.0370386	0.0299994	0.0427069	0.0612358	0.104944	0.0812295	0.0651994	0.0597652
a36	0.111584	0.0677856	0.0606238	0.0455219	0.0471453	0.0497046	0.044723	0.0347712	0.0564739	0.0592306	0.116507	0.15647	0.0878791	0.0615794
a5	0.0815868	0.0608456	0.0599155	0.0480669	0.0517281	0.0565375	0.0430381	0.0329247	0.0582296	0.0602802	0.108806	0.157335	0.111456	0.0692503
a85	0.0817362	0.064271	0.0646558	0.0548998	0.0591863	0.0624902	0.0468375	0.0367747	0.051125	0.046683	0.0872048	0.134472	0.11689	0.0927747
a6	0.0720037	0.0704127	0.0796736	0.0752828	0.0807204	0.0744885	0.0487973	0.0382772	0.0523824	0.042788	0.0660573	0.10665	0.102229	0.0902367
a36	0.0855624	0.077638	0.0807879	0.0747141	0.0798265	0.0760569	0.0591033	0.0498409	0.0709471	0.0547693	0.061122	0.0718881	0.0785801	0.0791634
a0	0.0669904	0.0710108	0.0758108	0.0811611	0.090771	0.0922237	0.0756941	0.0638841	0.0815698	0.0548596	0.0523763	0.0535848	0.0630428	0.0770207
a34	0.0524339	0.0524658	0.0543246	0.0820195	0.10514	0.122764	0.115505	0.0962877	0.0806246	0.0503332	0.0418293	0.0389712	0.0509864	0.0563157
a70	0.03705	0.0400215	0.0452241	0.0812851	0.106294	0.126964	0.116575	0.0991113	0.088499	0.0590111	0.041584	0.0382936	0.0547545	0.0653327
a61	0.0202288	0.0195462	0.0217345	0.0529684	0.0870552	0.110681	0.127067	0.11989	0.105616	0.0687935	0.0597954	0.0521638	0.0716197	0.0828405
a62	0.0158712	0.0158018	0.0174641	0.0475681	0.0830278	0.10726	0.124996	0.121847	0.111789	0.0776398	0.0629221	0.0509252	0.0733719	0.0895163
a88	0.0180968	0.0166093	0.0175647	0.0460058	0.0833728	0.110157	0.12229	0.115216	0.101453	0.0790627	0.0689678	0.0533916	0.0794275	0.088385
a71	0.0145318	0.0129248	0.0137114	0.0357609	0.0667745	0.0927182	0.127611	0.139643	0.106285	0.0835511	0.0737828	0.0572404	0.0787181	0.096747
a99	0.0116222	0.0109292	0.0119315	0.0313843	0.0589758	0.0832705	0.134642	0.161029	0.114619	0.0909319	0.0716231	0.053676	0.071347	0.0940183
a87	0.0128391	0.0113645	0.011927	0.0294085	0.0570764	0.0915867	0.154153	0.171748	0.108928	0.090625	0.0749825	0.0537875	0.0597763	0.0717975
a23	0.0285072	0.0167583	0.0134407	0.0188958	0.0290386	0.0453891	0.0781892	0.0859633	0.081595	0.0873002	0.0898862	0.120746	0.154318	0.149972
a99	0.0474532	0.0227755	0.0156149	0.0162404	0.0190263	0.0239893	0.0339495	0.040172	0.0263659	0.0332198	0.0423436	0.0923464	0.226076	0.360427
a83	0.00668288	0.003654	0.0028637	0.0048797	0.00782757	0.00982296	0.0144592	0.0173231	0.0186725	0.0253934	0.0488545	0.131704	0.27812	0.429743
a5	0.00228052	0.00139887	0.00112136	0.00232504	0.00428953	0.00545845	0.0071294	0.00814232	0.0120413	0.0170724	0.0415604	0.172738	0.335256	0.389186
a12	0.00241024	0.00242542	0.00253657	0.00509076	0.00760455	0.0095421	0.0113136	0.0126495	0.01482	0.0232352	0.0506437	0.190989	0.309899	0.356839
a88	0.00260001	0.0029286	0.00306485	0.00692713	0.00991023	0.013564	0.0168951	0.0183506	0.0190026	0.0245034	0.0411106	0.165948	0.284802	0.390393
a61	0.00217969	0.00208648	0.00205576	0.0044305	0.00729582	0.0095814	0.0122974	0.0133591	0.0140345	0.0196863	0.0362003	0.160551	0.334282	0.38196
a34	0.00304309	0.00297958	0.00285206	0.00534341	0.00833357	0.0106217	0.0139864	0.0161374	0.0201261	0.0290283	0.0546683	0.19665	0.307393	0.328837
a93	0.00214542	0.00210647	0.00207278	0.00379645	0.0056445	0.00738761	0.00989239	0.01183	0.0145365	0.0183963	0.0367606	0.170105	0.323796	0.39153
a96	0.000690088	0.000691471	0.00068546	0.00147415	0.00229922	0.00354274	0.00597473	0.00786424	0.0079705	0.0103537	0.0191606	0.151089	0.335878	0.452326
a61	0.000877577	0.000914694	0.000839801	0.00155302	0.00210903	0.00289801	0.00481995	0.00672739	0.00783255	0.0087288	0.0178802	0.123188	0.326092	0.49554
a66	0.000723615	0.000746899	0.000668786	0.00131191	0.00184933	0.00252801	0.00414345	0.00560032	0.00533	0.00506123	0.0101704	0.0796072	0.307991	0.574268
a26	0.00077574	0.000805098	0.000718277	0.00147588	0.0021227	0.0030174	0.00515906	0.00672301	0.00562546	0.00504229	0.00977949	0.0647349	0.269693	0.624327
a82	0.00311721	0.00283692	0.0026946	0.00496737	0.00709904	0.0112662	0.0181653	0.0198149	0.0139416	0.0110127	0.0196727	0.0582385	0.244827	0.582345
a87	0.0173105	0.0132319	0.010953	0.0163834	0.0198164	0.0285621	0.0508861	0.0659467	0.042079	0.0400432	0.0448965	0.0658337	0.20335	0.380707
a23	0.092753	0.0774745	0.0489124	0.0534761	0.0548212	0.064994	0.0869009	0.103622	0.112105	0.116189	0.0613169	0.0332727	0.0386268	0.055536
a87	0.100358	0.0687564	0.0322139	0.0380503	0.0433885	0.0498964	0.0728962	0.0993293	0.0663875	0.0681109	0.0441896	0.0680719	0.102843	0.145509
</S>	0.0491051	0.036058	0.019463	0.0267034	0.0328862	0.0368578	0.0476345	0.0612519	0.0569323	0.0615811	0.038703	0.0861375	0.173032	0.273655
