 	il	y	a	une	petite	brouille	entre	eux	</S>
a23	0.360695	0.186418	0.105879	0.064834	0.0564756	0.081879	0.0608093	0.0450939	0.0379161
a87	0.336541	0.218858	0.123854	0.0844004	0.0730648	0.0518514	0.036095	0.0362836	0.0390527
a23	0.175981	0.174423	0.14146	0.104905	0.0909122	0.079531	0.0649134	0.0740813	0.0937929
a97	0.247675	0.227853	0.144549	0.0767691	0.0484684	0.0451547	0.0505934	0.0635421	0.0953958
a79	0.21466	0.191898	0.135706	0.0813624	0.0546082	0.0534779	0.0659047	0.0844799	0.117903
a30	0.414716	0.252046	0.129529	0.0586475	0.0242991	0.0169976	0.0214945	0.038137	0.0441336
a35	0.266231	0.229034	0.193408	0.151935	0.0681091	0.0286326	0.0199002	0.0210459	0.0217054
a96	0.234346	0.22112	0.207994	0.169574	0.0794378	0.0335435	0.0199618	0.0170888	0.0169341
a47	0.199349	0.208082	0.213266	0.191091	0.0924459	0.0365876	0.0212582	0.0182335	0.0196867
a24	0.154072	0.174416	0.197823	0.210603	0.133312	0.058448	0.027978	0.0210334	0.0223138
a71	0.158335	0.175277	0.184157	0.185719	0.126213	0.0723413	0.0413717	0.0283972	0.028188
a9	0.114766	0.128911	0.156839	0.190581	0.169937	0.102906	0.0542545	0.0387682	0.0430377
a38	0.0844486	0.0771951	0.0903585	0.116388	0.125289	0.141495	0.124837	0.119397	0.120593
a76	0.0768652	0.063159	0.0775585	0.116203	0.133363	0.152473	0.127234	0.124795	0.12835
a14	0.148513	0.117714	0.126203	0.144577	0.135621	0.122001	0.0870777	0.0629124	0.0553809
a94	0.118011	0.100593	0.103438	0.110224	0.110711	0.12633	0.120198	0.109676	0.100819
a76	0.0477629	0.0477732	0.0519487	0.0633356	0.0840734	0.134679	0.175015	0.195215	0.200197
a90	0.0470674	0.0430827	0.0450586	0.0554018	0.0883692	0.154234	0.184773	0.193974	0.18804
a94	0.0894087	0.0620981	0.0554102	0.0585746	0.0772362	0.143299	0.172661	0.170851	0.170461
a90	0.0287883	0.0222547	0.0232886	0.030366	0.0441015	0.116607	0.205389	0.244785	0.28442
a35	0.0384435	0.0289336	0.0296671	0.0379626	0.048436	0.11117	0.189013	0.238827	0.277546
a66	0.0126582	0.00975187	0.0100649	0.0149306	0.023781	0.0719453	0.172003	0.300296	0.384569
a47	0.0218322	0.0140506	0.0122373	0.0170554	0.02644	0.0776576	0.167059	0.261709	0.401959
a98	0.0113875	0.00750931	0.0064806	0.0095789	0.0162595	0.0551941	0.168594	0.295551	0.429445
a71	0.010372	0.0076218	0.00758234	0.0129496	0.0214244	0.0623966	0.190369	0.301345	0.385939
a9	0.0144166	0.00876283	0.00718625	0.0104072	0.0176763	0.0489764	0.134514	0.273179	0.484882
a3	0.00539782	0.00267541	0.0021456	0.00328219	0.00670818	0.0284549	0.105195	0.260096	0.586045
a87	0.00523975	0.00345315	0.00303606	0.00414324	0.00985147	0.0412675	0.132877	0.280224	0.519908
</S>	0.0234167	0.0155894	0.0135288	0.0133067	0.0220664	0.0714681	0.165804	0.248293	0.426527
