 	il	a	amené	son	frère	avec	lui	</S>
a10	0.416193	0.304486	0.104596	0.0327404	0.023582	0.0280545	0.0395443	0.0508042
a87	0.169357	0.115702	0.0981369	0.105159	0.128288	0.114205	0.122391	0.146763
a23	0.285271	0.231148	0.13604	0.0879169	0.0758828	0.0516694	0.0597117	0.0723597
a53	0.219331	0.19279	0.178698	0.114357	0.0787857	0.0665003	0.0709065	0.0786322
a20	0.283827	0.251441	0.229415	0.125109	0.0609675	0.0210124	0.0139092	0.0143183
a30	0.240038	0.263272	0.294139	0.146243	0.0405879	0.00918695	0.00389577	0.00263732
a35	0.243244	0.2346	0.275632	0.167039	0.051875	0.0136987	0.00757048	0.00634122
a24	0.252786	0.222133	0.242391	0.175423	0.0679139	0.0211167	0.0109756	0.00726051
a41	0.270846	0.193992	0.184409	0.152392	0.110898	0.0471348	0.0246571	0.015671
a66	0.170779	0.144957	0.173187	0.158324	0.176492	0.0901526	0.0511949	0.0349135
a54	0.178789	0.118795	0.127853	0.156303	0.190308	0.109122	0.0676891	0.0511407
a30	0.13755	0.124067	0.153074	0.168251	0.187279	0.106919	0.0710804	0.0517794
a35	0.153684	0.129493	0.11791	0.11927	0.170852	0.130859	0.0998035	0.0781284
a14	0.154547	0.117731	0.103838	0.0914077	0.151965	0.144123	0.127141	0.109248
a35	0.0380792	0.0346362	0.0413639	0.0533588	0.136044	0.211966	0.240258	0.244293
a20	0.0457712	0.0401913	0.0482013	0.056579	0.105938	0.184019	0.246278	0.273023
a14	0.0245378	0.0217937	0.0280018	0.0395601	0.0827403	0.173411	0.30135	0.328605
a35	0.0146072	0.0137692	0.0184177	0.0265831	0.0617648	0.14769	0.320074	0.397094
a14	0.0102916	0.00781949	0.0113937	0.0189303	0.0457992	0.102538	0.2864	0.516827
a35	0.00821299	0.00668329	0.00902229	0.0185889	0.0633565	0.127287	0.296537	0.470312
a66	0.00542147	0.00371538	0.00501079	0.0122552	0.0467817	0.106227	0.27654	0.544049
a90	0.00200662	0.00128456	0.00189748	0.00546648	0.0304757	0.0850448	0.266262	0.607562
a4	0.0032653	0.00187615	0.00261161	0.00809361	0.0390845	0.1005	0.278646	0.565922
a13	0.00364057	0.00240758	0.0030877	0.0064187	0.0251063	0.0862341	0.258488	0.614617
a9	0.0147405	0.0113227	0.0136418	0.017827	0.0505507	0.126061	0.280997	0.484859
a87	0.0304197	0.0248821	0.0265967	0.0321917	0.0837237	0.143767	0.256729	0.40169
</S>	0.0585145	0.0600587	0.0545552	0.0391267	0.065704	0.110491	0.233128	0.378422
