 	cet	enfant	est	un	véritable	touche-à-tout	</S>
a87	0.181993	0.167052	0.219518	0.291018	0.0934473	0.034198	0.012773
a10	0.385836	0.0911297	0.0754486	0.111014	0.105101	0.0931372	0.138333
a87	0.304027	0.192141	0.148462	0.129917	0.0956817	0.0567075	0.0730632
a23	0.344236	0.1987	0.121911	0.11376	0.103433	0.0592736	0.0586854
a93	0.303924	0.258678	0.12633	0.082889	0.082341	0.059837	0.0860015
a90	0.549735	0.282032	0.0871967	0.0319019	0.0190162	0.0145404	0.015578
a15	0.4549	0.338996	0.118084	0.0458562	0.0224975	0.00985902	0.00980721
a47	0.338414	0.391972	0.16484	0.0612633	0.0226573	0.0102151	0.0106382
a98	0.272403	0.408136	0.197694	0.0728662	0.0278696	0.0105325	0.0104984
a15	0.251804	0.339873	0.247074	0.113907	0.0251616	0.0112945	0.0108855
a85	0.190758	0.264927	0.268075	0.173056	0.0568499	0.0243904	0.0219438
a37	0.15781	0.236425	0.250992	0.160162	0.0822099	0.0598458	0.0525542
a61	0.188989	0.220031	0.306316	0.193524	0.0453972	0.0234431	0.0222996
a47	0.18419	0.192362	0.287595	0.217963	0.0600726	0.031946	0.0258705
a21	0.165548	0.143952	0.231049	0.237816	0.106481	0.0588997	0.0562542
a85	0.196814	0.190092	0.172197	0.145301	0.111277	0.0971281	0.0871913
a37	0.145525	0.127214	0.0832266	0.0678998	0.123818	0.1813	0.271017
a21	0.142177	0.11049	0.132212	0.116678	0.176433	0.150767	0.171244
a61	0.127853	0.108185	0.0869444	0.0803124	0.177749	0.222373	0.196583
a21	0.0432526	0.0344563	0.0443054	0.0571678	0.248541	0.320287	0.25199
a47	0.0832283	0.0591632	0.0527551	0.0532241	0.178918	0.283322	0.289389
a66	0.0375315	0.0284831	0.0417177	0.0586179	0.239465	0.303595	0.29059
a38	0.00711622	0.00488004	0.00670162	0.0121854	0.102054	0.255658	0.611405
a11	0.00430926	0.002112	0.00272722	0.00602171	0.0817041	0.260178	0.642947
a93	0.0018647	0.000810315	0.00117577	0.00365841	0.0473622	0.218502	0.726626
a99	0.000659256	0.000505778	0.00136947	0.0046215	0.0889655	0.24975	0.654128
a9	0.000771469	0.000566293	0.00143729	0.00526079	0.0835205	0.241139	0.667305
a87	0.0135936	0.00491923	0.00581559	0.0107729	0.0452973	0.221276	0.698326
a23	0.244515	0.128425	0.0868201	0.0698159	0.0763018	0.127632	0.26649
a87	0.0613113	0.0259677	0.022472	0.0290635	0.13438	0.229398	0.497408
a97	0.0159289	0.00942236	0.0140751	0.0258328	0.13188	0.2072	0.59566
</S>	0.0714802	0.0374028	0.0559861	0.0927919	0.183752	0.207794	0.350792
