 	je	me	gave	d'	oseille	</S>
a66	0.390409	0.230424	0.18372	0.122507	0.0475139	0.0254269
a87	0.359666	0.24722	0.212334	0.11192	0.0463932	0.0224676
a23	0.460498	0.28369	0.153174	0.0495248	0.0311861	0.0219276
a87	0.540507	0.260166	0.125599	0.032488	0.0192204	0.0220202
a23	0.5897	0.240184	0.100334	0.0264278	0.0193996	0.0239541
a18	0.452189	0.20818	0.131023	0.0572601	0.0624109	0.0889371
a54	0.242632	0.191196	0.161183	0.117354	0.137401	0.150235
a79	0.206775	0.215545	0.154309	0.184726	0.154884	0.0837608
a7	0.190204	0.243357	0.197332	0.212611	0.115943	0.0405526
a44	0.112406	0.174387	0.175356	0.227697	0.20682	0.103334
a56	0.167006	0.182301	0.142491	0.153734	0.192977	0.161491
a47	0.144978	0.149685	0.137193	0.157735	0.212843	0.197565
a62	0.192705	0.198919	0.167422	0.14104	0.150057	0.149856
a21	0.0878669	0.0851822	0.116732	0.190405	0.26501	0.254804
a75	0.0403217	0.0406892	0.0762753	0.19797	0.321224	0.323519
a85	0.0134732	0.0156135	0.0324171	0.119735	0.310876	0.507885
a47	0.0106971	0.0143386	0.0337758	0.125437	0.329061	0.48669
a36	0.00307014	0.00325621	0.00712235	0.0530935	0.300408	0.633049
a26	0.0184346	0.0146098	0.0227848	0.0587839	0.203768	0.681619
a61	0.0612625	0.0477932	0.0603053	0.104807	0.220672	0.50516
a21	0.0224093	0.0238996	0.0387718	0.10141	0.25734	0.556169
a85	0.0118846	0.0126615	0.0193023	0.0538238	0.215448	0.68688
a36	0.0106043	0.0141569	0.0273368	0.0929307	0.273077	0.581895
a2	0.00726703	0.00858129	0.0160385	0.0694615	0.260527	0.638124
a57	0.0771111	0.071992	0.0733876	0.125931	0.256171	0.395407
a87	0.357968	0.160269	0.0933395	0.0903245	0.125424	0.172675
a23	0.380289	0.191493	0.13136	0.103506	0.105868	0.0874839
a87	0.375941	0.205463	0.124164	0.0672694	0.0843775	0.142785
</S>	0.045509	0.0363603	0.0404422	0.0725625	0.23542	0.569706
