 	le	pagne	que	tu	as	porté	est	transparent	</S>
a66	0.19375	0.14529	0.135786	0.115762	0.121785	0.160179	0.0882215	0.0244684	0.0147568
a87	0.247748	0.223268	0.185299	0.148187	0.118811	0.0572505	0.0126432	0.00367118	0.00312283
a23	0.326642	0.269094	0.186594	0.128573	0.0553528	0.0180883	0.00741589	0.00373326	0.00450599
a87	0.33985	0.297271	0.177487	0.122993	0.0433203	0.00822029	0.00275578	0.00234113	0.00576126
a23	0.296296	0.272369	0.188196	0.146027	0.0665936	0.0187139	0.00524321	0.00254785	0.0040139
a83	0.332063	0.276747	0.174503	0.132603	0.0487833	0.0122809	0.00591742	0.0059789	0.0111239
a71	0.336737	0.212213	0.133343	0.127518	0.0872548	0.0366683	0.0242172	0.0239835	0.0180648
a44	0.238408	0.214481	0.157609	0.155648	0.126306	0.0605005	0.0237201	0.0144256	0.00890175
a94	0.164661	0.178728	0.158714	0.157546	0.145132	0.0935737	0.0480168	0.0310812	0.0225471
a26	0.138324	0.155191	0.150258	0.149874	0.149546	0.103577	0.0690835	0.0493382	0.0348089
a75	0.118497	0.132056	0.127708	0.126689	0.140803	0.106996	0.0944239	0.0814306	0.0713969
a5	0.0561726	0.0747459	0.0900189	0.101399	0.152018	0.154295	0.148991	0.140787	0.0815723
a21	0.0877011	0.129273	0.159356	0.174178	0.196222	0.121052	0.0625121	0.0399566	0.02975
a5	0.0599742	0.0899162	0.123833	0.137843	0.216353	0.202687	0.0877674	0.0476036	0.0340219
a61	0.0374563	0.0581923	0.0832256	0.095786	0.191916	0.234804	0.130475	0.0936812	0.0744626
a24	0.0472011	0.0663091	0.0838261	0.0827115	0.175094	0.254008	0.133488	0.08169	0.0756723
a18	0.0591312	0.0673635	0.0688081	0.049412	0.0749272	0.170273	0.178202	0.118291	0.213592
a31	0.0616384	0.076589	0.0754831	0.0447372	0.0473308	0.0939287	0.157166	0.150341	0.292786
a47	0.0280805	0.0286781	0.0288045	0.0255851	0.0347654	0.0839546	0.197246	0.247302	0.325584
a61	0.0330688	0.0342376	0.0343364	0.0264543	0.0328076	0.0758317	0.183409	0.238213	0.341641
a43	0.0221377	0.0227703	0.0224953	0.0175081	0.0197019	0.0424939	0.129731	0.264038	0.459125
a98	0.0149597	0.0158518	0.016245	0.0110914	0.0111669	0.0226844	0.0715634	0.220846	0.615592
a47	0.00429206	0.00352524	0.00313778	0.00239226	0.00250666	0.0063198	0.0365692	0.271222	0.670035
a30	0.00481324	0.00354921	0.00309208	0.0024001	0.00194199	0.0043372	0.0365631	0.321687	0.621616
a98	0.00716286	0.00603717	0.00507853	0.00361025	0.0030814	0.00707366	0.034751	0.26426	0.668945
a47	0.00138789	0.00105762	0.00083855	0.00054679	0.000570262	0.00228619	0.0216157	0.252068	0.719629
a36	0.00190956	0.00135704	0.000968675	0.000617539	0.000561281	0.00202749	0.0201275	0.262176	0.710255
a2	0.0216394	0.0159245	0.0140756	0.00853762	0.00837947	0.0177567	0.0439838	0.236498	0.633205
a57	0.236306	0.144326	0.11354	0.0655591	0.0400974	0.032367	0.0483219	0.126196	0.193287
a87	0.236228	0.157482	0.122056	0.0902133	0.0622181	0.0427528	0.0532735	0.108285	0.127492
a23	0.274523	0.1739	0.122281	0.0785841	0.0608395	0.0551692	0.0720156	0.0906435	0.0720432
a87	0.1493	0.137987	0.100863	0.0635336	0.0561016	0.0475687	0.0617034	0.144228	0.238714
</S>	0.0332224	0.0252669	0.0173941	0.0120144	0.0150071	0.0240251	0.0722783	0.255976	0.544815
