 	les	enfants	sont	en	train	de	piéger	les	oiseaux	avec	les	fruits	andae	</S>
a66	0.0784457	0.0679214	0.0613695	0.0770423	0.0961041	0.128001	0.139336	0.153657	0.119717	0.0478441	0.0136549	0.00672127	0.00577889	0.0044079
a87	0.227333	0.165086	0.1091	0.0950464	0.0872777	0.0964777	0.0576319	0.0411166	0.0247266	0.0216767	0.0173814	0.0165479	0.0209795	0.0196188
a23	0.188466	0.158461	0.121083	0.111507	0.105293	0.103298	0.0683373	0.041818	0.0255704	0.0222661	0.0145595	0.0111109	0.0138969	0.014333
a99	0.173968	0.145691	0.106022	0.0838484	0.0751877	0.0785044	0.0636017	0.0392673	0.0281826	0.0314477	0.0289121	0.0377255	0.0650657	0.0425757
a54	0.150583	0.106056	0.0745829	0.0641388	0.0695053	0.0689899	0.0588002	0.045922	0.0355619	0.0541695	0.0651893	0.0732862	0.0852903	0.0479249
a47	0.17087	0.149363	0.106694	0.0708869	0.0749066	0.0757875	0.0617294	0.0443085	0.037472	0.0448101	0.0490486	0.0478835	0.0448681	0.0213722
a6	0.137137	0.122533	0.0951218	0.0746767	0.0940394	0.0972697	0.0780364	0.0392687	0.0247801	0.0290546	0.0425221	0.0618513	0.0734608	0.0302486
a37	0.156555	0.159723	0.150175	0.114492	0.114964	0.096033	0.0511012	0.0276294	0.0157388	0.01582	0.0234613	0.0295188	0.0322115	0.012577
a90	0.180181	0.144508	0.126252	0.111275	0.114469	0.0950248	0.0736973	0.0411674	0.0279038	0.0197969	0.0169489	0.0161971	0.0218973	0.0106813
a98	0.079073	0.0815401	0.106621	0.13049	0.146652	0.126095	0.111448	0.0656777	0.0442098	0.0273349	0.0195407	0.0188674	0.0267968	0.0156543
a47	0.0377659	0.0550184	0.0941847	0.113071	0.127133	0.117016	0.118129	0.0770721	0.05955	0.0486096	0.0320055	0.036224	0.0525897	0.031631
a37	0.043763	0.0589727	0.0855747	0.131278	0.153813	0.135234	0.109641	0.0714983	0.0488955	0.0319399	0.0283159	0.0306228	0.0411926	0.0292588
a21	0.0319209	0.0383638	0.0562337	0.094049	0.129959	0.127154	0.139494	0.0915777	0.0626588	0.037405	0.0288821	0.0402319	0.0675199	0.0545498
