 	le	manche	de	la	machette	s'	est	cassé	</S>
a66	0.3237	0.244881	0.130797	0.0927432	0.073581	0.0504315	0.0384945	0.0255892	0.0197827
a87	0.361088	0.198404	0.12004	0.0826083	0.0650991	0.0634997	0.0475004	0.0307528	0.0310075
a23	0.388215	0.223758	0.166568	0.0785186	0.0417778	0.0276157	0.021821	0.0211578	0.0305689
a40	0.349869	0.161614	0.160593	0.0891147	0.0401913	0.0295903	0.0342919	0.0524387	0.0822967
a7	0.474066	0.165038	0.0987209	0.0571354	0.0435611	0.0392783	0.0394531	0.0400187	0.0427282
a37	0.237191	0.127587	0.13935	0.128278	0.12517	0.0795748	0.0560967	0.0574269	0.0493265
a62	0.123254	0.113374	0.194176	0.202215	0.169844	0.0887644	0.0454441	0.0335326	0.0293972
a90	0.0826686	0.0999301	0.203318	0.236439	0.194978	0.0920166	0.0395297	0.0255928	0.0255271
a69	0.0645634	0.084437	0.169334	0.202139	0.198915	0.118249	0.0642445	0.0498131	0.0483055
a58	0.0579639	0.072713	0.149293	0.187117	0.202334	0.133821	0.0797175	0.0596144	0.0574254
a15	0.0482582	0.0582297	0.101077	0.12843	0.148447	0.140159	0.124206	0.117778	0.133415
a98	0.0281099	0.036125	0.0659412	0.087695	0.122027	0.138122	0.153774	0.170317	0.197889
a92	0.033649	0.0427924	0.0783483	0.101368	0.146384	0.173278	0.160052	0.135674	0.128455
a12	0.0278915	0.04227	0.0642364	0.0813617	0.118846	0.15333	0.175473	0.171063	0.165528
a62	0.015023	0.0256417	0.0436909	0.0600833	0.0891881	0.129817	0.176679	0.205686	0.25419
a88	0.00743631	0.00907456	0.0151156	0.0231148	0.0369747	0.0765685	0.17711	0.290219	0.364387
a71	0.00389662	0.00361152	0.00487237	0.00685873	0.0113213	0.0352906	0.115002	0.302178	0.516969
a54	0.00602306	0.00401611	0.0034351	0.00319593	0.00528724	0.0152842	0.0558032	0.243125	0.66383
a15	0.00102314	0.000949065	0.00117367	0.0016685	0.0032457	0.0154447	0.0661735	0.283692	0.62663
a0	0.000835612	0.000653961	0.000705247	0.00103268	0.00257902	0.012946	0.0607781	0.263815	0.656654
a2	0.00843977	0.00623857	0.00573581	0.00788935	0.0175514	0.0389481	0.101918	0.267761	0.545518
a57	0.115011	0.0726392	0.0682807	0.0525485	0.0518689	0.0617033	0.110593	0.184353	0.283002
a87	0.220681	0.157932	0.129257	0.0780871	0.0627351	0.0590636	0.0739332	0.0944083	0.123903
a23	0.206211	0.167159	0.148751	0.103512	0.0911024	0.0709321	0.0647475	0.0661615	0.0814243
a87	0.171891	0.127719	0.095143	0.052927	0.0494089	0.0629255	0.0885059	0.145477	0.206002
</S>	0.0263973	0.0227782	0.0238566	0.017134	0.0222175	0.0470983	0.095012	0.24392	0.501586
