 	le	safou	non	mûr	est	par	terre	</S>
a23	0.174273	0.188788	0.243184	0.178891	0.117013	0.0498024	0.0255466	0.0225015
a10	0.22788	0.234761	0.183267	0.222874	0.0688637	0.0290326	0.018001	0.0153201
a87	0.136469	0.185533	0.124733	0.149963	0.107734	0.0902236	0.0957709	0.109574
a23	0.214009	0.198392	0.104895	0.125632	0.0960378	0.086315	0.082881	0.0918376
a87	0.257927	0.235326	0.127212	0.15929	0.0555338	0.0498584	0.0503506	0.0645029
a23	0.270357	0.190006	0.132952	0.159794	0.0748322	0.0589907	0.0551874	0.0578809
a62	0.32551	0.151591	0.0905426	0.132597	0.0743216	0.0668163	0.0665425	0.0920786
a47	0.534602	0.165935	0.069719	0.0833835	0.0403024	0.0351826	0.0401654	0.0307103
a34	0.459405	0.245335	0.0983491	0.0810925	0.0314842	0.0270112	0.0321187	0.0252047
a56	0.391928	0.20894	0.114987	0.0914821	0.0423976	0.039678	0.0572441	0.053344
a25	0.263228	0.161135	0.121372	0.15787	0.0616674	0.0587358	0.0874485	0.0885434
a56	0.225167	0.187959	0.181281	0.170833	0.0795246	0.0487633	0.0537683	0.0527036
a96	0.217268	0.149958	0.17273	0.175606	0.0584837	0.0456088	0.0756627	0.104683
a75	0.168262	0.120528	0.136178	0.143566	0.0682466	0.0680667	0.118867	0.176286
a47	0.136856	0.111127	0.148984	0.151599	0.0673904	0.0697597	0.113278	0.201006
a88	0.092911	0.101052	0.170798	0.128391	0.101287	0.084264	0.124644	0.196653
a24	0.117204	0.111328	0.157523	0.0974977	0.11177	0.0891269	0.121895	0.193655
a83	0.0714622	0.0757373	0.109638	0.0851479	0.148602	0.159101	0.168937	0.181374
a93	0.0548562	0.0543075	0.0712437	0.0352459	0.0989716	0.181028	0.228074	0.276274
a75	0.0215258	0.0223287	0.0345818	0.0229951	0.0596279	0.15189	0.278067	0.408983
a83	0.0527995	0.0383512	0.0424259	0.0199401	0.0553114	0.154448	0.238846	0.397878
a0	0.00488081	0.00604437	0.00750735	0.00545871	0.026096	0.122243	0.264217	0.563553
a47	0.00357747	0.00688039	0.00838972	0.00537735	0.0232396	0.0914071	0.230777	0.630351
a24	0.00588275	0.00886006	0.00896246	0.00481333	0.0253764	0.100552	0.242149	0.603404
a9	0.00357088	0.00569825	0.00643666	0.00329313	0.0297481	0.120209	0.230212	0.600831
a10	0.0501011	0.0423615	0.048181	0.0179506	0.0454606	0.111391	0.205768	0.478786
a87	0.171762	0.152514	0.172197	0.0666037	0.0580303	0.0781861	0.0942496	0.206456
a23	0.177288	0.190782	0.152001	0.0567344	0.0756597	0.0920748	0.103303	0.152158
a87	0.0403909	0.0366233	0.0274719	0.0123751	0.0471225	0.159959	0.276567	0.399491
</S>	0.00413183	0.00623257	0.00740565	0.00457614	0.0357983	0.165687	0.328013	0.448156
