 	les	sangliers	ont	été	tués	dans	la	chasse	</S>
a66	0.18938	0.153425	0.148375	0.155567	0.0933262	0.0922729	0.0775278	0.0559627	0.0341631
a87	0.198936	0.135767	0.171862	0.234684	0.092555	0.06566	0.0509877	0.0279728	0.0215759
a23	0.215082	0.161554	0.161753	0.204428	0.14139	0.0728093	0.0241291	0.0111986	0.00765563
a87	0.289738	0.144989	0.154117	0.209823	0.104351	0.0593238	0.0184989	0.0111091	0.00805072
a23	0.296384	0.156823	0.168634	0.206079	0.0779186	0.0507256	0.0223676	0.0123419	0.00872566
a87	0.331882	0.168548	0.181508	0.174901	0.0528836	0.0400839	0.0208392	0.0155886	0.0137648
a23	0.287775	0.165211	0.191865	0.208943	0.0557147	0.0367254	0.022889	0.0163847	0.0144907
a26	0.276144	0.174515	0.19913	0.18938	0.0544802	0.0407168	0.0259411	0.0206273	0.0190668
a99	0.20281	0.136911	0.148618	0.157684	0.0975647	0.0852045	0.0602625	0.0590717	0.051873
a93	0.14872	0.117912	0.108898	0.111766	0.132728	0.11404	0.087897	0.100715	0.0773226
a90	0.1363	0.15068	0.136645	0.147915	0.13672	0.0787781	0.0597089	0.0923325	0.0609214
a54	0.106255	0.121123	0.108613	0.112889	0.134249	0.110774	0.0900386	0.128976	0.0870834
a94	0.104621	0.127299	0.121694	0.133959	0.134141	0.106887	0.0794954	0.108788	0.0831154
a96	0.0441552	0.0526468	0.0510928	0.0716706	0.0985721	0.125995	0.126056	0.226362	0.203449
a70	0.0134494	0.0158029	0.0121619	0.0228435	0.0482341	0.109816	0.147661	0.289716	0.340316
a30	0.00809556	0.0105099	0.00879611	0.0204305	0.0489711	0.121612	0.152488	0.296163	0.332934
a93	0.00155518	0.00269534	0.00296125	0.00897606	0.028541	0.0894237	0.16846	0.323149	0.374239
a70	0.00105374	0.00190493	0.00159694	0.0035793	0.00773371	0.0373949	0.119926	0.346868	0.479943
a93	0.000613845	0.00115047	0.00104351	0.00213363	0.00414902	0.0270166	0.12416	0.360686	0.479046
a70	0.00112728	0.0020526	0.00194583	0.00394009	0.00744664	0.0331994	0.115533	0.341669	0.493087
a99	0.000781701	0.00137647	0.00138591	0.00263673	0.0033997	0.0218215	0.114442	0.309001	0.545155
a18	0.00230885	0.00405177	0.00593704	0.0127725	0.0115428	0.0452945	0.155196	0.248438	0.514458
a9	0.0308965	0.0362389	0.0427804	0.0735791	0.0322162	0.0657686	0.132308	0.173185	0.413028
a3	0.111964	0.110291	0.0945047	0.11329	0.0512114	0.06779	0.106792	0.115441	0.228715
a97	0.164251	0.168666	0.144568	0.144654	0.0675252	0.0665509	0.0817811	0.0683584	0.0936459
a87	0.103587	0.122252	0.116515	0.151061	0.0962024	0.111235	0.118671	0.0840011	0.0964763
a23	0.110409	0.133731	0.138245	0.175903	0.100832	0.0971834	0.0956107	0.0718176	0.0762675
a87	0.126938	0.125172	0.0956517	0.0851385	0.0887545	0.114208	0.16091	0.109784	0.0934429
a23	0.120638	0.132617	0.0976179	0.089621	0.070058	0.0909627	0.150954	0.130697	0.116833
a87	0.154493	0.167103	0.114818	0.101345	0.0664185	0.0766378	0.118992	0.106024	0.0941693
</S>	0.164092	0.198071	0.13108	0.120629	0.0693294	0.0628887	0.0946145	0.0844282	0.0748683
