 	va	prendre	de	l'	eau	dans	la	maison	</S>
a66	0.295975	0.219343	0.141153	0.130546	0.0896612	0.0561704	0.0312046	0.0203091	0.0156374
a87	0.257003	0.158558	0.12757	0.114024	0.0862938	0.0736175	0.0618023	0.0647173	0.0564142
a97	0.251605	0.231629	0.155611	0.116717	0.0716893	0.0477889	0.0385984	0.0441752	0.0421871
a87	0.268645	0.254167	0.155122	0.114277	0.066932	0.0421129	0.0318266	0.0336351	0.0332831
a23	0.291767	0.251483	0.150756	0.108538	0.0621605	0.0385269	0.0300353	0.0331812	0.0335509
a99	0.362532	0.286742	0.13072	0.0846969	0.0470655	0.02933	0.0198778	0.0178622	0.0211744
a38	0.340939	0.267721	0.156499	0.098624	0.0453075	0.0261694	0.0198792	0.0177573	0.0271039
a93	0.318241	0.217894	0.168789	0.12333	0.0676244	0.0435289	0.0275398	0.017043	0.01601
a4	0.215026	0.1586	0.165811	0.151576	0.109883	0.0768635	0.0522114	0.0372003	0.0328287
a93	0.143443	0.125606	0.146549	0.148075	0.124562	0.102875	0.081577	0.0663673	0.0609451
a90	0.133581	0.129591	0.148203	0.152658	0.117893	0.0959406	0.0794795	0.0721828	0.0704724
a15	0.102481	0.096459	0.129145	0.148334	0.129201	0.114643	0.0951105	0.0907939	0.0938326
a79	0.0616367	0.0782397	0.102058	0.125056	0.126746	0.137716	0.128648	0.11859	0.121309
a98	0.0725522	0.08438	0.10197	0.129462	0.131678	0.130312	0.115646	0.110586	0.123413
a47	0.0669564	0.0872071	0.111812	0.144637	0.146695	0.140376	0.117223	0.0948576	0.0902362
a0	0.0472353	0.0591871	0.0723544	0.101709	0.121318	0.143532	0.142897	0.138104	0.173663
a98	0.013172	0.0146559	0.0187901	0.0313873	0.0651813	0.117657	0.163069	0.220089	0.355998
a6	0.00944291	0.0112299	0.0168248	0.0296188	0.070893	0.145107	0.201644	0.233118	0.282121
a36	0.00874125	0.0103688	0.0139194	0.0235185	0.0535694	0.109741	0.177655	0.253491	0.348996
a12	0.00249173	0.00219577	0.00273958	0.00404846	0.0115187	0.0380309	0.105338	0.275274	0.558363
a88	0.00183526	0.00182213	0.0022685	0.0036093	0.0113245	0.0379063	0.101834	0.272537	0.566863
a71	0.000565665	0.000501113	0.000774978	0.00110474	0.00332642	0.0141935	0.0573103	0.253879	0.668344
a9	0.00391078	0.00300736	0.00494933	0.00702915	0.015467	0.0356188	0.0916204	0.242245	0.596152
a99	0.0490508	0.0383279	0.0404709	0.0428507	0.0605219	0.0800006	0.123913	0.195727	0.369137
a87	0.107596	0.0789931	0.0667058	0.0581572	0.0721406	0.0848271	0.114409	0.179688	0.237483
a23	0.123436	0.0941669	0.0888371	0.0791989	0.095512	0.0978241	0.110659	0.143174	0.167192
a99	0.0312756	0.0201479	0.0214004	0.0209163	0.0442227	0.0839936	0.139573	0.277709	0.360761
a97	0.0102556	0.00845475	0.0113515	0.0141415	0.0392885	0.0811182	0.135111	0.290109	0.41017
</S>	0.00562863	0.00623338	0.00816304	0.0103292	0.0285544	0.0657034	0.124911	0.2906	0.459877
