 	okoumou	est	en	train	de	clôturer	sa	parcelle	</S>
a82	0.313332	0.14835	0.13152	0.128314	0.104123	0.0828357	0.0478305	0.0256676	0.0180266
a10	0.253949	0.162261	0.119719	0.121384	0.109762	0.0837953	0.0562958	0.0447707	0.0480624
a87	0.510011	0.196641	0.0843984	0.0576002	0.0428018	0.0319512	0.0220602	0.0249965	0.0295396
a97	0.449665	0.224567	0.104411	0.0629784	0.0457383	0.0325511	0.0244933	0.0253167	0.0302791
a30	0.381548	0.223637	0.119564	0.073774	0.0534296	0.038446	0.0344767	0.0344284	0.0406958
a93	0.46721	0.195956	0.0946753	0.0583051	0.0449043	0.0369492	0.0365435	0.0315092	0.0339476
a4	0.435177	0.217857	0.123246	0.0693284	0.0423878	0.0295569	0.0281862	0.0263277	0.0279335
a13	0.293459	0.236914	0.18375	0.107069	0.0588833	0.0351984	0.026624	0.0251551	0.0329466
a53	0.230508	0.215315	0.189927	0.122765	0.0706041	0.0475161	0.0375367	0.038159	0.0476697
a44	0.167862	0.176215	0.178034	0.132851	0.0831919	0.0634555	0.0538141	0.0623964	0.0821804
a75	0.145225	0.157245	0.167116	0.1365	0.091677	0.0716512	0.0593684	0.0735836	0.0976338
a56	0.100596	0.134902	0.166507	0.167279	0.128359	0.0960495	0.0683841	0.0622929	0.0756314
a94	0.0954767	0.120432	0.157417	0.169518	0.135537	0.0961982	0.0610841	0.0691332	0.095203
a90	0.065064	0.0864698	0.127847	0.165313	0.154119	0.120998	0.0749181	0.0833552	0.121916
a98	0.0567278	0.0821935	0.13276	0.17943	0.170515	0.141239	0.0836738	0.0701497	0.0833114
a47	0.0314103	0.0509188	0.098347	0.167497	0.172879	0.14602	0.101222	0.0966738	0.135033
a7	0.0221114	0.0290216	0.0530946	0.102759	0.129282	0.123466	0.107317	0.153576	0.279372
a98	0.0159348	0.0154814	0.0225422	0.0385761	0.0534845	0.0643519	0.093028	0.204145	0.492456
a47	0.0169663	0.0223749	0.0362842	0.0648891	0.0891741	0.115734	0.137173	0.184402	0.333003
a37	0.0137642	0.0147127	0.0213344	0.0390831	0.0570231	0.0807839	0.12659	0.214344	0.432364
a75	0.00690856	0.00500047	0.0057705	0.0101806	0.0165627	0.0291316	0.0836916	0.236272	0.606481
a56	0.00502367	0.00490834	0.00737463	0.015939	0.0277411	0.0529557	0.144899	0.267604	0.473554
a43	0.00300009	0.0025752	0.00354666	0.00701271	0.012029	0.0244475	0.0851035	0.258699	0.603586
a66	0.00266959	0.00212737	0.00246648	0.00468857	0.00806656	0.022222	0.078027	0.276978	0.602754
a9	0.0137111	0.0104273	0.00999461	0.0160982	0.0252193	0.0515261	0.102696	0.233238	0.53709
a99	0.08425	0.0476021	0.0374901	0.0459718	0.0482257	0.0572079	0.0895287	0.187253	0.40247
a97	0.139775	0.0906039	0.0635521	0.0677709	0.0664891	0.0680718	0.100949	0.160732	0.242055
a87	0.124402	0.0855897	0.0642484	0.071735	0.0751707	0.0822058	0.126203	0.170399	0.200045
a97	0.0989126	0.0686173	0.0553295	0.0663595	0.0760327	0.0918261	0.138984	0.188036	0.215902
a87	0.173469	0.0914819	0.0618861	0.0674427	0.0704734	0.070434	0.0993603	0.155702	0.20975
</S>	0.129068	0.0745982	0.0551031	0.0590905	0.0602483	0.0623544	0.0958548	0.182508	0.281174
