 	celui	qui	nous	a	fait	remonter	le	fleuve	était	en	pirogue	</S>
a66	0.215761	0.154203	0.0787446	0.0542144	0.0579849	0.103402	0.0797465	0.0865048	0.0639124	0.0457834	0.0310106	0.0287319
a87	0.194504	0.115879	0.0898698	0.086504	0.123314	0.108935	0.0631755	0.0791632	0.049936	0.0343293	0.0256995	0.02869
a23	0.330633	0.247022	0.196898	0.110132	0.0383509	0.025303	0.0126989	0.0119818	0.00606084	0.00511984	0.00644829	0.00935128
a87	0.379028	0.25366	0.174008	0.104667	0.0307724	0.0117083	0.00746274	0.00963347	0.00607332	0.00496019	0.00646613	0.01156
a23	0.395915	0.259393	0.178567	0.0980734	0.0244229	0.0108565	0.00601516	0.00686626	0.00450395	0.00387046	0.00442779	0.00708844
a79	0.475127	0.210071	0.119363	0.0718365	0.0244447	0.0129237	0.011525	0.0148425	0.0114153	0.0106545	0.0139271	0.0238698
a99	0.267519	0.149964	0.124122	0.110099	0.0593791	0.0451238	0.038155	0.0520207	0.0339013	0.0324686	0.0385184	0.048729
a30	0.143585	0.101631	0.0993732	0.116336	0.0941662	0.0851873	0.0587067	0.0676319	0.0481399	0.0479054	0.06019	0.0771473
a99	0.084722	0.075069	0.0789795	0.097346	0.090585	0.0828836	0.0670471	0.0747351	0.0614164	0.0702493	0.0932787	0.123688
a38	0.0881749	0.0778996	0.0781871	0.0901806	0.0852349	0.087969	0.0729318	0.0801711	0.064035	0.0693153	0.0914842	0.114417
a83	0.0396024	0.0431121	0.0535004	0.0742074	0.0943632	0.108369	0.0909142	0.0969667	0.0783821	0.0789524	0.106627	0.135003
a0	0.0189944	0.0255413	0.0547598	0.127178	0.218175	0.151244	0.0858284	0.0710522	0.053953	0.0463924	0.060652	0.08623
a24	0.0119222	0.0147099	0.0337284	0.0895713	0.20313	0.184608	0.104732	0.0785167	0.0611549	0.0521583	0.0662028	0.0995667
a11	0.00797012	0.0134371	0.0352435	0.0756877	0.206571	0.181543	0.106239	0.0762262	0.0596072	0.052827	0.0714403	0.113208
a98	0.00921143	0.0122159	0.0263094	0.0575331	0.182921	0.211605	0.128618	0.0860488	0.0586996	0.0483364	0.0669872	0.111514
a83	0.0106025	0.0147013	0.030862	0.0595832	0.200815	0.2239	0.135722	0.0972949	0.0598635	0.0407195	0.0485981	0.0773382
a75	0.00629847	0.00816262	0.0176665	0.0355609	0.144346	0.209115	0.156503	0.112756	0.0820559	0.0588199	0.0676035	0.101113
a6	0.00824864	0.0103465	0.0190697	0.0327126	0.0930848	0.167763	0.146409	0.120343	0.108176	0.0939141	0.0932937	0.106638
a44	0.00815112	0.0115892	0.0182047	0.0265966	0.0761501	0.166449	0.169734	0.146477	0.117546	0.0974235	0.0824124	0.0792664
a11	0.00517182	0.00601462	0.0101663	0.0170349	0.048998	0.11517	0.158865	0.14353	0.135426	0.110467	0.112004	0.137152
a90	0.00371963	0.00351561	0.00477941	0.00824565	0.030168	0.063701	0.12371	0.122566	0.138732	0.120582	0.150075	0.230205
a69	0.00507773	0.00545119	0.00780084	0.010848	0.0289397	0.0732195	0.140156	0.155847	0.1651	0.137935	0.124962	0.144663
a4	0.00462536	0.00473594	0.0077486	0.0112521	0.0299066	0.0821992	0.150832	0.152445	0.159212	0.135941	0.125218	0.135884
a13	0.00231021	0.00196711	0.00233251	0.00354295	0.0119193	0.0310105	0.0812153	0.101547	0.143119	0.155087	0.197722	0.268226
a44	0.00104911	0.000790543	0.00099471	0.00144441	0.00450919	0.0101992	0.0360084	0.0499172	0.0916669	0.125785	0.248923	0.428712
a54	0.000845312	0.000663493	0.000786368	0.00101506	0.00288336	0.00629975	0.0244943	0.0404851	0.0884723	0.135451	0.271357	0.427246
a6	0.00200142	0.00164855	0.00265762	0.00369995	0.00942914	0.016629	0.0393125	0.0434569	0.091813	0.136132	0.261192	0.392028
a44	0.00252391	0.00188661	0.00257842	0.0032576	0.00731816	0.014613	0.0352215	0.043036	0.0912907	0.143039	0.267726	0.38751
a26	0.00113195	0.000805306	0.000820897	0.0010066	0.00254071	0.00437019	0.0131746	0.0211219	0.0578125	0.120013	0.296957	0.480246
a84	0.000372761	0.000252169	0.000344809	0.000411544	0.000807407	0.000813617	0.00327199	0.00703551	0.0323514	0.096946	0.309416	0.547977
a82	0.00312742	0.00173484	0.00188625	0.00189838	0.00287875	0.00246949	0.00621352	0.00917623	0.0398158	0.117758	0.288795	0.524247
a87	0.105882	0.0523814	0.0430673	0.0319	0.0302845	0.0189321	0.0224055	0.0236184	0.0542721	0.111578	0.199388	0.306291
a23	0.278345	0.177164	0.129349	0.0693565	0.0405157	0.0205957	0.0183361	0.0202025	0.0362351	0.0508491	0.0689682	0.0900837
a87	0.226556	0.206959	0.152481	0.0914619	0.0545434	0.0190456	0.0177889	0.0235835	0.0341537	0.0430868	0.0571217	0.0732193
a23	0.125384	0.143452	0.144905	0.07886	0.0459427	0.0229905	0.0301038	0.0382188	0.0519203	0.0634076	0.102922	0.151894
a87	0.139974	0.158753	0.135758	0.0700358	0.0448907	0.0396674	0.0493869	0.0618229	0.0604794	0.0629356	0.0750593	0.101237
</S>	0.113412	0.166201	0.124282	0.0720605	0.055711	0.045377	0.0503473	0.0614681	0.0561908	0.0608149	0.0810133	0.113122
