 	une	bande	de	buffles	se	dirigea	vers	les	chasseurs	</S>
a23	0.200624	0.122653	0.131977	0.139531	0.140016	0.126791	0.0557744	0.0325581	0.025599	0.0244769
a85	0.250799	0.195999	0.156054	0.101231	0.0878318	0.0783135	0.038119	0.0281823	0.0294171	0.0340532
a87	0.208086	0.261734	0.207942	0.114203	0.0639961	0.0356521	0.0194249	0.0194957	0.0260574	0.043409
a23	0.204589	0.213955	0.178363	0.125282	0.080846	0.0447996	0.0318708	0.0298051	0.0376586	0.0528313
a94	0.354217	0.270551	0.143202	0.0568579	0.026909	0.0167132	0.0134731	0.0168205	0.0325593	0.0686969
a96	0.517052	0.18613	0.100112	0.0497922	0.0238086	0.0162271	0.00993665	0.0201923	0.029061	0.0476889
a71	0.48519	0.240356	0.126866	0.0659339	0.0301104	0.0137691	0.00751222	0.00813052	0.00919647	0.0129357
a53	0.26852	0.202914	0.158277	0.126508	0.0850273	0.0452517	0.0311369	0.0240114	0.0254201	0.0329332
a94	0.202406	0.185953	0.160778	0.132081	0.0975356	0.0557297	0.0412436	0.036008	0.0393363	0.0489289
a66	0.205314	0.205114	0.18704	0.143427	0.10107	0.0500399	0.0292969	0.0240935	0.0251406	0.0294652
a54	0.166168	0.181151	0.174514	0.159034	0.12121	0.0618544	0.0424652	0.0304994	0.0298732	0.0332312
a41	0.124505	0.157394	0.169282	0.14832	0.132495	0.0897718	0.0593506	0.042675	0.0378396	0.0383663
a5	0.126892	0.16628	0.175089	0.159102	0.142125	0.0839457	0.0534827	0.0348806	0.0293644	0.0288385
a41	0.0652859	0.106879	0.138995	0.150908	0.159371	0.108083	0.0805261	0.062306	0.0601409	0.0675058
a35	0.0427298	0.0735396	0.12024	0.149088	0.171916	0.131146	0.0979428	0.0694135	0.0659901	0.077994
a11	0.0399853	0.0594451	0.105405	0.146842	0.165586	0.140039	0.100454	0.0751983	0.0736384	0.0934051
a75	0.0466216	0.0635188	0.11283	0.148346	0.163939	0.117883	0.0807251	0.0607153	0.0767819	0.12864
a41	0.0478155	0.0556076	0.101771	0.155317	0.162312	0.126764	0.0802566	0.0668235	0.0777253	0.125607
a21	0.0475862	0.0473989	0.0852899	0.13103	0.146715	0.149267	0.104699	0.0822032	0.084894	0.120917
a12	0.046718	0.0439265	0.0587795	0.0909238	0.119822	0.14807	0.14261	0.111904	0.103693	0.133554
a61	0.0469296	0.0540042	0.0758545	0.0822462	0.0900264	0.111857	0.118799	0.116744	0.122899	0.18064
a24	0.0516204	0.0610293	0.0808595	0.0805567	0.0815776	0.101111	0.118267	0.135414	0.131361	0.158203
a21	0.0518063	0.0637905	0.0828556	0.0765827	0.0749772	0.0969787	0.113215	0.137021	0.141427	0.161346
a47	0.0481609	0.0514648	0.0676784	0.0726568	0.07277	0.09835	0.113113	0.149792	0.144113	0.181902
a31	0.0423546	0.055511	0.0756764	0.0750811	0.0742836	0.0877806	0.111978	0.148139	0.15369	0.175505
a21	0.0536899	0.0677405	0.0922846	0.0902259	0.0785368	0.0859324	0.095284	0.131372	0.137709	0.167225
a85	0.0325507	0.0318509	0.0451665	0.0532814	0.0509576	0.0672312	0.0960335	0.166658	0.194564	0.261706
a41	0.0225118	0.0207006	0.030148	0.0394665	0.0407328	0.0674545	0.0956788	0.143976	0.195875	0.343456
a37	0.0191857	0.0156907	0.021359	0.0311181	0.0318608	0.0633747	0.0970252	0.159389	0.205902	0.355095
a98	0.0110267	0.0142909	0.0226534	0.030412	0.0312204	0.0527284	0.081906	0.153679	0.22049	0.381594
a41	0.0136615	0.0168966	0.0255999	0.0341288	0.0391905	0.0645318	0.103012	0.169391	0.213917	0.319671
a98	0.0127014	0.0136455	0.0211964	0.02894	0.0307911	0.0580985	0.0929276	0.164297	0.23412	0.343283
a41	0.00988654	0.0109803	0.0160109	0.0219912	0.0258947	0.0478093	0.0798578	0.16111	0.258197	0.368262
a26	0.00931017	0.0106241	0.0142395	0.0187486	0.0214911	0.042078	0.0675685	0.140269	0.250737	0.424934
a47	0.00912178	0.00864314	0.0114195	0.011323	0.0147914	0.03136	0.0435088	0.116553	0.257228	0.496052
a62	0.00421669	0.00468783	0.00763853	0.00852679	0.0122432	0.0255821	0.0367967	0.10325	0.255762	0.541296
a83	0.00994176	0.0102519	0.014187	0.0185801	0.0211801	0.0377115	0.0557752	0.108939	0.234042	0.489392
a9	0.00633899	0.00652652	0.00859293	0.00944009	0.0126963	0.0299842	0.0471512	0.106535	0.24374	0.528994
a10	0.00407223	0.00381704	0.00503095	0.0067246	0.00914413	0.02416	0.0453085	0.116262	0.275309	0.510171
a87	0.00571855	0.00537423	0.00584983	0.00684159	0.00947841	0.0259416	0.0443181	0.104338	0.273136	0.519004
a23	0.0204859	0.0174866	0.0180187	0.0177472	0.0175275	0.0435074	0.0715937	0.120814	0.255229	0.41759
a87	0.00929023	0.00810321	0.00781936	0.00860367	0.013321	0.0350074	0.0714146	0.14888	0.300254	0.397306
</S>	0.00995756	0.00671113	0.00722713	0.00820817	0.0130207	0.0349397	0.0743256	0.138305	0.279291	0.428014
