 	l'	homme	met	un	bouchon	sur	la	bouteille	</S>
a23	0.376393	0.236847	0.107153	0.0855685	0.0829129	0.0459183	0.0224724	0.0194121	0.0233231
a87	0.470165	0.256411	0.0633457	0.051631	0.0444019	0.0422441	0.0301269	0.0210232	0.0206506
a23	0.269035	0.263413	0.172425	0.121435	0.0732453	0.0290957	0.0153035	0.0171101	0.0389376
a87	0.32025	0.324256	0.185628	0.0792688	0.0306404	0.00993727	0.00789259	0.0119754	0.0301509
a23	0.323636	0.318097	0.169736	0.0635444	0.0291841	0.0190892	0.0157831	0.0205693	0.0403618
a87	0.388948	0.311143	0.127178	0.0461981	0.0296503	0.0104141	0.0101453	0.0224589	0.053864
a23	0.341133	0.320744	0.164386	0.0587036	0.0332903	0.0127175	0.00888558	0.0164178	0.043723
a50	0.388087	0.312293	0.151117	0.0573204	0.0330738	0.00875812	0.00611369	0.0132693	0.0299676
a83	0.424687	0.299169	0.127827	0.0573466	0.0366962	0.0179136	0.0104763	0.0105229	0.0153609
a9	0.396769	0.302099	0.126828	0.0815079	0.0559244	0.0160253	0.0065938	0.00685454	0.00739812
a54	0.29655	0.258931	0.170469	0.115157	0.0638632	0.0290196	0.0189356	0.020843	0.0262311
a30	0.238205	0.208548	0.154053	0.13214	0.103071	0.0555667	0.0360548	0.0342196	0.0381427
a41	0.240979	0.198327	0.149498	0.151251	0.12278	0.0748001	0.0268891	0.0189017	0.0165739
a24	0.225086	0.208222	0.177319	0.165541	0.123963	0.0613172	0.0182825	0.0104507	0.00981846
a25	0.191483	0.179119	0.167819	0.168904	0.14196	0.0769806	0.0285032	0.0202514	0.0249795
a38	0.0926811	0.101797	0.116348	0.148576	0.167508	0.129231	0.0746307	0.072794	0.0964338
a75	0.153291	0.138806	0.129194	0.145019	0.148167	0.111999	0.0631289	0.0512814	0.0591138
a41	0.0989264	0.0809005	0.0834962	0.116644	0.152174	0.200162	0.115444	0.0750567	0.0771959
a61	0.094481	0.0960347	0.119666	0.171078	0.200643	0.142808	0.0725571	0.0531292	0.0496026
a26	0.0616624	0.0613498	0.0731934	0.101992	0.123882	0.20058	0.15603	0.0987781	0.122532
a24	0.0419469	0.0424369	0.0640977	0.116469	0.137742	0.243822	0.158896	0.0884497	0.10614
a94	0.0587506	0.0589137	0.0730744	0.0989828	0.109823	0.183903	0.188936	0.120746	0.106871
a76	0.0395638	0.0371973	0.0457707	0.0656041	0.0736791	0.166944	0.229327	0.161608	0.180306
a25	0.0338006	0.0312584	0.0427798	0.0673548	0.0772432	0.163672	0.233783	0.169654	0.180454
a56	0.0324636	0.0306747	0.0462074	0.0622052	0.0591823	0.10515	0.214712	0.220285	0.22912
a75	0.016194	0.0114084	0.0138791	0.0209056	0.0280379	0.0932186	0.258828	0.27098	0.286548
a41	0.012008	0.00793404	0.00981326	0.0167926	0.028475	0.104286	0.261488	0.291803	0.2674
a61	0.0132375	0.00859188	0.00960935	0.0142552	0.0271967	0.100427	0.258453	0.307153	0.261077
a31	0.00789883	0.00549585	0.00584108	0.00795382	0.01264	0.0510898	0.177377	0.342549	0.389155
a24	0.0099491	0.00864354	0.00862065	0.00949247	0.012834	0.0392336	0.129804	0.319474	0.461949
a9	0.00726136	0.00620121	0.00565841	0.00569079	0.00745901	0.0242468	0.0848591	0.257865	0.600758
a62	0.0132531	0.0083152	0.00634977	0.00444424	0.0043968	0.0202137	0.0837548	0.233408	0.625864
a47	0.0133461	0.0112572	0.0104817	0.00862024	0.00974896	0.0231598	0.0813627	0.260305	0.581718
a83	0.00907361	0.00739515	0.00660289	0.00524333	0.00645424	0.0229829	0.0879131	0.294418	0.559917
a24	0.00997128	0.00733166	0.00587702	0.00455837	0.00577459	0.024385	0.0993837	0.305367	0.537352
a62	0.0119999	0.00913542	0.00536554	0.00358914	0.00453591	0.0214483	0.0774937	0.252681	0.613751
a26	0.0219294	0.0159067	0.00915979	0.00603335	0.00740755	0.0277506	0.0931161	0.268936	0.54976
a24	0.0406068	0.0246417	0.0127479	0.0086782	0.0108661	0.0398904	0.109812	0.221718	0.531039
a83	0.0340875	0.0232701	0.0115817	0.00610622	0.00652247	0.0288802	0.107031	0.238764	0.543757
a9	0.0275848	0.0186543	0.00989502	0.00537471	0.00557759	0.0286754	0.104913	0.248982	0.550343
a99	0.0171088	0.00906792	0.00486587	0.00436294	0.00732836	0.0305336	0.0873113	0.205003	0.634418
a87	0.0219491	0.0156772	0.00722517	0.00504971	0.0113582	0.0213774	0.053055	0.178031	0.686277
</S>	0.0272609	0.0235659	0.0183646	0.0155325	0.0188542	0.0253012	0.0543345	0.175952	0.640835
