 	son	aîné	lui	a	flanqué	une	taloche	sur	la	tête	</S>
a66	0.157207	0.124799	0.148763	0.130892	0.268304	0.0931411	0.0374647	0.0162636	0.0107692	0.00654941	0.00584688
a87	0.239325	0.153072	0.137562	0.107874	0.157729	0.0810083	0.0434063	0.0259643	0.0232008	0.0157337	0.0151241
a23	0.325963	0.203068	0.187182	0.110938	0.0933766	0.0405333	0.0119195	0.00689031	0.00659967	0.00639153	0.00713767
a97	0.316743	0.204035	0.185407	0.103871	0.0789863	0.0447569	0.0215293	0.0118141	0.0115661	0.0100209	0.0112709
a10	0.395605	0.206666	0.143314	0.0760126	0.0509263	0.0384228	0.027059	0.0178257	0.0157535	0.0137115	0.0147041
a87	0.445087	0.213935	0.122466	0.0664409	0.0404074	0.0304128	0.0254316	0.0165237	0.0136503	0.0122307	0.0134144
a10	0.454847	0.21806	0.125829	0.0656946	0.0393173	0.0279842	0.0212169	0.0142297	0.0113353	0.0100854	0.0114004
a87	0.473271	0.215069	0.108952	0.0599119	0.0336857	0.025002	0.0244226	0.016198	0.0136989	0.0137727	0.0160161
a79	0.463465	0.192698	0.103953	0.0616342	0.0388371	0.0303649	0.0325578	0.0242166	0.0179016	0.0163933	0.0179793
a53	0.350911	0.221244	0.146258	0.0881384	0.05042	0.0484051	0.036599	0.0207024	0.0131316	0.0109191	0.013272
a93	0.367617	0.231691	0.118006	0.0896673	0.0446449	0.039602	0.032122	0.0221333	0.017986	0.0189956	0.0175357
a56	0.208634	0.153646	0.0933359	0.0959207	0.06801	0.0755155	0.068093	0.0685416	0.0595502	0.0591685	0.0495848
a53	0.13549	0.11649	0.0909166	0.104103	0.100887	0.0932907	0.0700499	0.07179	0.0690246	0.0773356	0.070623
a15	0.111877	0.10166	0.083893	0.108549	0.120931	0.101699	0.0728284	0.0734262	0.0718729	0.0786733	0.0745899
a41	0.0771407	0.0779732	0.0717817	0.0976641	0.133001	0.11598	0.0847279	0.082685	0.0763486	0.0880428	0.0946552
a56	0.0896624	0.0836463	0.0725821	0.0892439	0.12933	0.0998355	0.0782558	0.0780533	0.0717321	0.0966672	0.110992
a21	0.0468138	0.0471252	0.0449356	0.0539702	0.0847534	0.0818414	0.0750099	0.100857	0.115504	0.151562	0.197627
a12	0.0510144	0.052346	0.0514301	0.0634141	0.0970202	0.0945444	0.0857822	0.10727	0.110335	0.130137	0.156706
a96	0.0165056	0.0181926	0.0187385	0.0254087	0.0523634	0.0612477	0.0751641	0.117087	0.145337	0.202446	0.26751
a70	0.0122506	0.013312	0.0138899	0.020138	0.0443886	0.0584543	0.0754019	0.114379	0.151939	0.213106	0.28274
a11	0.00817223	0.00846297	0.0093354	0.0142354	0.0404723	0.0620668	0.0846212	0.109914	0.151385	0.227862	0.283473
a70	0.00666869	0.00769672	0.00890563	0.0130789	0.041574	0.0679413	0.0882675	0.110574	0.159763	0.228092	0.267438
a4	0.00405748	0.00466054	0.00490928	0.00641708	0.0187752	0.0395388	0.0727412	0.103579	0.173424	0.25073	0.321168
a57	0.00366172	0.00450789	0.00407405	0.00548734	0.0151043	0.0356968	0.0728317	0.103617	0.17266	0.248558	0.333801
a4	0.00301428	0.0039154	0.00380496	0.00512439	0.0149538	0.0332184	0.0645253	0.0928644	0.182909	0.264109	0.33156
a99	0.00211504	0.00258537	0.00222111	0.00268679	0.00654018	0.0178819	0.0533828	0.0874804	0.197823	0.277026	0.350257
a24	0.00239556	0.00319576	0.00295051	0.00370505	0.00750151	0.0181812	0.0559849	0.116488	0.233032	0.253479	0.303087
a9	0.00187083	0.00200398	0.00154103	0.00173303	0.00256933	0.00656558	0.0269229	0.0693602	0.178271	0.295188	0.413974
a50	0.00996843	0.0102227	0.00702131	0.00694874	0.00782524	0.0152853	0.0417977	0.0953868	0.180236	0.254838	0.37047
a83	0.016237	0.0165207	0.0113726	0.0103266	0.00965436	0.017609	0.0413484	0.0889409	0.169857	0.249024	0.36911
a18	0.00373447	0.00475122	0.00320015	0.00371923	0.00449401	0.0104643	0.0334424	0.0726288	0.139296	0.259911	0.464358
a99	0.0148884	0.0142966	0.00913694	0.008846	0.00949669	0.0188045	0.0415237	0.0787623	0.138765	0.240484	0.424997
a13	0.0410303	0.0299645	0.0191994	0.0150656	0.0146153	0.0223066	0.0377193	0.070358	0.131601	0.224312	0.393829
a9	0.0291418	0.0232414	0.0136667	0.0118316	0.0105735	0.0181223	0.0343694	0.0611627	0.113265	0.224871	0.459755
a87	0.109669	0.0630227	0.0410377	0.0267588	0.0267636	0.0277617	0.0326321	0.0623993	0.118656	0.187168	0.304131
a23	0.198362	0.138409	0.108939	0.0767444	0.0911169	0.058035	0.0403944	0.0468863	0.064071	0.0793933	0.0976483
a87	0.195093	0.104468	0.0468485	0.0332399	0.0409057	0.038697	0.0481867	0.064986	0.098002	0.148922	0.180651
a97	0.171331	0.108438	0.0634945	0.0494514	0.0664422	0.0594046	0.0604156	0.0573243	0.080756	0.128561	0.154382
a10	0.194311	0.143386	0.0958905	0.0786143	0.11481	0.0771025	0.0505914	0.0416086	0.0530709	0.0718712	0.0787434
</S>	0.151589	0.111665	0.0638206	0.0570562	0.0738713	0.070446	0.0625296	0.0589132	0.0877242	0.127574	0.134811
