 	il	n'	aime	pas	être	battu	au	jeu	</S>
a23	0.265974	0.141332	0.0824118	0.0657614	0.0697018	0.0619869	0.0631336	0.101072	0.148626
a85	0.423158	0.235806	0.14447	0.0654415	0.0308623	0.017385	0.0174461	0.0231822	0.0422489
a87	0.294533	0.228729	0.16146	0.0537287	0.0277942	0.0207943	0.0336683	0.0585032	0.12079
a23	0.294471	0.244961	0.18765	0.0869205	0.0366436	0.0220229	0.0286015	0.0362344	0.0624953
a20	0.281508	0.189892	0.12284	0.041224	0.0235904	0.02168	0.0405752	0.0804948	0.198194
a44	0.361363	0.27751	0.1647	0.0495655	0.0327033	0.0239613	0.0230603	0.0261567	0.04098
a11	0.329841	0.281125	0.19558	0.0745006	0.0427669	0.0244162	0.0188322	0.0149071	0.0180322
a98	0.262305	0.253788	0.217712	0.116119	0.0668193	0.030127	0.0199997	0.0158056	0.0173242
a71	0.210347	0.216749	0.212678	0.137348	0.0869531	0.0493929	0.0335918	0.0261098	0.0268303
a38	0.187765	0.202129	0.213951	0.158851	0.107647	0.0553671	0.0313109	0.0215494	0.0214298
a76	0.168531	0.194331	0.2196	0.167751	0.110057	0.0602935	0.0345993	0.0227102	0.0221269
a32	0.182226	0.195555	0.192646	0.131139	0.0901241	0.0674722	0.0564441	0.0429832	0.0414109
a75	0.165633	0.194514	0.213193	0.151326	0.104802	0.0660163	0.0444857	0.0302092	0.0298201
a73	0.109537	0.136998	0.181996	0.148935	0.11016	0.0914617	0.0827134	0.0691362	0.0690625
a2	0.0801313	0.114822	0.188183	0.187585	0.14902	0.108664	0.0719363	0.049046	0.0506126
a20	0.0314289	0.0384091	0.0625162	0.114604	0.148862	0.185712	0.158313	0.119991	0.140164
a73	0.0406711	0.044058	0.0618514	0.0843363	0.0892705	0.118713	0.158801	0.167541	0.234757
a94	0.0216007	0.0298681	0.0565866	0.105005	0.132064	0.156884	0.163562	0.152275	0.182155
a41	0.0273539	0.0313383	0.0495243	0.10016	0.152652	0.18951	0.16362	0.126445	0.159396
a61	0.021678	0.0249441	0.036542	0.0788587	0.131323	0.17434	0.176961	0.158055	0.197298
a98	0.0206268	0.0222498	0.0303303	0.0528371	0.0961731	0.172986	0.232056	0.185796	0.186946
a73	0.0198579	0.0230712	0.0344167	0.0629761	0.122391	0.186589	0.188825	0.168634	0.193239
a40	0.0229651	0.0240171	0.0303097	0.0515616	0.104983	0.176334	0.192413	0.179183	0.218233
a54	0.0281574	0.0291074	0.0357894	0.0539472	0.0942398	0.15073	0.17931	0.188256	0.240463
a73	0.031722	0.0335699	0.0402777	0.0495838	0.084286	0.150778	0.197349	0.189784	0.22265
a84	0.0270749	0.0264251	0.0296586	0.0349214	0.061567	0.129345	0.204043	0.210025	0.27694
a57	0.0105017	0.0108553	0.0138263	0.0173866	0.0275979	0.0611061	0.134661	0.256993	0.467071
a87	0.00547026	0.00482706	0.00704264	0.0110898	0.0207595	0.0452638	0.109184	0.275985	0.520377
</S>	0.00330488	0.0022007	0.00263858	0.00448038	0.0117989	0.0336425	0.0992982	0.297206	0.54543
