 	prend	cette	corde	et	attache	le	cabri	à	ce	poteau	</S>
a66	0.19973	0.110799	0.0573138	0.0948135	0.102694	0.102083	0.102805	0.100432	0.0698763	0.0427329	0.0167203
a87	0.375636	0.180886	0.0439291	0.0254526	0.0263428	0.0443666	0.073578	0.0862033	0.0633146	0.0493812	0.0309099
a23	0.399355	0.218044	0.105627	0.0755052	0.0545706	0.0379538	0.034378	0.0263566	0.0182984	0.014536	0.015375
a30	0.415195	0.211582	0.0867551	0.0519853	0.0432421	0.0408993	0.0420145	0.0356064	0.0265437	0.0195237	0.0266531
a53	0.361033	0.218419	0.10905	0.0848237	0.0657775	0.0424134	0.0350278	0.0283286	0.0233619	0.0153774	0.0163878
a15	0.371105	0.202845	0.128901	0.0934336	0.0587916	0.0383633	0.0262196	0.0197852	0.0179607	0.0206975	0.0218975
a6	0.310542	0.23004	0.185633	0.111338	0.0551783	0.0271171	0.0166985	0.0124204	0.0126999	0.017025	0.0213084
a56	0.250943	0.220565	0.224279	0.103383	0.0523797	0.0314154	0.02085	0.0174585	0.0199636	0.0297322	0.0290302
a62	0.186302	0.225188	0.284149	0.138024	0.0668026	0.0331619	0.0193591	0.0133593	0.0112029	0.0117933	0.0106578
a75	0.108101	0.172433	0.281642	0.174107	0.106854	0.0596966	0.035847	0.0232938	0.0163302	0.0119793	0.00971646
a25	0.0612502	0.101437	0.219175	0.151583	0.114914	0.0905897	0.0650271	0.0551296	0.0433048	0.0463889	0.0512007
a90	0.0289137	0.0524853	0.152288	0.14013	0.13923	0.128798	0.0948816	0.0758833	0.053288	0.0603786	0.0737231
a69	0.0185366	0.0353514	0.126678	0.184796	0.182431	0.141611	0.100132	0.0728645	0.0459682	0.0402388	0.0513923
a58	0.0129256	0.019265	0.0637616	0.149924	0.18029	0.150085	0.120739	0.0991854	0.0721624	0.0594737	0.0721873
a57	0.0102238	0.0109811	0.0249546	0.0802677	0.182929	0.190477	0.163854	0.124068	0.0792646	0.0609832	0.0719978
a82	0.0185938	0.0191012	0.0352556	0.0811092	0.163229	0.201218	0.200105	0.148251	0.0739341	0.0338039	0.0253986
a87	0.0347714	0.0313782	0.046831	0.0797291	0.145432	0.177653	0.188565	0.150102	0.0846589	0.0362574	0.0246228
a99	0.0836867	0.057887	0.0693797	0.122457	0.145056	0.12187	0.117373	0.102215	0.0799533	0.059296	0.0408269
