 	de	la	manière	ou	ils	nous	ont	lancé	des	pierres	il	devaient	se	placer	là	haute	</S>
a66	0.150024	0.115808	0.0791534	0.0548642	0.0456783	0.0457286	0.0780828	0.103666	0.0768972	0.0591054	0.0542256	0.083123	0.0222416	0.0174971	0.00693243	0.00371215	0.00326032
a87	0.300339	0.21494	0.132855	0.0739261	0.0501039	0.0445891	0.0357519	0.0345016	0.0228542	0.0260577	0.0168308	0.0126258	0.00543751	0.00713699	0.00670431	0.00690577	0.00844013
a23	0.293642	0.22333	0.147995	0.0755654	0.0438463	0.0423575	0.0309113	0.0315423	0.0260183	0.0248286	0.0204638	0.0155272	0.00769653	0.00599932	0.00273717	0.00297732	0.00456196
a5	0.25793	0.209894	0.196396	0.105788	0.0511129	0.0392942	0.0217481	0.0215679	0.0172931	0.0112617	0.0103786	0.00932527	0.00682943	0.00845843	0.00988072	0.0101014	0.0127397
a37	0.146029	0.114834	0.125551	0.104225	0.0851668	0.061451	0.0483784	0.0399796	0.027381	0.0280805	0.0315366	0.029397	0.0213863	0.033435	0.0349714	0.0351846	0.0330135
a54	0.175764	0.167325	0.13311	0.124815	0.0864657	0.0544575	0.0318955	0.0245936	0.0174869	0.0203538	0.0271154	0.029577	0.0202384	0.0353881	0.0247166	0.0151852	0.0115126
a47	0.13879	0.116675	0.0949903	0.0964311	0.06994	0.0422474	0.0324321	0.0262859	0.0227147	0.0224873	0.029311	0.0341056	0.0398385	0.0939917	0.0715466	0.0399604	0.0282522
a92	0.0682791	0.0680291	0.0529446	0.069669	0.0732463	0.0519009	0.0442784	0.0346521	0.0314309	0.0340163	0.0439916	0.0642358	0.0627823	0.131443	0.09435	0.0432022	0.0315486
a61	0.0804215	0.0863845	0.0974479	0.102838	0.0891909	0.0549716	0.0467853	0.0392505	0.0346497	0.043477	0.0558324	0.0644155	0.0431645	0.0701113	0.0478179	0.0237138	0.0195272
a21	0.0498438	0.0489247	0.0619427	0.0746949	0.096798	0.0885469	0.0772579	0.0760623	0.0743255	0.079963	0.0760354	0.0795074	0.0375125	0.0420197	0.0192729	0.00882143	0.00847101
a37	0.0234771	0.0234449	0.0276442	0.039188	0.0724349	0.0765907	0.079192	0.0858578	0.0939565	0.101289	0.100341	0.11184	0.053288	0.0563222	0.0261646	0.0144823	0.0144858
a75	0.0110762	0.0117649	0.0141445	0.0200584	0.0474933	0.0644364	0.0877384	0.104024	0.122451	0.114832	0.112299	0.143037	0.0588861	0.0443011	0.0190395	0.0121806	0.0122374
a47	0.00519215	0.00539923	0.00558205	0.0086072	0.0200803	0.0302444	0.0527196	0.0762292	0.111073	0.124533	0.135457	0.174555	0.0877893	0.0676736	0.0344949	0.027664	0.0327059
a85	0.00658167	0.00636775	0.0049105	0.00782843	0.0186544	0.028937	0.0598972	0.0911904	0.125252	0.115872	0.121771	0.15427	0.0708082	0.0501095	0.032546	0.0400039	0.0649993
a37	0.00542091	0.00538286	0.00395428	0.00662657	0.0161956	0.0259923	0.0502267	0.0824536	0.121554	0.132261	0.134875	0.156995	0.0790303	0.0496368	0.0308083	0.0370415	0.0615459
a6	0.00873568	0.00934889	0.00819989	0.0143951	0.0295719	0.0389364	0.0832444	0.123624	0.151354	0.0954214	0.102772	0.11947	0.0756946	0.0440992	0.0262935	0.0265448	0.0422943
a36	0.00434925	0.00426753	0.00364012	0.00502527	0.013331	0.0206764	0.0434589	0.0749933	0.103833	0.0849167	0.0907838	0.118606	0.0830355	0.0590261	0.0518164	0.0861391	0.152102
a11	0.0153473	0.0176055	0.0191276	0.0288446	0.0485452	0.0538433	0.087734	0.115412	0.106788	0.064315	0.0610034	0.0560264	0.0421755	0.0250235	0.0276342	0.064744	0.165831
a75	0.0210095	0.0247542	0.0292456	0.0432774	0.0674466	0.0746328	0.111472	0.133992	0.0995624	0.0487883	0.0467702	0.0396034	0.0410321	0.0286502	0.0271844	0.0507738	0.111806
a47	0.00461931	0.00446656	0.0033496	0.00397546	0.00776083	0.0124539	0.022626	0.0427871	0.0677341	0.0853961	0.0784546	0.0816051	0.0801012	0.0573296	0.068454	0.131294	0.247593
a36	0.00884343	0.00839111	0.00556844	0.00648223	0.0111657	0.0180372	0.0327855	0.0574592	0.0723249	0.0724341	0.0638694	0.0620159	0.0640118	0.0468033	0.0651857	0.127084	0.277539
a34	0.022438	0.0242566	0.0223276	0.0258563	0.033705	0.0426921	0.0595743	0.0836877	0.0776659	0.0655498	0.0586454	0.045368	0.0427735	0.0299707	0.0419635	0.0904522	0.233073
a62	0.00633116	0.00610475	0.00585056	0.00801817	0.0159629	0.0237732	0.0431549	0.0764827	0.0917755	0.0873686	0.0857316	0.067606	0.068019	0.0495413	0.059629	0.101904	0.202746
a88	0.00805499	0.00823092	0.0070473	0.0121438	0.0199826	0.0289422	0.0419798	0.0752238	0.0896777	0.099067	0.0912917	0.0590979	0.0576957	0.0441879	0.0733593	0.110515	0.173502
a71	0.0110578	0.0127374	0.0146979	0.0229552	0.0339905	0.0407725	0.0624281	0.0913478	0.0718869	0.0537009	0.0527908	0.0331868	0.0339617	0.027214	0.0435974	0.112051	0.281623
a9	0.0197505	0.0231918	0.0277178	0.0365603	0.0499888	0.0648837	0.0853751	0.11639	0.087978	0.0647527	0.0685508	0.0435206	0.0449526	0.0311974	0.0311238	0.0624326	0.141634
a87	0.0194622	0.0212626	0.0241524	0.0299964	0.0405345	0.0525051	0.0732442	0.100304	0.0926639	0.0917327	0.0966758	0.065151	0.0679131	0.0480809	0.0383996	0.0528156	0.0851055
a23	0.0629511	0.049852	0.0328337	0.0318808	0.0360531	0.0389593	0.049627	0.0554078	0.0559343	0.0561009	0.0631237	0.0533904	0.0803404	0.100025	0.0855686	0.071096	0.0768555
a99	0.011964	0.0097521	0.00577867	0.00566103	0.00690755	0.00718912	0.0108388	0.0111274	0.0116784	0.0121439	0.018037	0.0270155	0.0830425	0.178311	0.211784	0.183591	0.205178
a40	0.000235059	0.000241389	0.000228428	0.00035056	0.000595305	0.000531419	0.00100879	0.0010561	0.00145492	0.0013288	0.00180566	0.00340958	0.0193909	0.0692146	0.163368	0.28957	0.446211
