 	inscrire	les	enfants	à	l'	école	me	parait	simple	</S>
a66	0.358532	0.277396	0.155183	0.0706268	0.0483027	0.0328572	0.017682	0.0124451	0.0126441	0.0143314
a87	0.519377	0.24427	0.0965159	0.0517865	0.0269574	0.0139005	0.0105448	0.00869281	0.0126548	0.0153001
a23	0.466745	0.188301	0.116799	0.0895782	0.0511259	0.0246198	0.0147003	0.0107062	0.0157404	0.0216844
a83	0.363398	0.178922	0.107803	0.111007	0.0943517	0.0418793	0.0227333	0.0160615	0.024273	0.0395706
a18	0.22753	0.217551	0.210353	0.159381	0.0843094	0.03079	0.0167803	0.0124288	0.0160227	0.0248534
a75	0.214565	0.27357	0.243849	0.165656	0.0686502	0.0189953	0.00598316	0.00290879	0.00245808	0.00336386
a92	0.113818	0.202583	0.247545	0.238377	0.124955	0.0442057	0.0142791	0.00588573	0.00372166	0.00462974
a85	0.0854594	0.230209	0.235227	0.248474	0.121584	0.0447031	0.017624	0.00815504	0.00420536	0.00435888
a47	0.0697085	0.231949	0.195362	0.230512	0.121695	0.0642701	0.0407589	0.022445	0.0112635	0.012036
a98	0.071009	0.187614	0.152478	0.200708	0.142859	0.0932294	0.0688666	0.0385925	0.0202715	0.0243721
a47	0.0434015	0.104001	0.113503	0.167827	0.167034	0.137454	0.120785	0.0731261	0.0334998	0.0393687
a85	0.0441384	0.0788121	0.12909	0.19286	0.196674	0.139906	0.0969782	0.052414	0.0270581	0.0420686
a92	0.0284789	0.0550555	0.0782629	0.135052	0.168089	0.15519	0.145638	0.102901	0.0590387	0.072294
a85	0.0168004	0.0337622	0.0878846	0.16061	0.193591	0.169129	0.133732	0.0864251	0.0505903	0.0674754
a5	0.00709642	0.0119316	0.0412185	0.0844529	0.120073	0.129254	0.140309	0.134861	0.142683	0.18812
a36	0.00956574	0.0125825	0.0395815	0.083877	0.159367	0.200167	0.190584	0.135881	0.0788374	0.0895571
a90	0.00665022	0.00798363	0.0253307	0.0533319	0.120826	0.182846	0.219229	0.166581	0.0962017	0.12102
a25	0.00360393	0.00453145	0.0172517	0.035665	0.0899727	0.150164	0.212437	0.189527	0.139402	0.157446
a79	0.00109299	0.00121978	0.00415752	0.00845455	0.0229741	0.0462435	0.120233	0.189177	0.298876	0.307571
a56	0.00117999	0.00156324	0.00546007	0.0113145	0.0265033	0.0517838	0.116146	0.175999	0.308328	0.301722
a12	0.00131304	0.00115931	0.00290668	0.00453467	0.0122265	0.0264923	0.0753375	0.149457	0.344797	0.381776
a96	0.000485819	0.00031922	0.000973418	0.00162068	0.00473661	0.0118266	0.043551	0.0988717	0.358175	0.47944
a18	0.000525203	0.000356483	0.00105862	0.00150661	0.00327475	0.00696152	0.0239037	0.0515185	0.334607	0.576288
a21	0.0103536	0.00502226	0.00973219	0.00936236	0.0101567	0.0136512	0.0307644	0.0540967	0.310746	0.546115
a12	0.000339425	0.000280325	0.000512171	0.000628102	0.00112872	0.00251701	0.010546	0.0319952	0.345791	0.606262
a18	0.000306557	0.000189212	0.000471053	0.000725909	0.00142549	0.00311934	0.0113931	0.0323036	0.332527	0.617538
a21	0.00493019	0.00239415	0.00495158	0.0053092	0.00653597	0.00955028	0.027573	0.0615432	0.385085	0.492127
a85	0.000171203	0.000118514	0.000248446	0.000301104	0.000625893	0.00156187	0.00750617	0.0248747	0.298328	0.666264
a6	8.21067e-05	6.15204e-05	0.000144693	0.000229225	0.000547776	0.00137647	0.00647335	0.0205181	0.274441	0.696126
a36	0.000138694	0.000136599	0.00034081	0.000612917	0.00143524	0.00317043	0.0117395	0.0321367	0.313551	0.636738
a6	0.00277135	0.00152104	0.00297241	0.00347756	0.00495624	0.00826441	0.0314698	0.0668269	0.384409	0.493331
a36	0.000717906	0.000577863	0.00191411	0.00294992	0.00482644	0.00858486	0.0284696	0.0570327	0.345829	0.549098
a2	0.00186596	0.00117081	0.00360137	0.00570067	0.010516	0.0175871	0.0511916	0.0876628	0.357758	0.462945
a57	0.0407931	0.0299843	0.031469	0.0347786	0.0290601	0.0375889	0.0982244	0.136395	0.308184	0.253523
a87	0.198854	0.0789134	0.0481571	0.0438324	0.0334035	0.0453725	0.0886144	0.108238	0.194264	0.16035
a23	0.380107	0.109188	0.0571934	0.049482	0.0263845	0.0321622	0.0562043	0.0627382	0.124961	0.101581
a99	0.0423647	0.0112004	0.00625994	0.00629011	0.00632989	0.0143513	0.0603155	0.125331	0.380537	0.347021
a97	0.0217615	0.00940332	0.0064545	0.00916552	0.012223	0.0257648	0.078036	0.129351	0.338525	0.369315
</S>	0.00394022	0.00225439	0.00194939	0.00386151	0.00731519	0.01635	0.0593621	0.118391	0.355449	0.431127
