 	je	dors	sur	une	natte	</S>
a15	0.355269	0.18768	0.182918	0.128989	0.0922348	0.0529094
a82	0.374642	0.195993	0.16883	0.120608	0.0845404	0.0553872
a3	0.497731	0.183124	0.0900421	0.0783622	0.0708862	0.0798545
a30	0.552076	0.205917	0.0877644	0.0572901	0.0460706	0.0508814
a10	0.574792	0.205848	0.0826878	0.0530412	0.0417227	0.0419085
a87	0.558734	0.203797	0.0890172	0.0583151	0.0466318	0.0435051
a83	0.556315	0.217985	0.0989165	0.056105	0.0378126	0.0328657
a54	0.450141	0.194993	0.11417	0.0779346	0.082523	0.0802389
a92	0.425836	0.264776	0.12954	0.0684592	0.0569364	0.0544523
a12	0.262702	0.300127	0.186717	0.101553	0.0815729	0.0673277
a37	0.251015	0.318108	0.170232	0.0952571	0.084164	0.0812233
a98	0.195822	0.30527	0.181321	0.116863	0.102202	0.0985217
a79	0.165066	0.311923	0.192441	0.126359	0.104694	0.0995174
a56	0.139125	0.258078	0.196667	0.155086	0.132637	0.118407
a44	0.161654	0.280022	0.205918	0.149795	0.110833	0.0917772
a34	0.106034	0.221125	0.206199	0.191473	0.147208	0.127962
a96	0.0666025	0.156802	0.199632	0.235819	0.19609	0.145054
a62	0.0340461	0.091575	0.146008	0.24062	0.25689	0.230861
a88	0.0171389	0.0454748	0.0868521	0.208305	0.3059	0.336329
a71	0.00754649	0.0229332	0.0520254	0.164221	0.311925	0.441348
a38	0.0104055	0.0148825	0.0340561	0.13527	0.301412	0.503974
a90	0.0119305	0.0139139	0.03304	0.129598	0.287102	0.524416
a69	0.001155	0.00266554	0.00773583	0.0564687	0.230897	0.701078
a4	0.00097279	0.00207363	0.00545399	0.0416641	0.192804	0.757031
a57	0.00224325	0.0045951	0.0120011	0.0654051	0.222092	0.693663
a82	0.0165018	0.0184222	0.0328714	0.112701	0.251925	0.567578
a87	0.0984102	0.0501477	0.0592741	0.12771	0.214916	0.449542
a23	0.249268	0.096018	0.0873986	0.147211	0.178044	0.24206
a97	0.138397	0.0675395	0.0758414	0.155878	0.211326	0.351018
a87	0.0569293	0.0325014	0.0555285	0.161775	0.245447	0.447819
a23	0.041129	0.0247264	0.0461005	0.15591	0.253532	0.478602
a38	0.0548635	0.0345513	0.05711	0.170058	0.247064	0.436354
a27	0.0597658	0.0447278	0.0770499	0.176414	0.23308	0.408963
</S>	0.068993	0.0616184	0.0922254	0.170526	0.221362	0.385275
