 	il	est	avide	de	viande	</S>
a10	0.188713	0.198734	0.166232	0.144926	0.139473	0.161923
a87	0.148226	0.166775	0.194162	0.193519	0.157438	0.139881
a30	0.215758	0.157664	0.161264	0.167464	0.152406	0.145444
a53	0.245209	0.190296	0.165835	0.146685	0.129107	0.122868
a20	0.264632	0.226815	0.176919	0.115906	0.109013	0.106714
a73	0.261693	0.256483	0.196219	0.126779	0.0842514	0.074575
a44	0.328287	0.330333	0.190069	0.0871756	0.0380239	0.0261115
a38	0.327776	0.308177	0.183127	0.0985491	0.0474637	0.0349069
a75	0.29945	0.288619	0.20121	0.113935	0.0563376	0.0404491
a56	0.32677	0.267448	0.192176	0.113806	0.0594804	0.0403197
a90	0.260355	0.234156	0.193625	0.15036	0.0951119	0.0663924
a69	0.253454	0.214649	0.181533	0.159186	0.111271	0.0799062
a57	0.189774	0.174235	0.165158	0.165817	0.163777	0.14124
a38	0.0809689	0.0935128	0.11331	0.160583	0.234448	0.317178
a75	0.0382873	0.0504758	0.0737178	0.142591	0.2818	0.413128
a25	0.0445744	0.0530138	0.0716414	0.128502	0.276994	0.425275
a94	0.0306524	0.0401654	0.0577378	0.117549	0.289406	0.46449
a98	0.0174982	0.0248883	0.0382962	0.0786321	0.248107	0.592578
a73	0.0117671	0.0168538	0.0288312	0.0792101	0.269457	0.59388
a94	0.00646317	0.0103853	0.019167	0.0624533	0.254737	0.646794
a76	0.00651718	0.0102234	0.0182552	0.0509124	0.216633	0.697459
a98	0.01775	0.0238355	0.0360718	0.0855649	0.243652	0.593126
a73	0.0106477	0.0157102	0.0279638	0.0763143	0.238256	0.631108
a44	0.00870419	0.0143452	0.0270582	0.079425	0.25977	0.610698
a70	0.00799464	0.0139283	0.0263472	0.0763154	0.252964	0.62245
a20	0.00906498	0.0170914	0.0344479	0.0867482	0.245489	0.607158
a84	0.0194475	0.0335827	0.0576135	0.126953	0.264795	0.497609
a87	0.0372794	0.053854	0.0820016	0.110931	0.24095	0.474985
a23	0.0517727	0.0719259	0.0968499	0.143825	0.238572	0.397054
a87	0.0539842	0.0667631	0.07951	0.123279	0.235265	0.441199
a23	0.0402713	0.0503807	0.0715469	0.131264	0.281842	0.424694
a87	0.0509461	0.0627729	0.0796921	0.123125	0.250084	0.43338
</S>	0.0362612	0.0405139	0.0554595	0.0958242	0.272022	0.499919
