 	cette	étoffe	est	très	blanche	</S>
a87	0.424889	0.284907	0.125564	0.0708471	0.0572754	0.036517
a23	0.375386	0.198437	0.120314	0.107246	0.0901556	0.108461
a20	0.334407	0.25896	0.123835	0.0795157	0.104232	0.0990508
a58	0.528094	0.297016	0.0888157	0.0360541	0.0298771	0.0201434
a38	0.431328	0.354976	0.15663	0.031705	0.0156192	0.0097425
a20	0.31722	0.355221	0.233708	0.0516801	0.025331	0.0168408
a73	0.337606	0.339783	0.205971	0.0615647	0.0307631	0.0243126
a35	0.382674	0.327193	0.192905	0.0494974	0.0258991	0.0218313
a66	0.386642	0.293719	0.195449	0.0667892	0.0313453	0.0260555
a54	0.370182	0.240776	0.206675	0.0909919	0.0476126	0.0437627
a73	0.255771	0.226226	0.210937	0.117393	0.0955077	0.0941646
a35	0.163507	0.151115	0.20998	0.17825	0.140383	0.156766
a90	0.106676	0.10756	0.1862	0.201054	0.186521	0.211989
a25	0.108852	0.119885	0.210129	0.213751	0.169813	0.17757
a82	0.0412057	0.0541544	0.127459	0.19234	0.260998	0.323842
a79	0.0184527	0.0213793	0.0623539	0.133715	0.321863	0.442236
a76	0.0233564	0.0174265	0.0301888	0.0824444	0.306096	0.540488
a90	0.033879	0.0191281	0.0300634	0.0793194	0.290433	0.547177
a38	0.0220396	0.0138827	0.0253429	0.0782403	0.304254	0.556241
a98	0.0349086	0.0176148	0.0232389	0.0679087	0.308305	0.548024
a71	0.0437243	0.0269929	0.0356293	0.0941277	0.33186	0.467665
a25	0.0337606	0.0152511	0.0169723	0.0468598	0.274093	0.613063
a10	0.0231687	0.0156471	0.0186221	0.0529043	0.269172	0.620486
a11	0.0163341	0.0109166	0.0165899	0.0521228	0.231766	0.672271
a53	0.0157354	0.0100553	0.0173521	0.0553534	0.233221	0.668283
a4	0.0186282	0.012577	0.0139317	0.0403204	0.267205	0.647338
a13	0.0134235	0.00853554	0.010642	0.0394657	0.26927	0.658664
a3	0.0243559	0.0151708	0.0223625	0.0681364	0.273383	0.596591
a87	0.0496344	0.0354921	0.060487	0.12165	0.264343	0.468393
</S>	0.0411439	0.0320511	0.0526706	0.113995	0.284361	0.475779
