 	le	piège	a	pris	le	cabri	par	le	sabot	</S>
a66	0.248589	0.157232	0.113686	0.074758	0.0829674	0.106107	0.101246	0.0668034	0.0338456	0.0147645
a87	0.28745	0.208815	0.166027	0.0970517	0.0696145	0.0685322	0.0521896	0.0298115	0.0136328	0.00687545
a23	0.314058	0.248972	0.157383	0.0836829	0.069797	0.0648296	0.0365579	0.0130368	0.00600471	0.00567887
a66	0.313397	0.245581	0.129228	0.0745179	0.0647311	0.0603306	0.0457546	0.0265763	0.0184411	0.0214435
a57	0.200877	0.141205	0.0906247	0.0655987	0.067143	0.081389	0.0920379	0.0902619	0.0866538	0.0842088
a53	0.195506	0.159212	0.118695	0.0915997	0.0748942	0.095856	0.106412	0.0726584	0.0491657	0.0360018
a93	0.0869537	0.0984554	0.100981	0.126824	0.117099	0.126064	0.12473	0.109611	0.0691133	0.0401675
a56	0.0651783	0.0936694	0.105604	0.13309	0.117587	0.114152	0.105006	0.111974	0.0939519	0.0597872
a93	0.085549	0.118955	0.124119	0.1374	0.114786	0.0997474	0.0820906	0.0861591	0.0850516	0.0661421
a4	0.0866229	0.11157	0.112587	0.124079	0.109473	0.0976814	0.0833914	0.0907951	0.100129	0.0836709
a11	0.0879055	0.103454	0.105953	0.114284	0.104152	0.0941939	0.0856264	0.0962107	0.110642	0.097578
a50	0.0647864	0.0717723	0.077903	0.0988507	0.105722	0.0918054	0.0869765	0.106518	0.143287	0.152378
a83	0.060169	0.056149	0.0525868	0.0647825	0.0930906	0.0852919	0.095326	0.123111	0.171229	0.198264
a90	0.0464118	0.0396204	0.0351043	0.0415083	0.063931	0.0718358	0.0932056	0.145357	0.217179	0.245847
a56	0.0215992	0.0192848	0.0203081	0.0317385	0.0619449	0.0858879	0.120941	0.18484	0.237694	0.215761
a90	0.0209819	0.0163135	0.0161243	0.0237614	0.0484083	0.0774999	0.12676	0.195879	0.249966	0.224305
a69	0.0144342	0.01168	0.0123372	0.0183299	0.0391435	0.0618354	0.109679	0.192104	0.275971	0.264487
a58	0.00913792	0.00681359	0.00706148	0.0106198	0.0251426	0.0431679	0.0872876	0.176925	0.307404	0.32644
a98	0.00344508	0.00221532	0.00205524	0.00269521	0.00522216	0.0113958	0.030568	0.106708	0.315762	0.519934
a85	0.00300329	0.00205995	0.00187506	0.00252004	0.0056859	0.0105234	0.0291948	0.112969	0.343108	0.489061
a92	0.000899717	0.000601599	0.000654148	0.00112208	0.0036185	0.00831591	0.0272757	0.117258	0.326106	0.514148
a37	0.000684344	0.000476888	0.000536512	0.00084837	0.00221205	0.00503705	0.018367	0.0925591	0.300272	0.579007
a26	0.00326612	0.00205891	0.00220997	0.00329915	0.0060897	0.0125858	0.0318548	0.092286	0.281707	0.564643
a82	0.0121486	0.00814153	0.00983964	0.0117076	0.0211401	0.0458154	0.0804993	0.12596	0.275526	0.409222
a87	0.19617	0.135178	0.119597	0.0796075	0.0706639	0.0811473	0.0776563	0.0679087	0.079908	0.0921628
a23	0.261969	0.181021	0.143248	0.09272	0.0819212	0.0887658	0.061941	0.0357423	0.0280115	0.0246599
a87	0.184207	0.102163	0.0656241	0.0337933	0.0362017	0.0527473	0.0632819	0.0870027	0.157474	0.217505
a97	0.0408194	0.022571	0.015455	0.0103236	0.0149273	0.027965	0.0479262	0.108924	0.25349	0.457598
</S>	0.0821655	0.0559171	0.0452122	0.0353975	0.0476545	0.0667666	0.0765037	0.0962454	0.181466	0.312671
