 	la	nourriture	que	notre	maman	a	préparée	est	pimentée	</S>
a66	0.243008	0.157237	0.121473	0.120311	0.10349	0.103716	0.074678	0.0352201	0.0212725	0.0195938
a97	0.271796	0.175208	0.122962	0.0916326	0.0632936	0.0660897	0.0763946	0.0492883	0.0404347	0.0429007
a99	0.213689	0.151764	0.100885	0.0683346	0.0600804	0.0667536	0.0747797	0.0683103	0.0924714	0.102931
a21	0.241818	0.191139	0.118994	0.0760394	0.0521948	0.056192	0.0676752	0.0658376	0.0644986	0.0656116
a5	0.406333	0.216714	0.133331	0.0706883	0.0374727	0.0405712	0.0314035	0.0240266	0.0189611	0.0204983
a47	0.222559	0.243326	0.191816	0.118551	0.0579666	0.0620075	0.0407958	0.0260613	0.0165267	0.0203904
a21	0.230176	0.260898	0.193717	0.11277	0.0564875	0.0537284	0.0347834	0.0224299	0.0155348	0.0194743
a5	0.170558	0.223667	0.191503	0.149121	0.0890309	0.0741788	0.0411434	0.0243969	0.015919	0.020483
a12	0.117547	0.152002	0.159232	0.170618	0.132639	0.10937	0.0597605	0.0373906	0.0288974	0.032542
a96	0.111521	0.143639	0.146493	0.164603	0.132611	0.111083	0.0654081	0.0445461	0.0373906	0.042705
a90	0.0549864	0.0815163	0.116548	0.170401	0.166119	0.143052	0.0837745	0.0605984	0.058292	0.0647113
a98	0.0459787	0.0629852	0.0990884	0.160156	0.16799	0.144417	0.0896127	0.0698995	0.0749326	0.0849399
a79	0.0134708	0.0222174	0.0451813	0.100467	0.145509	0.162734	0.125429	0.116352	0.127324	0.141316
a56	0.0144322	0.0214194	0.0382631	0.0821569	0.118872	0.131178	0.097095	0.100094	0.156294	0.240196
a43	0.0145248	0.0154389	0.0271573	0.0674283	0.138391	0.158082	0.124063	0.107693	0.134505	0.212716
a24	0.0110645	0.0103784	0.0173813	0.0483918	0.134127	0.165837	0.142778	0.113177	0.131802	0.225063
a31	0.0109571	0.0100402	0.0139945	0.0294771	0.0791262	0.124795	0.147417	0.129096	0.165539	0.289558
a88	0.0089403	0.00839792	0.012406	0.029065	0.0759599	0.115871	0.140823	0.14391	0.175868	0.288759
a61	0.00311547	0.00263445	0.00374549	0.0088327	0.0287501	0.051333	0.078958	0.127274	0.246556	0.448801
a21	0.00313475	0.00310589	0.00509694	0.0129663	0.0337055	0.0513766	0.0748327	0.115625	0.241219	0.458937
a5	0.00198073	0.0021119	0.00333736	0.00879353	0.0250828	0.0386719	0.0611681	0.106937	0.264786	0.48713
a37	0.00114062	0.00124479	0.00218053	0.00623731	0.0169038	0.0239035	0.0376364	0.0759388	0.265614	0.5692
a93	0.000550818	0.000547367	0.000987902	0.00301386	0.00970628	0.013956	0.0238427	0.0552544	0.272482	0.619659
a94	0.000610597	0.000599224	0.00103688	0.00278545	0.0080658	0.01186	0.0215519	0.0495779	0.241287	0.662625
a13	0.000900519	0.000710255	0.00124827	0.00327314	0.0098689	0.0148615	0.0274651	0.0703959	0.30276	0.568516
a57	0.00182269	0.00158966	0.0026831	0.0068087	0.0173871	0.02514	0.0425555	0.096465	0.32264	0.482908
a3	0.00659683	0.00539216	0.00653469	0.00985874	0.0188973	0.0279374	0.042114	0.106784	0.333422	0.442464
a97	0.0514324	0.0314812	0.02409	0.0220351	0.0251197	0.02915	0.0522041	0.10674	0.2827	0.375048
a87	0.0496794	0.0327477	0.023779	0.0206486	0.0239447	0.0288067	0.053299	0.1135	0.298218	0.355377
a97	0.0477185	0.0340388	0.0273487	0.0263931	0.037872	0.0454033	0.0745687	0.143573	0.280861	0.282224
a82	0.0204316	0.0138856	0.0124835	0.0161532	0.0332522	0.0402544	0.0670433	0.132532	0.280391	0.383573
</S>	0.0115738	0.00871011	0.0100755	0.0171952	0.0337917	0.0379825	0.0639029	0.120741	0.279227	0.416801
