 	le	guérisseur	lui	a	fait	une	incision	à	la	poitrine	</S>
a66	0.160589	0.162032	0.241619	0.207807	0.118825	0.0622862	0.0220538	0.00962959	0.00659462	0.00470108	0.00386266
a87	0.252912	0.171629	0.0983694	0.0666225	0.0518725	0.0555162	0.0472868	0.042456	0.0541339	0.0742109	0.0849908
a97	0.24934	0.114389	0.06568	0.0432577	0.0244933	0.0135763	0.0124079	0.0213043	0.0428311	0.190606	0.222114
a99	0.325142	0.205219	0.104089	0.0569184	0.0337353	0.0180424	0.0203112	0.0230108	0.037575	0.0876782	0.0882795
a83	0.395205	0.194074	0.081686	0.0464776	0.0290286	0.0199119	0.0230351	0.0240127	0.0366253	0.0700316	0.0799123
a54	0.313458	0.204145	0.151746	0.11091	0.0535785	0.0225352	0.0147674	0.0142008	0.0180518	0.0478965	0.0487101
a92	0.131905	0.149625	0.242471	0.236426	0.101728	0.0375691	0.0206029	0.0106246	0.0152293	0.0252313	0.0285889
a37	0.0716	0.111573	0.271086	0.30253	0.138112	0.0440915	0.0182848	0.00673996	0.00912446	0.0122503	0.0146078
a85	0.090646	0.0999163	0.227397	0.27796	0.165785	0.0612104	0.0340018	0.010572	0.0116086	0.0104827	0.0104203
a47	0.0714545	0.0973962	0.22417	0.234285	0.152275	0.0931962	0.0551249	0.0172183	0.0165763	0.0171455	0.0211585
a7	0.0589251	0.0815833	0.162997	0.227395	0.210317	0.122866	0.0698428	0.018605	0.0159682	0.0154069	0.0160935
a90	0.0618176	0.0863881	0.162317	0.222325	0.211432	0.116173	0.0692469	0.0200734	0.0169628	0.0160754	0.0171901
a92	0.0568282	0.0937037	0.178154	0.229214	0.194434	0.106885	0.063116	0.0202041	0.0184536	0.0182752	0.0207322
a75	0.0351053	0.0598801	0.126408	0.186078	0.194039	0.144858	0.122471	0.0441562	0.0332943	0.026398	0.0273117
a56	0.0262983	0.0418333	0.0869189	0.142421	0.172771	0.168838	0.154481	0.0764506	0.0603999	0.0383285	0.03126
a90	0.035367	0.0582931	0.118876	0.166615	0.166694	0.153701	0.134924	0.0560947	0.0401756	0.0341854	0.0350732
a98	0.022915	0.0367994	0.0828599	0.13785	0.155494	0.156184	0.157219	0.0770526	0.0634664	0.0560797	0.0540798
a92	0.00234957	0.00372645	0.0101168	0.0340089	0.091812	0.195153	0.288976	0.136023	0.105479	0.0711975	0.0611575
a56	0.00389135	0.00609546	0.0138322	0.0340538	0.0721105	0.142742	0.211154	0.133859	0.135056	0.117551	0.129654
a37	0.00551002	0.00814656	0.0164686	0.0340012	0.066538	0.122692	0.220546	0.147467	0.130961	0.112137	0.135532
a93	0.00283001	0.00393026	0.0069946	0.0157812	0.0397152	0.0926193	0.186728	0.177126	0.166695	0.140437	0.167143
a94	0.00281515	0.00356607	0.00525793	0.00998007	0.0231132	0.057994	0.146575	0.178132	0.188766	0.177183	0.206616
a56	0.00123258	0.00140169	0.00186151	0.00347885	0.00929722	0.0270659	0.0896695	0.154508	0.194008	0.227526	0.28995
a70	0.00102141	0.00122423	0.001734	0.00329282	0.00853098	0.0224328	0.0688586	0.130479	0.206108	0.258963	0.297354
a13	0.000249162	0.000239657	0.000312266	0.000570814	0.00159758	0.00514505	0.0253961	0.0836398	0.145362	0.279716	0.457772
a11	0.000139028	0.000130668	0.000168129	0.000313033	0.000827049	0.00291008	0.0161743	0.082605	0.158873	0.307948	0.429911
a93	0.000120885	0.000106473	0.000144843	0.000261144	0.000690572	0.00267686	0.0223837	0.126343	0.207735	0.267996	0.371541
a4	7.96387e-05	8.19762e-05	0.000133388	0.000271895	0.000695625	0.0024824	0.0140836	0.0799039	0.194079	0.324925	0.383263
a13	7.86543e-05	7.4589e-05	0.000105264	0.000198687	0.000455433	0.00156702	0.00980185	0.0843178	0.199883	0.315969	0.387549
a9	0.000656011	0.00045208	0.000329274	0.000575755	0.00158535	0.00554069	0.0366304	0.137449	0.217872	0.262603	0.336306
a3	0.0205291	0.0110502	0.00550894	0.00527584	0.00636874	0.0126756	0.0437637	0.100479	0.174005	0.25432	0.366025
a97	0.0528345	0.0293125	0.0105878	0.00939105	0.00840775	0.0135375	0.0308132	0.103349	0.18374	0.287162	0.270865
a3	0.0531313	0.0351878	0.0145652	0.0116649	0.0106635	0.0176653	0.0369614	0.136655	0.216914	0.24948	0.217111
a97	0.0273337	0.0190931	0.0104387	0.0092681	0.0100825	0.0193373	0.0446761	0.126718	0.213454	0.275819	0.243779
</S>	0.0216347	0.0151822	0.00925332	0.00930034	0.0133652	0.0266286	0.0562855	0.108763	0.182396	0.274546	0.282645
