 	la	panthère	est	à	l'	affût	de	la	gazelle	</S>
a66	0.213858	0.201797	0.200019	0.177994	0.104751	0.0362581	0.0233553	0.0197221	0.0115178	0.0107273
a87	0.289167	0.242935	0.181978	0.121602	0.0728238	0.0432207	0.026415	0.0122362	0.00580328	0.00381885
a23	0.275937	0.177048	0.127822	0.1211	0.124662	0.0952475	0.030102	0.0174558	0.0132012	0.0174242
a83	0.286253	0.187974	0.119017	0.0748211	0.0780485	0.110228	0.0429388	0.0337549	0.0310576	0.0359075
a75	0.175187	0.168381	0.18211	0.18553	0.157956	0.0736279	0.0251361	0.0149046	0.00900772	0.00816001
a79	0.157786	0.166178	0.192754	0.200087	0.162878	0.0712763	0.0272626	0.0125499	0.00532402	0.0039042
a7	0.128377	0.134988	0.175693	0.224008	0.200637	0.0824268	0.0337866	0.0122811	0.00467683	0.00312474
a93	0.101845	0.104588	0.146941	0.196998	0.209486	0.126096	0.0613976	0.0300492	0.0133343	0.00926548
a56	0.0914684	0.0768509	0.0969234	0.156275	0.188983	0.131451	0.121789	0.0792387	0.0341223	0.0228982
a75	0.0718666	0.0599209	0.0832866	0.131949	0.14356	0.129776	0.178521	0.124774	0.0470515	0.0292932
a85	0.0248946	0.0214334	0.0389214	0.0726213	0.0930116	0.139342	0.284482	0.220631	0.0672269	0.0374361
a5	0.0140272	0.0161894	0.0339724	0.0507865	0.0634497	0.139298	0.27971	0.23332	0.104946	0.0643012
a21	0.0136238	0.0117639	0.0156126	0.0234519	0.0389417	0.12849	0.238187	0.268295	0.143764	0.117871
a5	0.00372692	0.00355398	0.00367458	0.0057455	0.00995825	0.0368691	0.128549	0.302025	0.249433	0.256464
a18	0.00267611	0.00252918	0.00203848	0.00282869	0.00504272	0.0216995	0.0665541	0.200754	0.261878	0.433998
a21	0.00142841	0.00199267	0.00120025	0.00137996	0.00188917	0.00494699	0.00985227	0.0460308	0.180008	0.751272
a12	0.000690751	0.000658159	0.000478665	0.000714035	0.00117616	0.00413916	0.0113528	0.0548668	0.20797	0.717954
a43	0.000559034	0.000583583	0.00046375	0.000893818	0.00180817	0.00555451	0.0131709	0.0605008	0.202202	0.714263
a0	0.00209688	0.00334831	0.00204463	0.00266216	0.00359789	0.00759623	0.0213377	0.0911582	0.206844	0.659314
a10	0.0538166	0.0679678	0.029993	0.0256817	0.0245303	0.0297956	0.055604	0.124745	0.208391	0.379476
a87	0.197641	0.155514	0.0814539	0.0708605	0.0740436	0.0856163	0.0633602	0.0825464	0.0881843	0.10078
a23	0.146929	0.142457	0.105999	0.107937	0.121847	0.10505	0.0590641	0.0673163	0.0627277	0.0806727
a87	0.013477	0.00943685	0.00473986	0.00489181	0.00891735	0.0338523	0.0326056	0.103889	0.297773	0.490418
</S>	0.00258819	0.00128491	0.000781557	0.00108677	0.00262341	0.0149346	0.0289664	0.131006	0.303904	0.512824
