 	maman	a	attaché	les	bretelles	à	sa	hotte	</S>
a66	0.331604	0.124316	0.0849167	0.103842	0.109688	0.0979645	0.0688389	0.0432357	0.0355928
a38	0.0934955	0.0722617	0.0851348	0.118304	0.184174	0.155831	0.106089	0.0913147	0.0933953
a70	0.481918	0.212231	0.0920538	0.0556522	0.0457068	0.0370022	0.0248973	0.0228127	0.0277259
a90	0.505177	0.223927	0.0652118	0.0499986	0.0278025	0.0289897	0.0273722	0.0297511	0.041771
a98	0.414762	0.259106	0.107604	0.0718802	0.0389754	0.0331266	0.0243699	0.0228239	0.0273531
a79	0.298242	0.272275	0.168285	0.108265	0.0448605	0.0337209	0.0236781	0.0220622	0.0286111
a92	0.231997	0.24888	0.197311	0.137926	0.064048	0.0448427	0.0272679	0.0225641	0.0251639
a37	0.189399	0.206972	0.178998	0.145412	0.0902259	0.0693134	0.0463085	0.0362535	0.037117
a18	0.164791	0.170612	0.187586	0.166104	0.107355	0.0738602	0.0462311	0.0391182	0.0443428
a37	0.0920951	0.108085	0.177118	0.204485	0.138774	0.0976681	0.063763	0.0538637	0.0641479
a85	0.0693959	0.0776768	0.133151	0.189437	0.165797	0.120641	0.0833201	0.0720524	0.0885295
a92	0.0290338	0.0301353	0.052769	0.0995459	0.147545	0.154619	0.148282	0.152337	0.185733
a85	0.0255763	0.0248254	0.0425606	0.0842554	0.146658	0.179189	0.17996	0.158259	0.158717
a6	0.0139398	0.0135406	0.0230856	0.0499649	0.117774	0.164051	0.196895	0.205028	0.215721
a92	0.012058	0.0117384	0.0208183	0.0465608	0.115118	0.170478	0.215252	0.207143	0.200832
a98	0.00910579	0.00883905	0.014434	0.0353457	0.111803	0.164345	0.211035	0.220302	0.22479
a85	0.00606931	0.00638555	0.00984711	0.0222914	0.060241	0.10003	0.175578	0.258288	0.361269
a6	0.00536272	0.00550386	0.00892342	0.0195718	0.0504385	0.0847465	0.158567	0.264149	0.402738
a36	0.00491752	0.00474071	0.00615507	0.0119035	0.0359209	0.0603446	0.13902	0.283794	0.453204
a37	0.00654014	0.00677142	0.00710307	0.00924215	0.0214373	0.0407897	0.124387	0.283893	0.499836
a26	0.00730351	0.00772285	0.00766247	0.00925305	0.0184528	0.037668	0.117728	0.290604	0.503606
a10	0.018365	0.016947	0.0196819	0.0222627	0.038176	0.0659582	0.153361	0.269421	0.395828
a87	0.108705	0.0580529	0.0459945	0.0427683	0.0734798	0.111473	0.15586	0.178073	0.225594
a23	0.216228	0.10964	0.0606637	0.0507066	0.087848	0.119195	0.125608	0.115376	0.114734
a87	0.121316	0.0753663	0.0480635	0.0424028	0.0762423	0.0850888	0.119032	0.194814	0.237674
a23	0.0353326	0.0279584	0.0224571	0.0173176	0.0452377	0.0549777	0.0969552	0.232983	0.46678
a9	0.0513813	0.0391807	0.0268797	0.0219612	0.0695538	0.085441	0.131295	0.240981	0.333326
a38	0.112001	0.0810868	0.0592162	0.0538349	0.0857559	0.0850161	0.107267	0.176916	0.238905
a3	0.108215	0.0691684	0.0491303	0.05051	0.0841998	0.0902987	0.116966	0.185558	0.245953
</S>	0.0936219	0.0705399	0.0599225	0.0587182	0.0815501	0.0809976	0.100192	0.178403	0.276055
