 	je	chasse	les	mouches	qui	rôdent	autour	des	poissons	</S>
a66	0.128287	0.122427	0.168444	0.198769	0.152442	0.127222	0.0522385	0.0260311	0.0136926	0.0104481
a87	0.135454	0.138879	0.153176	0.145966	0.11396	0.102039	0.0814884	0.0539214	0.0390335	0.0360819
a23	0.408287	0.180286	0.105666	0.0616794	0.0500275	0.0483273	0.0464557	0.0362857	0.0300882	0.0328973
a87	0.462051	0.174689	0.10733	0.0626963	0.0381814	0.0367671	0.0379589	0.0300351	0.0232178	0.0270733
a99	0.361997	0.15827	0.115066	0.079335	0.0587966	0.0557663	0.0556876	0.0451929	0.0362145	0.0336737
a13	0.384113	0.139624	0.0775007	0.0377949	0.0371853	0.0507093	0.0578427	0.0711552	0.0663513	0.077724
a75	0.170894	0.110249	0.0877725	0.0528113	0.043165	0.068862	0.0672768	0.115007	0.127266	0.156697
a5	0.188357	0.169153	0.131841	0.0919026	0.0580466	0.0639928	0.0597168	0.0770978	0.075259	0.0846334
a12	0.135582	0.143716	0.142599	0.113558	0.0797224	0.0840971	0.0785899	0.0811104	0.0699464	0.0710791
a43	0.109809	0.121636	0.139786	0.130591	0.103278	0.108425	0.0903996	0.0758649	0.0594945	0.0607169
a0	0.0874812	0.123244	0.151994	0.148834	0.117244	0.106716	0.0819807	0.0633472	0.0555842	0.0635731
a94	0.0637779	0.0947598	0.130996	0.151684	0.137902	0.125108	0.0952923	0.066187	0.0604666	0.0738261
a11	0.0381024	0.0667579	0.10799	0.156211	0.153452	0.135088	0.099888	0.0707036	0.0730443	0.0987624
a75	0.0322318	0.0496786	0.0853429	0.13978	0.155577	0.143163	0.101581	0.0756001	0.0874525	0.129592
a85	0.0118626	0.0244032	0.0484506	0.108484	0.119497	0.137873	0.13117	0.119187	0.123645	0.175428
a6	0.0129877	0.0307354	0.0577279	0.129759	0.14882	0.163276	0.126807	0.0956867	0.0925286	0.141673
a36	0.0164832	0.0301849	0.0513599	0.108223	0.137945	0.168244	0.140789	0.0912893	0.0948374	0.160645
a96	0.0245084	0.0305796	0.0400659	0.0825136	0.124062	0.156152	0.138822	0.0997677	0.112079	0.19145
a18	0.0131494	0.0177285	0.0240721	0.0594728	0.109461	0.160941	0.155683	0.119422	0.127485	0.212586
a96	0.00581614	0.00737876	0.00957535	0.0243898	0.0613924	0.128901	0.161654	0.15649	0.16649	0.277913
a83	0.00344899	0.00469303	0.00651956	0.0183137	0.050527	0.119286	0.152825	0.177686	0.185335	0.281365
a54	0.00187398	0.00226777	0.00281605	0.00736264	0.0252608	0.0782769	0.116741	0.181293	0.239539	0.344569
a47	0.00100863	0.00146053	0.00175058	0.00425138	0.0124679	0.0483718	0.0773809	0.141736	0.245633	0.465939
a7	0.000840532	0.0011354	0.00132564	0.00351771	0.0130012	0.0629918	0.089715	0.154736	0.249766	0.422971
a37	0.0012599	0.00147296	0.00142759	0.00326189	0.00946115	0.0389937	0.0622269	0.121041	0.252043	0.508812
a96	0.00089372	0.00120259	0.00119039	0.00292373	0.00908889	0.0335138	0.0553313	0.125205	0.276118	0.494532
a66	0.000576537	0.000872338	0.000792897	0.0020846	0.00795123	0.0296183	0.0470469	0.106507	0.278655	0.525895
a75	0.00199256	0.0023543	0.00167417	0.00290645	0.0116082	0.0410929	0.0674044	0.114833	0.276914	0.479219
a47	0.000336375	0.000443298	0.00032704	0.00066898	0.00285135	0.0108694	0.0188905	0.0536654	0.22882	0.683128
a0	0.000145852	0.000221741	0.000177684	0.000487867	0.00277391	0.0168112	0.0282108	0.068158	0.231403	0.65161
a11	0.000396425	0.000555689	0.000400443	0.000924606	0.00402771	0.0156092	0.0266495	0.0609804	0.241902	0.648555
a83	0.00159517	0.00209035	0.00128987	0.00237382	0.00738871	0.0206614	0.034626	0.0678964	0.245536	0.616543
a71	0.000807898	0.00104865	0.000680905	0.00137015	0.00507041	0.0170224	0.0281711	0.0610163	0.2525	0.632312
a9	0.00601156	0.0077453	0.00485486	0.00802576	0.0166899	0.0351647	0.0428742	0.0741364	0.248677	0.55582
a87	0.0414299	0.0342627	0.0234452	0.0275594	0.0336506	0.0546677	0.0653129	0.0915524	0.214812	0.413307
a23	0.123633	0.084612	0.0634599	0.0666364	0.0628609	0.0859339	0.0938497	0.109562	0.144782	0.16467
a87	0.136629	0.0768441	0.0521973	0.048025	0.0449262	0.0729115	0.0921755	0.109092	0.151383	0.215818
a23	0.0280139	0.0226285	0.016838	0.0209393	0.0341515	0.0731939	0.0981201	0.120384	0.195479	0.390251
a87	0.0624359	0.0453725	0.0317451	0.0301201	0.0402385	0.0871108	0.115373	0.135658	0.178013	0.273933
a97	0.0265086	0.021754	0.0122968	0.0133704	0.0209121	0.0475845	0.0733087	0.108306	0.209084	0.466875
</S>	0.0682021	0.0497642	0.0376568	0.0494431	0.0643633	0.0928778	0.101605	0.11644	0.16123	0.258418
