 	le	hanneton	se	nourrit	d'	herbes	</S>
a87	0.383364	0.183451	0.135352	0.115952	0.0859045	0.0562265	0.0397506
a79	0.559709	0.193003	0.0932704	0.0529566	0.0377849	0.0307073	0.0325693
a5	0.321478	0.220936	0.140019	0.0920428	0.0633983	0.0745271	0.0875993
a18	0.549569	0.237224	0.0845557	0.0468528	0.0337147	0.0257705	0.0223133
a9	0.501534	0.285174	0.100174	0.0390457	0.0236595	0.0254335	0.0249792
a20	0.199248	0.183713	0.164703	0.125486	0.0903526	0.114672	0.121826
a15	0.0995916	0.108671	0.108479	0.110289	0.117352	0.188327	0.26729
a79	0.187721	0.195291	0.141193	0.108482	0.0967092	0.11793	0.152673
a98	0.118566	0.16894	0.148059	0.124769	0.115318	0.144357	0.17999
a5	0.108832	0.148655	0.151374	0.142673	0.132597	0.142597	0.173273
a18	0.109477	0.121218	0.115806	0.119897	0.12894	0.168	0.236661
a75	0.0270513	0.0443326	0.0802163	0.123796	0.157851	0.235884	0.330869
a85	0.0250793	0.0309129	0.0702032	0.141601	0.186103	0.218307	0.327793
a73	0.0295427	0.0340071	0.0688548	0.146308	0.210199	0.220976	0.290112
a37	0.0132376	0.0150691	0.0376388	0.0866482	0.175624	0.255503	0.41628
a44	0.0026004	0.00311117	0.00883613	0.0278595	0.0812842	0.239151	0.637157
a43	0.00235707	0.00296144	0.00882358	0.0290703	0.0834712	0.249684	0.623632
a11	0.00117795	0.00128295	0.00411193	0.0142437	0.0541646	0.211501	0.713518
a70	0.0038537	0.00251784	0.0057764	0.0156112	0.0537228	0.219776	0.698742
a13	0.00631333	0.00406268	0.008508	0.0207669	0.0597734	0.232863	0.667713
a9	0.0202462	0.0105368	0.0188156	0.0405188	0.0989085	0.262914	0.54806
a10	0.0960178	0.0398259	0.0569799	0.0853637	0.135434	0.204142	0.382237
a87	0.247648	0.130243	0.127131	0.124629	0.128445	0.110979	0.130925
a9	0.163295	0.122343	0.136941	0.154862	0.158381	0.131097	0.13308
a87	0.114406	0.0980814	0.130883	0.148972	0.153939	0.155609	0.198109
</S>	0.123572	0.105164	0.123064	0.13894	0.147358	0.153443	0.208459
