 	la	manière	dont	ils	gardent	cette	banque	le	combrioleur	ne	peut	oser	y	entrer	</S>
a66	0.0738527	0.0785653	0.131687	0.147873	0.192343	0.142761	0.138404	0.0274583	0.0196546	0.0122819	0.00776136	0.00850442	0.00656396	0.00626232	0.00602667
a87	0.243808	0.161301	0.10525	0.0682645	0.0824307	0.0914484	0.101385	0.0327686	0.0223297	0.0140514	0.0122944	0.0144389	0.0143269	0.0170643	0.0188374
a97	0.161457	0.156907	0.127761	0.0736284	0.0480724	0.0474145	0.0513334	0.0403027	0.0465018	0.037633	0.0336235	0.0309726	0.0331274	0.0482598	0.0630049
a3	0.135443	0.170313	0.161508	0.0856754	0.0952158	0.071293	0.075969	0.0347813	0.039764	0.0311603	0.0238536	0.0174969	0.0142329	0.0184886	0.0248047
a99	0.154641	0.202336	0.174358	0.0714699	0.0579248	0.0454175	0.0520815	0.0302739	0.0390142	0.0335189	0.0278743	0.0204325	0.0223095	0.0296371	0.0387104
a62	0.165865	0.221646	0.198511	0.0497702	0.036271	0.0340591	0.0526488	0.0395254	0.0543147	0.0382591	0.0279758	0.0176816	0.0163831	0.0197149	0.0273746
a88	0.250483	0.286922	0.23351	0.0569374	0.0303858	0.0193485	0.0316653	0.0174589	0.0242703	0.0135578	0.00865202	0.00577519	0.00511779	0.00586633	0.0100506
a18	0.279349	0.268069	0.188829	0.0564028	0.0468286	0.0267459	0.0424386	0.019319	0.0241246	0.0154181	0.00858594	0.00611479	0.00439228	0.00501419	0.00836854
a11	0.231515	0.250631	0.191371	0.0591787	0.046231	0.0298751	0.0392524	0.020764	0.0268463	0.0198525	0.0149231	0.0123824	0.0131768	0.0189605	0.0250404
a62	0.233837	0.241419	0.180414	0.065368	0.0529957	0.0323148	0.0400304	0.0201657	0.0240139	0.0184458	0.0146588	0.0135353	0.0149891	0.021669	0.0261434
a21	0.186472	0.195047	0.185754	0.0986474	0.0839595	0.051767	0.0603361	0.0228297	0.023718	0.0189115	0.0141092	0.0132544	0.0119764	0.0151952	0.0180233
a47	0.140161	0.138104	0.145123	0.128282	0.135837	0.0908071	0.0997619	0.0233103	0.0235381	0.0189734	0.0126832	0.0118278	0.00967099	0.0099364	0.0119833
a21	0.125416	0.113373	0.117165	0.0947398	0.121137	0.0889011	0.0999065	0.0368428	0.0413254	0.0353654	0.0280792	0.0315237	0.0235439	0.0218045	0.0208764
a12	0.0883482	0.0932281	0.118798	0.129978	0.146013	0.118582	0.130111	0.0324415	0.0314483	0.0270793	0.0196653	0.0221977	0.0161041	0.0130478	0.0129574
a18	0.0512669	0.0604559	0.0895161	0.105109	0.139685	0.11481	0.129715	0.052041	0.0518523	0.050192	0.0386717	0.0442595	0.028981	0.0217525	0.0216928
a62	0.0380979	0.0407554	0.0706116	0.0987909	0.134459	0.134797	0.1679	0.0569666	0.0548165	0.0444068	0.0345422	0.0410831	0.0287322	0.0262058	0.0278354
a21	0.0272244	0.0325678	0.0566059	0.0988654	0.139966	0.147366	0.173446	0.0705808	0.0595769	0.0523942	0.0383538	0.0390262	0.0259977	0.0191412	0.0188873
a5	0.0254847	0.0348607	0.068141	0.100723	0.116551	0.111745	0.152115	0.0628704	0.0687624	0.06504	0.0517452	0.058637	0.0381403	0.0233618	0.0218224
a94	0.0184647	0.0228514	0.0450576	0.0902487	0.124334	0.123065	0.155824	0.0689456	0.0685448	0.0667934	0.0569969	0.0654412	0.0424607	0.0264293	0.0245425
a98	0.0106342	0.0100051	0.0253104	0.0706902	0.112041	0.127052	0.149734	0.0809051	0.0756907	0.0687439	0.062375	0.0763756	0.0525246	0.0389512	0.0389666
a85	0.00369245	0.00415808	0.00882403	0.029368	0.0499547	0.0633518	0.0792191	0.0685436	0.0779959	0.0886363	0.103466	0.13288	0.113389	0.0914799	0.0850419
a21	0.00355411	0.00350126	0.0065001	0.0218678	0.0341932	0.0585173	0.0829251	0.0891533	0.10242	0.106249	0.106874	0.140961	0.0971693	0.0714629	0.0746516
a61	0.0052288	0.00506086	0.00962251	0.0329973	0.0610619	0.0775265	0.0941292	0.0912013	0.103145	0.0977266	0.0962247	0.128152	0.0901172	0.0566543	0.0511522
a96	0.00330648	0.00258765	0.00434227	0.017486	0.0476844	0.0751579	0.100472	0.0996047	0.10686	0.0992299	0.0974472	0.130862	0.0857863	0.0616423	0.0675303
