 	notre	père	a	acheté	une	bicyclette	</S>
a66	0.498828	0.228397	0.0997177	0.0706498	0.0520709	0.0371358	0.0132003
a87	0.39027	0.0953113	0.0657544	0.0791354	0.118024	0.136014	0.115491
a97	0.344793	0.176949	0.138642	0.103266	0.0864202	0.0667733	0.0831573
a3	0.410012	0.146231	0.106926	0.0786699	0.0734313	0.078556	0.106174
a79	0.439293	0.159349	0.1049	0.0756779	0.0661405	0.0665635	0.088076
a54	0.481768	0.170429	0.083731	0.0692539	0.0735886	0.0652495	0.0559798
a47	0.393408	0.282004	0.140591	0.0825984	0.0566866	0.0253971	0.0193145
a6	0.289004	0.30332	0.205303	0.100779	0.0588561	0.0241495	0.018589
a37	0.232721	0.288043	0.241009	0.119043	0.0672542	0.0278935	0.0240363
a43	0.262842	0.301648	0.252812	0.0948159	0.0454111	0.0255873	0.0168842
a0	0.255409	0.293308	0.222484	0.111129	0.0601653	0.0360497	0.0214545
a75	0.14814	0.232741	0.229036	0.168388	0.110071	0.0689217	0.0427019
a5	0.0665006	0.139374	0.168289	0.17786	0.169963	0.164275	0.113738
a12	0.0375093	0.0796072	0.11526	0.192505	0.20889	0.227983	0.138244
a62	0.0340501	0.0640435	0.0887744	0.152118	0.171412	0.265499	0.224104
a31	0.0310504	0.0575732	0.0850142	0.152748	0.189127	0.254883	0.229604
a0	0.010342	0.02074	0.0377846	0.0937265	0.152853	0.312063	0.372491
a56	0.00596448	0.00934499	0.016633	0.0466076	0.103863	0.304777	0.512811
a96	0.00322803	0.00689531	0.0145076	0.0400253	0.0833577	0.268535	0.583451
a75	0.00117034	0.00235936	0.00519456	0.018365	0.059271	0.213266	0.700373
a92	0.000358463	0.00134211	0.00358626	0.0133916	0.0368534	0.154529	0.789939
a21	0.000361995	0.00124955	0.00337497	0.0120325	0.0327843	0.124488	0.825709
a47	0.000600724	0.00168515	0.00343755	0.0120203	0.0352181	0.134585	0.812454
a96	0.000861858	0.00229013	0.00494675	0.015585	0.0461776	0.181687	0.748452
a62	0.000791406	0.00177248	0.00320222	0.0106975	0.0387394	0.159019	0.785778
a88	0.000916981	0.00200798	0.00347722	0.011051	0.0395065	0.157251	0.785789
a71	0.00218249	0.00322333	0.00508698	0.0167599	0.0507323	0.219625	0.70239
a9	0.0166649	0.0208922	0.0242324	0.0453356	0.0787645	0.245481	0.568629
a3	0.0472543	0.0437468	0.0416837	0.0629593	0.0925355	0.229042	0.482778
a99	0.106809	0.0482987	0.0352426	0.0447266	0.0733928	0.188884	0.502646
a3	0.0276992	0.0143335	0.0123209	0.0217279	0.0537785	0.172291	0.697849
a97	0.010857	0.00684534	0.0100412	0.0249461	0.072026	0.216969	0.658315
</S>	0.0203687	0.0125745	0.0157668	0.0292117	0.0706792	0.213413	0.637986
