 	il	fut	traité	avec	bonté	</S>
a23	0.355081	0.198339	0.117815	0.105484	0.101765	0.121515
a87	0.437031	0.213767	0.0950733	0.0797837	0.0802081	0.0941363
a23	0.411608	0.246959	0.120173	0.0798631	0.0727262	0.0686702
a40	0.44423	0.219456	0.0791428	0.0608698	0.0744815	0.12182
a30	0.364523	0.195606	0.121672	0.103371	0.100985	0.113844
a2	0.448971	0.291954	0.124599	0.061251	0.042141	0.0310848
a27	0.275922	0.239965	0.191574	0.131999	0.0946061	0.0659345
a38	0.217285	0.189164	0.198074	0.166031	0.13126	0.0981866
a30	0.261266	0.216375	0.198965	0.146412	0.105944	0.0710383
a2	0.266113	0.216335	0.180656	0.145031	0.11443	0.0774343
a20	0.169284	0.150931	0.164852	0.181775	0.176461	0.156698
a69	0.258144	0.201371	0.166689	0.150137	0.127022	0.0966374
a58	0.174738	0.150376	0.15658	0.18054	0.185513	0.152254
a82	0.0799094	0.0797823	0.112264	0.185062	0.250899	0.292084
a38	0.0336802	0.0326934	0.0456126	0.107223	0.241171	0.53962
a75	0.0178543	0.016356	0.0291806	0.0924182	0.250261	0.59393
a41	0.0183163	0.0209224	0.0492723	0.136469	0.283045	0.491976
a35	0.0104406	0.013365	0.0348827	0.116752	0.274284	0.550275
a73	0.00856178	0.00920466	0.0225881	0.0878621	0.256414	0.615369
a69	0.00801108	0.00773938	0.0163923	0.0699223	0.231777	0.666158
a84	0.00884804	0.00851106	0.0177923	0.06826	0.217929	0.67866
a57	0.00889129	0.00776371	0.0128562	0.0573798	0.208039	0.70507
a87	0.028358	0.025347	0.0403823	0.11613	0.263196	0.526586
</S>	0.0359497	0.0399261	0.0698216	0.146527	0.272098	0.435678
