 	l'	enfant	est	malade	depuis	avant-hier	</S>
a10	0.384428	0.172916	0.105424	0.095175	0.0809418	0.071963	0.0891524
a87	0.336863	0.161821	0.0959679	0.0834441	0.0734314	0.0868694	0.161603
a23	0.35226	0.200915	0.101983	0.0836921	0.0637687	0.0672997	0.130082
a79	0.326892	0.198661	0.126593	0.0833529	0.0597598	0.0774716	0.127269
a53	0.485374	0.2566	0.112356	0.0581518	0.0246222	0.022595	0.0403005
a76	0.363784	0.270437	0.1699	0.096317	0.0406115	0.0267089	0.0322425
a94	0.275822	0.26231	0.218421	0.136215	0.0519736	0.0283412	0.0269164
a76	0.238534	0.270601	0.247941	0.143103	0.0419681	0.0266106	0.0312414
a73	0.248207	0.265771	0.234985	0.135198	0.0530182	0.0333617	0.02946
a94	0.221382	0.257586	0.226407	0.148186	0.0661612	0.0431206	0.037157
a38	0.142425	0.198812	0.230173	0.19226	0.098818	0.0722374	0.0652738
a90	0.10594	0.158399	0.218896	0.213456	0.114044	0.0909537	0.0983107
a98	0.109912	0.140947	0.172202	0.196159	0.129305	0.121055	0.13042
a71	0.0954912	0.116081	0.148696	0.170924	0.138407	0.153713	0.176688
a38	0.0774885	0.0988584	0.153877	0.220545	0.152992	0.139803	0.156436
a98	0.105296	0.117483	0.148771	0.192391	0.139018	0.138379	0.158662
a73	0.0803505	0.0968185	0.125934	0.168541	0.150549	0.167687	0.210119
a69	0.0415559	0.0662617	0.109932	0.177496	0.177639	0.182319	0.244796
a58	0.0542874	0.0680297	0.0906688	0.132575	0.14129	0.205147	0.308002
a57	0.0413381	0.0553389	0.0812579	0.120888	0.158468	0.199208	0.343502
a53	0.0295585	0.0402557	0.0665709	0.107935	0.170503	0.205068	0.380108
a90	0.0369085	0.0443027	0.0584203	0.0756613	0.10833	0.203391	0.472987
a76	0.0296281	0.0301228	0.0378204	0.0507723	0.118281	0.225645	0.50773
a20	0.0334708	0.0364874	0.0424717	0.0482778	0.0951731	0.211488	0.532631
a84	0.0361029	0.0354086	0.0384586	0.0403113	0.0883821	0.189396	0.57194
a57	0.00705726	0.0087718	0.0148629	0.0201941	0.0602568	0.21974	0.669117
a87	0.0243634	0.0150006	0.0131834	0.0131236	0.0534963	0.202158	0.678675
a30	0.0299277	0.0191199	0.0161565	0.0168897	0.0949923	0.212947	0.609967
a53	0.0319586	0.0263739	0.0273661	0.035927	0.192701	0.252325	0.433348
a90	0.0700654	0.060184	0.0386461	0.0417171	0.071572	0.132332	0.585483
a15	0.0575451	0.0476342	0.0452842	0.0600831	0.0993369	0.169365	0.520752
a25	0.0230797	0.0290857	0.0410763	0.0675505	0.124921	0.216037	0.49825
a90	0.0123042	0.0187008	0.028212	0.0438667	0.109706	0.239848	0.547362
a76	0.0105048	0.0145695	0.0217686	0.0282065	0.0660441	0.21094	0.647967
a94	0.0288847	0.0376626	0.050294	0.0534627	0.0993894	0.241377	0.488929
a53	0.00626432	0.00865071	0.0162377	0.0216791	0.0449442	0.157593	0.744631
a20	0.00860943	0.00951737	0.0144604	0.0199421	0.040134	0.150914	0.756423
a84	0.00733936	0.00694557	0.00854823	0.011651	0.0342567	0.156624	0.774635
a87	0.00596833	0.00500759	0.00541676	0.00707057	0.039895	0.189009	0.747633
a23	0.0181106	0.0118895	0.00895039	0.00757974	0.0471037	0.204038	0.702328
a87	0.0769614	0.0507324	0.0341292	0.0263258	0.094429	0.214847	0.502575
</S>	0.049444	0.0338309	0.0251837	0.0220697	0.0954477	0.208402	0.565622
