 	je	suis	en	train	de	manger	l'	igname	yaa	</S>
a66	0.192976	0.102399	0.0965471	0.119249	0.125293	0.1259	0.103579	0.0680683	0.041372	0.0246156
a87	0.0950469	0.0834628	0.0909009	0.130399	0.148402	0.138038	0.119532	0.090055	0.0596435	0.0445205
a97	0.180903	0.120108	0.0804283	0.0711626	0.0736056	0.0875918	0.109868	0.122168	0.0804764	0.0736885
a87	0.307897	0.199763	0.138268	0.095547	0.0696042	0.0583989	0.0414783	0.0338588	0.0266714	0.0285131
a97	0.290291	0.197932	0.129793	0.0886404	0.0709375	0.0662083	0.0541	0.0427481	0.0308806	0.0284682
a13	0.342399	0.193939	0.117043	0.0736393	0.0566349	0.056565	0.0493747	0.0425673	0.0357075	0.0321308
a54	0.36602	0.207541	0.11989	0.0588693	0.0535137	0.054759	0.0473605	0.039446	0.0273622	0.0252373
a79	0.284185	0.21643	0.139019	0.0623562	0.0631308	0.0489783	0.0443692	0.0433396	0.0387504	0.0594421
a90	0.24454	0.189755	0.150782	0.0880494	0.0993127	0.0748942	0.0543606	0.0371166	0.0271711	0.0340187
a56	0.182928	0.168583	0.157143	0.113561	0.126056	0.0961239	0.0639009	0.0365123	0.0261505	0.0290405
a34	0.115173	0.122258	0.1286	0.122952	0.147095	0.126466	0.0944764	0.0546272	0.0401089	0.0482438
a70	0.0676031	0.0716988	0.0798409	0.102047	0.127677	0.137388	0.140333	0.0940453	0.0812415	0.0981251
a11	0.0332657	0.0357142	0.0438101	0.0785647	0.104988	0.135208	0.169649	0.136167	0.128151	0.134481
a75	0.0173552	0.0195739	0.0263878	0.0602307	0.0808757	0.113001	0.159023	0.157078	0.178116	0.188358
a85	0.012215	0.015095	0.022139	0.0564673	0.0789054	0.117689	0.174382	0.167241	0.172842	0.183024
a21	0.00847554	0.0108718	0.0159704	0.0406194	0.0533841	0.0855951	0.14024	0.179751	0.202766	0.262327
a85	0.00884258	0.0104468	0.0148496	0.0322073	0.0425174	0.0621076	0.113899	0.176294	0.213665	0.32517
a47	0.00667619	0.00799881	0.0112342	0.0312039	0.0391795	0.0636763	0.106413	0.177833	0.219406	0.336378
a36	0.00171846	0.00192447	0.00235785	0.00731953	0.010409	0.0203824	0.0526203	0.13729	0.247746	0.518233
a2	0.00208724	0.00198587	0.00216305	0.00643244	0.00909708	0.0172511	0.04691	0.132231	0.204395	0.577447
a30	0.00568939	0.00468188	0.00480145	0.0107332	0.0163899	0.0271131	0.0640859	0.164993	0.202597	0.498915
a97	0.0235934	0.0145122	0.0108855	0.0154968	0.0213965	0.0371359	0.0743379	0.169233	0.222294	0.411114
a82	0.0549599	0.028862	0.0185258	0.0242393	0.0311906	0.0537012	0.0956542	0.178012	0.191425	0.323431
a97	0.0558175	0.0298927	0.0186223	0.0280695	0.0389099	0.0675185	0.125499	0.212612	0.182168	0.24089
a87	0.0495303	0.0321055	0.0220066	0.0293639	0.0453769	0.0745143	0.133075	0.205781	0.187433	0.220812
a97	0.0541905	0.0381194	0.0259074	0.0298567	0.0466478	0.0749097	0.125413	0.197181	0.180069	0.227706
a87	0.0493775	0.0399559	0.0315235	0.0397082	0.0520589	0.0685944	0.104287	0.179823	0.173976	0.260695
a97	0.0240743	0.0193946	0.0180491	0.026343	0.0307888	0.0438788	0.0725099	0.164904	0.21332	0.386738
</S>	0.0420739	0.0332387	0.0289167	0.0377468	0.044122	0.0585341	0.0862364	0.167574	0.184625	0.316932
