 	le	président	de	la	république	arrive	aujourd'	hui	à	boundji	</S>
a66	0.228462	0.137555	0.111407	0.134678	0.155231	0.107536	0.0619833	0.027396	0.0150734	0.0108722	0.00980657
a87	0.511566	0.165961	0.0680317	0.0571603	0.076738	0.033811	0.0233105	0.0134032	0.0132556	0.0173208	0.0194425
a23	0.455614	0.118713	0.0827237	0.0653589	0.0921046	0.0643998	0.0427487	0.0189751	0.0166735	0.0184506	0.0242379
a13	0.327828	0.11056	0.0904799	0.0820549	0.106856	0.0645575	0.0564782	0.0395837	0.0383081	0.0404473	0.0428461
a9	0.133516	0.108908	0.104548	0.0941071	0.113036	0.0756083	0.0723998	0.0636003	0.0705615	0.0796813	0.0840345
a57	0.167088	0.163644	0.160681	0.134501	0.130969	0.0469225	0.036147	0.0315742	0.0355406	0.0436289	0.049304
a4	0.154498	0.198805	0.16758	0.123882	0.110697	0.035106	0.0312702	0.0335542	0.0410496	0.0495248	0.0540329
a70	0.0907089	0.289925	0.248826	0.149677	0.0925922	0.0296974	0.0221213	0.0199552	0.0191054	0.0191843	0.0182065
a99	0.0666381	0.243899	0.28597	0.192569	0.102447	0.0336315	0.0200007	0.0143363	0.0128416	0.0133128	0.0143536
a24	0.0514779	0.174635	0.296187	0.226385	0.127144	0.0372145	0.0207709	0.0143694	0.0137596	0.0162825	0.0217752
a62	0.0614151	0.129607	0.266424	0.256931	0.156099	0.0436215	0.0226684	0.0141338	0.0129801	0.0150095	0.0211097
a75	0.0547008	0.116041	0.228855	0.23315	0.155733	0.0768295	0.044598	0.0257833	0.020599	0.020079	0.0236326
a5	0.0247672	0.0886228	0.171666	0.185862	0.144728	0.0791463	0.0646469	0.0648365	0.0588858	0.0558902	0.0609484
a18	0.0442376	0.101309	0.164913	0.179297	0.130982	0.100496	0.0815545	0.0638282	0.0499647	0.0410139	0.0424044
a11	0.023224	0.0447458	0.114394	0.170962	0.163091	0.145862	0.100277	0.0681011	0.0559199	0.0514103	0.0620122
a47	0.0247285	0.0372205	0.0789807	0.142767	0.157347	0.151654	0.110089	0.0668933	0.0611762	0.0681977	0.100946
a96	0.0255987	0.0345182	0.0709451	0.121209	0.131942	0.148681	0.1185	0.0850019	0.0805842	0.0804169	0.102603
a61	0.0154903	0.0292675	0.0638645	0.0972571	0.0999296	0.139187	0.112426	0.0987829	0.105794	0.108976	0.129025
a12	0.0134201	0.0219037	0.0396466	0.0666953	0.0747252	0.131267	0.120856	0.109366	0.124754	0.137693	0.159674
a75	0.010275	0.0148724	0.0220917	0.0369743	0.0449018	0.0978899	0.107151	0.110561	0.144034	0.183766	0.227484
a6	0.00195159	0.0030914	0.0102063	0.019852	0.0324559	0.0702193	0.0752288	0.100104	0.155147	0.231009	0.300735
a0	0.00189184	0.00246147	0.00716876	0.0141717	0.0290328	0.0800466	0.104701	0.142363	0.177647	0.198589	0.241926
a11	0.00281893	0.00305269	0.00514575	0.00884764	0.0125287	0.0443453	0.077454	0.134737	0.204217	0.225437	0.281417
a83	0.00178151	0.0020678	0.00271041	0.00365433	0.00497052	0.018876	0.0404495	0.0910404	0.189472	0.275758	0.36922
a66	0.00127697	0.00149021	0.00210231	0.00283749	0.00401614	0.0148867	0.0318241	0.0755512	0.173751	0.286862	0.405401
a54	0.000567083	0.000524918	0.000824873	0.00111717	0.00187209	0.00872538	0.0239468	0.0723188	0.183102	0.303109	0.403892
a7	0.000113752	0.000125473	0.000512211	0.00138632	0.00332014	0.0126726	0.0279751	0.0762838	0.159203	0.266446	0.451962
a44	0.000194527	0.000151016	0.000217733	0.000341878	0.000842468	0.00365416	0.0115929	0.0452576	0.135344	0.276676	0.525728
a13	0.000123985	0.00014264	0.000272231	0.000498464	0.00110677	0.00401538	0.0108169	0.0413872	0.131929	0.302563	0.507145
a70	0.000222654	0.000256555	0.000461799	0.00070049	0.00139396	0.00534315	0.0151562	0.0540859	0.144089	0.286338	0.491952
a13	0.000119966	0.000163627	0.000377864	0.000592819	0.00110227	0.00431512	0.0120572	0.0437639	0.123465	0.285238	0.528804
a38	0.000344465	0.000414981	0.000749286	0.00108722	0.00267925	0.00959965	0.0227534	0.0610478	0.129126	0.265881	0.506317
a9	0.000283178	0.000362869	0.000651763	0.00103665	0.0029588	0.0123276	0.0283298	0.0658104	0.128747	0.259671	0.499821
a38	0.00223793	0.00226236	0.00217514	0.00273238	0.00598564	0.0221585	0.0480274	0.0993057	0.165216	0.260931	0.388968
a7	0.0043705	0.00315381	0.00339886	0.00501725	0.0123421	0.023937	0.0420871	0.0834081	0.143855	0.254017	0.424413
a84	0.00381946	0.00342015	0.00397716	0.00617094	0.0158287	0.0253218	0.0385724	0.0721036	0.129744	0.243333	0.457709
a57	0.0382865	0.0160556	0.0104145	0.0113218	0.0196467	0.0400737	0.0641093	0.0946896	0.146701	0.227149	0.331552
a87	0.0894107	0.0209675	0.0149658	0.0164984	0.0335728	0.060469	0.0907072	0.105463	0.13145	0.188765	0.24773
</S>	0.125164	0.0508557	0.0376056	0.0343842	0.0407162	0.0670451	0.0873224	0.102339	0.117673	0.156749	0.180145
