 	il	a	allongé	les	jambes	de	son	pantalon	</S>
a23	0.235983	0.171602	0.145654	0.12577	0.102193	0.0670481	0.0502972	0.0465173	0.0549361
a10	0.301867	0.216638	0.160182	0.0519747	0.0468112	0.0336551	0.038274	0.044475	0.106123
a87	0.159137	0.151479	0.140727	0.0563321	0.0594497	0.0539811	0.0770741	0.096764	0.205056
a79	0.11904	0.115437	0.107277	0.0448945	0.0532129	0.0622658	0.101143	0.136776	0.259953
a20	0.344656	0.26553	0.129499	0.0509489	0.0491296	0.0337664	0.0298669	0.0326294	0.0639741
a30	0.513873	0.333065	0.0919037	0.0215454	0.0140566	0.00861972	0.00485713	0.00440891	0.00767
a35	0.376491	0.285775	0.160944	0.0645127	0.0510032	0.0311325	0.0140716	0.00809468	0.00797575
a94	0.271168	0.239032	0.183354	0.0910333	0.0851737	0.0653154	0.0331699	0.0171803	0.0145731
a24	0.167358	0.177312	0.205073	0.137794	0.132364	0.0930351	0.0450057	0.0223379	0.0197203
a26	0.120657	0.13673	0.194427	0.170395	0.174882	0.111128	0.050757	0.0224719	0.0185525
a24	0.0987141	0.118565	0.174884	0.169513	0.206834	0.121414	0.0578775	0.0285277	0.0236712
a41	0.0763162	0.0961899	0.135592	0.154072	0.221298	0.167937	0.0837564	0.0381922	0.0266472
a43	0.0450002	0.0621221	0.127949	0.176465	0.235268	0.161581	0.0896096	0.0489234	0.053081
a11	0.0436794	0.0558592	0.104611	0.159701	0.240597	0.177095	0.109716	0.0584086	0.0503321
a26	0.0432846	0.0599673	0.103238	0.14516	0.221435	0.169577	0.121527	0.0777599	0.0580503
a75	0.0291608	0.042157	0.0933324	0.152167	0.212338	0.159773	0.12539	0.0872309	0.0984504
a14	0.0357427	0.0545131	0.120955	0.160629	0.220185	0.124929	0.0987354	0.0873346	0.096976
a30	0.0281693	0.0437689	0.126434	0.180404	0.213962	0.119278	0.0956588	0.0845167	0.107808
a57	0.0230019	0.0289456	0.0735107	0.117125	0.178809	0.10899	0.117963	0.119165	0.232491
a87	0.00596457	0.00623022	0.0191968	0.0473588	0.0896397	0.0747897	0.125498	0.157655	0.473667
a23	0.0108392	0.0126542	0.0330327	0.0612891	0.100744	0.108095	0.153344	0.14627	0.373733
a40	0.00808759	0.0111193	0.0299163	0.0497685	0.0675248	0.0811253	0.120156	0.15027	0.482033
a30	0.0427482	0.0563728	0.0769101	0.0843813	0.10211	0.0780922	0.0687369	0.0894287	0.401219
a44	0.0484338	0.0578676	0.10464	0.129417	0.135349	0.111879	0.0925847	0.0805887	0.23924
a57	0.0337146	0.0382933	0.0691317	0.100205	0.129631	0.112075	0.0981813	0.0938763	0.324891
a53	0.00723441	0.00833135	0.0164492	0.0328683	0.0829735	0.0916295	0.123813	0.136719	0.499982
a76	0.0266006	0.0313683	0.0482406	0.0812794	0.129663	0.120068	0.110932	0.113093	0.338755
a94	0.0464295	0.0434039	0.0800756	0.132404	0.145992	0.126653	0.110527	0.100485	0.214029
a20	0.010095	0.0120578	0.0233523	0.060034	0.0873441	0.0873614	0.113361	0.140265	0.46613
a73	0.0111872	0.0131182	0.0248376	0.0748411	0.107372	0.0874315	0.0964161	0.134	0.450797
a44	0.0054962	0.00594564	0.0124308	0.0399075	0.0727012	0.0684273	0.103565	0.145639	0.545887
a57	0.00325927	0.00326545	0.00613395	0.0221067	0.0570321	0.0572879	0.111744	0.162995	0.576176
a40	0.00100131	0.00100191	0.00199966	0.00756268	0.0326637	0.0350482	0.0967907	0.178697	0.645235
a14	0.00499143	0.00534661	0.0111118	0.0384012	0.0815847	0.0800614	0.12519	0.161483	0.49183
a35	0.0057067	0.00660397	0.0150386	0.0474534	0.073744	0.0771774	0.119537	0.161682	0.493057
a14	0.0032841	0.00415266	0.0086408	0.0245944	0.0439237	0.0505384	0.100392	0.169191	0.595284
a73	0.00607888	0.008035	0.0149927	0.0303562	0.049096	0.0583028	0.119605	0.188397	0.525137
a69	0.00338287	0.0040742	0.00935006	0.0232644	0.0510369	0.0531281	0.109439	0.157314	0.589011
a84	0.00497988	0.00663497	0.0143138	0.0309885	0.0546336	0.0618062	0.129526	0.183304	0.513812
a57	0.000894494	0.000903446	0.00182634	0.00519127	0.0212665	0.0258081	0.0865517	0.180972	0.676586
a87	0.0017117	0.00136969	0.00204302	0.00567099	0.0128907	0.0175941	0.0901361	0.275255	0.593329
</S>	0.0173182	0.0124671	0.0137843	0.0225194	0.0161879	0.0277236	0.0737606	0.218134	0.598105
