 	le	petit	poisson	écailleux	appelé	okísí	est	de	couleur	noir	foncé	</S>
a66	0.124686	0.114896	0.073468	0.0892901	0.117509	0.270949	0.0838018	0.0718218	0.0301107	0.012869	0.00612287	0.00447568
a87	0.441949	0.176056	0.0805429	0.056262	0.0466218	0.104003	0.0113951	0.0116307	0.0107812	0.0141744	0.0147827	0.0318011
a23	0.522275	0.189683	0.0712166	0.0515346	0.0273701	0.0476037	0.0130356	0.0120547	0.0107875	0.013755	0.0124545	0.0282297
a30	0.474244	0.145365	0.065177	0.0626775	0.0286345	0.0237972	0.017861	0.0226638	0.0217747	0.0215714	0.0323051	0.0839289
a13	0.402466	0.155225	0.086648	0.0787373	0.0368394	0.0446381	0.0272042	0.03042	0.0225865	0.0250179	0.0365622	0.0536558
a57	0.253255	0.134552	0.0873957	0.0819641	0.0768852	0.145338	0.0462752	0.0462119	0.0286215	0.0277658	0.0369658	0.0347688
a38	0.253362	0.142292	0.0980177	0.104925	0.105856	0.112657	0.0487473	0.0423479	0.0221009	0.0184706	0.0271158	0.0241085
a11	0.194889	0.124159	0.116831	0.125461	0.122588	0.134939	0.0475428	0.0436726	0.0204097	0.0182777	0.0281624	0.0230674
a0	0.100995	0.104752	0.147108	0.173037	0.129173	0.114642	0.0649013	0.0601291	0.0365458	0.0235661	0.026318	0.018832
a56	0.0951122	0.0974836	0.130677	0.169422	0.121675	0.0918205	0.0709858	0.0652984	0.0442277	0.0326649	0.0436413	0.0369912
a37	0.0738027	0.087069	0.150478	0.191496	0.15156	0.148254	0.0723574	0.0593517	0.0356047	0.0139024	0.00896048	0.00716415
a12	0.052371	0.0651879	0.12183	0.154085	0.135402	0.145021	0.110894	0.0898356	0.0694839	0.0280233	0.0157592	0.0121073
a88	0.0535716	0.0666514	0.117874	0.154863	0.176845	0.160694	0.0921141	0.0791104	0.0562394	0.0222711	0.0120274	0.00773757
a71	0.0275107	0.044073	0.0794534	0.112162	0.135291	0.113422	0.174192	0.140805	0.106004	0.0353183	0.0170214	0.0147473
a62	0.0332468	0.0423677	0.0567725	0.0702824	0.0818693	0.0508011	0.184797	0.162243	0.167882	0.076932	0.0368376	0.035968
a88	0.0175794	0.0253561	0.0335267	0.0542906	0.0736551	0.042574	0.206656	0.196805	0.198708	0.0835659	0.0353722	0.0319114
a71	0.0167854	0.0209733	0.0246106	0.0455143	0.0637146	0.0417362	0.194586	0.202157	0.197095	0.0945932	0.051931	0.0463039
a38	0.0268443	0.0268718	0.0255183	0.0336928	0.0473933	0.0537197	0.142059	0.179396	0.188869	0.109752	0.0841183	0.081766
a31	0.0410709	0.0220816	0.0150984	0.0245945	0.0535288	0.033879	0.119235	0.160848	0.177488	0.129408	0.0997552	0.123012
a62	0.0193343	0.0198485	0.0302487	0.0526162	0.112379	0.071454	0.193932	0.148659	0.119523	0.0907691	0.0741586	0.0670772
a61	0.0156517	0.0173914	0.0255431	0.043107	0.0918225	0.0665454	0.197612	0.160963	0.125083	0.0905416	0.0811657	0.0845727
a62	0.00982936	0.0121974	0.0178825	0.0386996	0.0897751	0.0653496	0.193487	0.156766	0.121797	0.103129	0.100761	0.0903268
a96	0.0107699	0.0119934	0.0175692	0.0232043	0.0487509	0.0484635	0.15762	0.15422	0.119499	0.111133	0.145675	0.151103
a66	0.00698971	0.00753288	0.010517	0.0130438	0.0234994	0.0247675	0.0899744	0.101208	0.10112	0.121386	0.222513	0.277448
a18	0.00554279	0.00484092	0.00414768	0.00435367	0.00757851	0.0102295	0.0323865	0.0461486	0.0619949	0.10912	0.282403	0.431253
a31	0.00522482	0.00371873	0.00285857	0.00271337	0.00567514	0.00857492	0.0200898	0.0253635	0.0356126	0.081763	0.248899	0.559507
a47	0.00395243	0.00318355	0.00269884	0.00257657	0.00460671	0.00621945	0.0211536	0.0286561	0.0402495	0.0770489	0.237027	0.572628
a61	0.00260638	0.00198025	0.00164419	0.00153521	0.00299948	0.00477602	0.0117996	0.0170819	0.0264553	0.0597289	0.216449	0.652944
a34	0.000841785	0.000747027	0.000944892	0.00124773	0.00263355	0.00364301	0.00977546	0.0134877	0.0256462	0.0603563	0.198054	0.682622
a96	0.000665025	0.000652774	0.000988474	0.00140684	0.00304102	0.00347059	0.0113068	0.0180175	0.0340825	0.0784415	0.22932	0.618607
a66	0.000483715	0.000409108	0.000560973	0.000604142	0.001374	0.00198185	0.00576042	0.00870759	0.0174249	0.0436776	0.157002	0.762013
a71	0.00218793	0.00149761	0.00128309	0.00106875	0.00318212	0.00419897	0.00903875	0.0108573	0.0184762	0.0620063	0.186592	0.699611
a9	0.00587859	0.0033845	0.00316994	0.00273304	0.00883693	0.00986186	0.0252401	0.0227557	0.0293677	0.0833409	0.251551	0.55388
a99	0.0967957	0.046407	0.025423	0.0223574	0.036295	0.0424232	0.048344	0.0378028	0.0359355	0.0756625	0.174037	0.358517
a97	0.229261	0.136629	0.0665773	0.0527606	0.0582892	0.0607499	0.0414364	0.0296175	0.022162	0.0345048	0.0720619	0.19595
a87	0.237161	0.157276	0.0899635	0.0764044	0.0815265	0.0642608	0.0422353	0.0320459	0.0179366	0.0208182	0.0425744	0.137797
a23	0.184967	0.13667	0.0948499	0.0928972	0.105639	0.0738478	0.0492462	0.0416832	0.0225925	0.0225882	0.0453821	0.129638
a99	0.142829	0.0762136	0.0576591	0.0622494	0.059431	0.0189954	0.0150044	0.0148304	0.0164922	0.0348105	0.0913032	0.410181
a97	0.0960113	0.0466738	0.0303916	0.0432147	0.0493262	0.016606	0.0171438	0.0170893	0.0240891	0.0689865	0.154079	0.436389
</S>	0.0332954	0.0159383	0.00959492	0.0205962	0.0266431	0.0143703	0.0208392	0.0225229	0.0287969	0.0540645	0.138811	0.614527
