 	le	couteau	est	bien	affilé	</S>
a23	0.391121	0.173079	0.0888327	0.0763999	0.136496	0.134072
a24	0.463724	0.170356	0.0977498	0.0649486	0.0969568	0.106265
a98	0.537123	0.206625	0.0950775	0.0765574	0.0518082	0.0328092
a66	0.59922	0.23867	0.0812001	0.0397593	0.0239021	0.0172483
a38	0.555429	0.241001	0.0963441	0.0512506	0.0301964	0.0257786
a30	0.364461	0.24158	0.154238	0.109292	0.0692421	0.0611867
a35	0.279348	0.220386	0.191048	0.152593	0.0892158	0.0674095
a30	0.319695	0.244767	0.191012	0.132382	0.0686814	0.0434638
a2	0.261568	0.215838	0.185592	0.162768	0.0989326	0.0753011
a57	0.185381	0.185794	0.168916	0.156795	0.143641	0.159472
a38	0.106809	0.1168	0.139706	0.200033	0.203518	0.233134
a24	0.163205	0.150902	0.152865	0.195612	0.188319	0.149097
a71	0.162556	0.149722	0.143587	0.169035	0.201969	0.173131
a26	0.101663	0.116349	0.124331	0.156251	0.221173	0.280233
a75	0.0939704	0.0980966	0.105063	0.142996	0.23434	0.325534
a14	0.0269763	0.0310949	0.0533715	0.11589	0.278067	0.4946
a94	0.0130495	0.0164495	0.0395662	0.111543	0.309862	0.50953
a24	0.00697504	0.00715546	0.0157297	0.0591163	0.266229	0.644794
a41	0.00464415	0.0056076	0.0123911	0.0482075	0.230778	0.698372
a94	0.00595057	0.00593193	0.0137752	0.0527497	0.273756	0.647837
a98	0.00423248	0.00426665	0.00834471	0.0308713	0.186146	0.766139
a90	0.00316381	0.00280672	0.00705583	0.0315687	0.218913	0.736492
a69	0.00253062	0.00240531	0.00559793	0.0262007	0.185604	0.777662
a58	0.00774252	0.00541067	0.00965871	0.0308344	0.182026	0.764328
a82	0.0096609	0.00703589	0.0113405	0.0351794	0.190581	0.746202
a87	0.0132877	0.0137123	0.0169067	0.0303643	0.154205	0.771524
</S>	0.0375397	0.0413601	0.0455145	0.071103	0.217264	0.587219
