 	il	a	revu	son	ancienne	femme	</S>
a23	0.266532	0.193001	0.145725	0.0818216	0.107043	0.103114	0.102763
a20	0.351128	0.182559	0.0850113	0.0705602	0.067147	0.109687	0.133908
a30	0.280308	0.2913	0.171001	0.117557	0.0629993	0.0415885	0.0352465
a35	0.531115	0.362662	0.0785468	0.0188346	0.00460773	0.00238871	0.00184559
a24	0.482745	0.340402	0.117613	0.0362667	0.0134007	0.00607265	0.00350018
a35	0.415719	0.336608	0.157834	0.050507	0.0210834	0.0109575	0.00729113
a71	0.299084	0.316972	0.224052	0.0859081	0.0380523	0.0213051	0.0146261
a38	0.180278	0.240395	0.264878	0.152508	0.0775535	0.0491834	0.035205
a94	0.173316	0.244604	0.286572	0.147947	0.0764233	0.0415549	0.0295823
a90	0.232172	0.271319	0.251523	0.118016	0.0655772	0.0365119	0.0248812
a76	0.0969847	0.1768	0.284884	0.19919	0.119829	0.0732495	0.0490635
a44	0.113742	0.161939	0.233911	0.180779	0.140539	0.0964395	0.0726491
a57	0.0579234	0.0912233	0.202739	0.200804	0.186211	0.146291	0.114809
a38	0.0136697	0.0274081	0.0998227	0.186274	0.2	0.237028	0.235798
a14	0.0182976	0.0363082	0.121275	0.190182	0.218712	0.217121	0.198105
a30	0.0186579	0.0474698	0.15336	0.220561	0.215059	0.17469	0.170202
a35	0.0192122	0.0357334	0.0885441	0.160977	0.185616	0.239315	0.270602
a94	0.0138863	0.0283605	0.0821693	0.14438	0.193634	0.250209	0.287362
a20	0.0105309	0.0175513	0.0440731	0.0979495	0.155984	0.286239	0.387673
a73	0.0140551	0.0262995	0.0516762	0.103053	0.149222	0.276041	0.379654
a32	0.0105063	0.0186071	0.0396084	0.0919333	0.145435	0.279918	0.413992
a75	0.00577146	0.00745916	0.014073	0.0495406	0.0952207	0.289495	0.53844
a14	0.00615854	0.00914525	0.019191	0.0567982	0.124716	0.27562	0.508371
a20	0.00681187	0.0100725	0.0227197	0.0700761	0.135149	0.261138	0.494033
a41	0.00471921	0.00733329	0.0187995	0.0630591	0.125522	0.275419	0.505148
a27	0.00265284	0.00346214	0.00849037	0.0340463	0.0897477	0.261387	0.600213
a54	0.00269097	0.00290616	0.00586553	0.0257833	0.0730808	0.279641	0.610032
a14	0.00470721	0.00522284	0.00968349	0.0376151	0.085244	0.267095	0.590433
a73	0.00835099	0.00981111	0.0175198	0.0522708	0.111055	0.247753	0.553239
a94	0.0040062	0.00441495	0.00786507	0.0278047	0.0795274	0.25069	0.625691
a20	0.00281088	0.00330323	0.00567277	0.0221352	0.06948	0.279395	0.617203
a7	0.00417118	0.00408452	0.00626273	0.0240334	0.0746015	0.274581	0.612266
a57	0.00426817	0.00449946	0.00721687	0.0229879	0.0695991	0.283947	0.607482
a87	0.0446125	0.0430708	0.0382516	0.0715731	0.129395	0.268772	0.404325
a23	0.0586935	0.0531154	0.0483022	0.0761087	0.123984	0.27426	0.365536
a87	0.127634	0.128279	0.113692	0.103678	0.119533	0.18546	0.221726
a23	0.0565153	0.0637376	0.0813531	0.112597	0.120672	0.239416	0.325708
a87	0.0537901	0.0730988	0.102019	0.11563	0.130446	0.222544	0.302471
</S>	0.0638785	0.0719586	0.0752663	0.107345	0.128436	0.229294	0.323821
