 	le	véhicule	du	prêtre	est	tombé	en	panne	</S>
a87	0.262877	0.153012	0.10101	0.0989467	0.0927658	0.0887657	0.0779168	0.0623445	0.0623616
a23	0.298528	0.132775	0.11385	0.0841768	0.0825943	0.0859554	0.0666267	0.057365	0.0781299
a79	0.307319	0.191333	0.127381	0.0790225	0.0635818	0.0459902	0.0418261	0.0516258	0.0919205
a15	0.291513	0.207047	0.111595	0.0818656	0.0547884	0.0391494	0.0457355	0.0647234	0.103583
a25	0.327839	0.295996	0.147967	0.0686839	0.0402319	0.0231424	0.0243996	0.0303949	0.0413456
a44	0.291137	0.291456	0.176125	0.0713465	0.0480161	0.02672	0.0248853	0.0303706	0.0399434
a58	0.200255	0.232326	0.173839	0.101161	0.0786182	0.0507517	0.0475942	0.0511846	0.064271
a38	0.148805	0.186582	0.172841	0.128608	0.104481	0.0694188	0.0611284	0.058317	0.0698201
a25	0.101091	0.14335	0.155412	0.140432	0.124044	0.0861515	0.0821355	0.0765172	0.0908661
a56	0.100436	0.130014	0.136643	0.131902	0.13409	0.0981641	0.0987754	0.0810478	0.0889281
a94	0.0709325	0.094339	0.12536	0.1524	0.154856	0.124477	0.119887	0.0779205	0.0798277
a61	0.0238572	0.0313307	0.0570476	0.117395	0.16845	0.164281	0.179541	0.122459	0.135639
a21	0.0126363	0.0150037	0.0283549	0.0759685	0.143406	0.174304	0.2128	0.161691	0.175835
a85	0.0160394	0.0174206	0.0258097	0.0542674	0.101709	0.156833	0.227975	0.199068	0.200877
a26	0.0142448	0.0168277	0.0232142	0.0396154	0.0628547	0.101829	0.180359	0.248826	0.312229
a75	0.00674546	0.00575942	0.00846163	0.019265	0.0407459	0.0799406	0.171294	0.247608	0.42018
a5	0.00735715	0.0080709	0.010037	0.0195346	0.0309341	0.0588719	0.141307	0.293533	0.430354
a75	0.00796149	0.0065676	0.00764032	0.0144464	0.0249991	0.0500854	0.127157	0.291324	0.469819
a56	0.00556149	0.00476773	0.00572943	0.010959	0.0215365	0.0425769	0.115843	0.294274	0.498752
a70	0.00133986	0.00122954	0.00194413	0.00530646	0.0124232	0.0327237	0.0903923	0.244862	0.609779
a61	0.00167021	0.00142044	0.00199874	0.00373869	0.00947568	0.026686	0.0843803	0.254508	0.616122
a88	0.00184342	0.00137317	0.00180096	0.00346361	0.00809465	0.0252056	0.0790243	0.243067	0.636128
a75	0.00325243	0.00291902	0.00404506	0.00626202	0.0119766	0.0277915	0.0805999	0.248445	0.614709
a56	0.00520873	0.00390764	0.00432826	0.00512706	0.0101979	0.0256776	0.0828265	0.258898	0.603828
a34	0.000861371	0.000847278	0.00145758	0.00284574	0.00669458	0.0200715	0.0640965	0.237503	0.665623
a75	0.00125615	0.00102199	0.00138024	0.00245174	0.0055408	0.0169496	0.0617035	0.233658	0.676038
a47	0.00261807	0.00212464	0.00289523	0.00407195	0.00803063	0.0218771	0.0728446	0.251095	0.634442
a36	0.0032105	0.00260118	0.00384605	0.00691542	0.0167453	0.0407465	0.109888	0.27888	0.537167
a26	0.00439934	0.00411473	0.00685108	0.014766	0.0290051	0.0673248	0.149801	0.263521	0.460218
a57	0.0261883	0.0186333	0.0195012	0.0350888	0.0419144	0.073743	0.132239	0.249522	0.403171
a87	0.0452942	0.0316249	0.0334896	0.0540079	0.0679184	0.107471	0.154806	0.226027	0.279361
a97	0.0440494	0.0338468	0.037284	0.0578688	0.0772889	0.128472	0.181316	0.211911	0.227963
a87	0.0443773	0.0327994	0.0300261	0.041298	0.0616445	0.108653	0.160005	0.221059	0.300138
a23	0.0291163	0.0214566	0.0253933	0.0435835	0.0650431	0.107235	0.147591	0.219479	0.341101
a87	0.0241525	0.0199859	0.0252408	0.044115	0.0669363	0.121814	0.187226	0.229608	0.280922
a23	0.0205628	0.0165027	0.0202507	0.0403966	0.0600925	0.108519	0.151595	0.241088	0.340993
</S>	0.0230245	0.0193026	0.0223674	0.0379049	0.0583264	0.112547	0.167452	0.251866	0.307209
