 	maman	est	en	train	de	somnoler	</S>
a66	0.0904399	0.15747	0.244974	0.364528	0.112373	0.0247704	0.00544489
a87	0.336404	0.185909	0.14036	0.159394	0.121376	0.0438712	0.0126874
a23	0.32852	0.17037	0.135588	0.18773	0.153945	0.0180104	0.00583644
a83	0.333398	0.209243	0.14512	0.128049	0.112143	0.0396949	0.0323525
a54	0.175088	0.171645	0.156809	0.264879	0.139629	0.0509055	0.0410434
a47	0.143193	0.165396	0.158495	0.253116	0.200629	0.0597487	0.0194228
a98	0.0949359	0.135649	0.161779	0.228475	0.250452	0.114148	0.0145606
a15	0.110427	0.14262	0.159818	0.179413	0.217051	0.167071	0.0236
a79	0.112373	0.116764	0.122506	0.136033	0.196334	0.244458	0.0715323
a92	0.159637	0.133283	0.119954	0.110892	0.167299	0.206177	0.102758
a85	0.183419	0.14826	0.132912	0.111077	0.108804	0.170919	0.144609
a5	0.0821939	0.106656	0.118015	0.116885	0.170713	0.188584	0.216953
a21	0.154384	0.165057	0.163195	0.125532	0.0944138	0.120432	0.176987
a5	0.0994558	0.137131	0.159278	0.132241	0.106444	0.1325	0.23295
a12	0.0552802	0.0877287	0.122882	0.11383	0.127437	0.169593	0.32325
a21	0.035915	0.0516939	0.0836926	0.0881874	0.123646	0.196908	0.419956
a5	0.0261947	0.0361342	0.0577202	0.058661	0.0966418	0.179539	0.545109
a43	0.0144233	0.0143628	0.0186219	0.0230637	0.0577715	0.164647	0.707109
a11	0.00715225	0.00682505	0.00812589	0.0115657	0.0389567	0.144239	0.783136
a66	0.00774468	0.0069282	0.0101824	0.0237603	0.058202	0.144501	0.748681
a70	0.0154304	0.0146232	0.0254966	0.062139	0.101787	0.133515	0.647009
a13	0.00567242	0.00570587	0.00813914	0.0173093	0.0490857	0.122088	0.792
a9	0.0197717	0.0198095	0.0290352	0.0655831	0.107418	0.152094	0.606288
a99	0.0671113	0.0507487	0.0779742	0.167847	0.160997	0.12256	0.352762
a87	0.1458	0.105919	0.136431	0.195831	0.171891	0.0980471	0.146081
a23	0.180238	0.153648	0.180069	0.198401	0.172942	0.0688829	0.0458186
a57	0.132615	0.05754	0.0499531	0.0473841	0.072376	0.0780161	0.562116
a87	0.0696621	0.03494	0.0432081	0.0554604	0.0732377	0.0840628	0.639429
</S>	0.0668962	0.0366697	0.0527089	0.0710631	0.134389	0.119153	0.51912
