 	j'	ai	découvert	le	terrier	d'	un	blaireau	dans	mon	champ	</S>
a66	0.28973	0.265974	0.183955	0.0499091	0.0338997	0.0409337	0.0347561	0.0260085	0.0233	0.0207588	0.0159069	0.0148674
a87	0.639447	0.25662	0.0428229	0.0160704	0.010354	0.00840543	0.00626969	0.00406305	0.00400449	0.00359627	0.00387094	0.00447593
a23	0.42708	0.324128	0.0957124	0.0426999	0.0277293	0.0145803	0.00974839	0.0119079	0.0134323	0.0111802	0.0110957	0.0107059
a83	0.328287	0.355436	0.148783	0.0564581	0.0371453	0.0158475	0.00748062	0.00792674	0.0102034	0.0104755	0.0116424	0.0103148
a24	0.398933	0.297217	0.17461	0.0554539	0.0319295	0.0104595	0.00544876	0.00600669	0.00554338	0.00501948	0.0048456	0.00453354
a18	0.320101	0.219191	0.202441	0.102927	0.0773856	0.0287963	0.0144611	0.0121623	0.00948022	0.00579481	0.00429629	0.00296366
a94	0.108177	0.107794	0.206785	0.183523	0.165494	0.0809742	0.0474211	0.0370155	0.0292872	0.0172543	0.0104237	0.00585075
a93	0.118795	0.0869002	0.119641	0.180807	0.177281	0.0996626	0.0583926	0.0473277	0.0428038	0.0317908	0.0227576	0.0138412
a56	0.0799485	0.0528214	0.0642249	0.211219	0.217456	0.132582	0.0748568	0.047986	0.0390038	0.0326359	0.0278774	0.0193881
a93	0.0561912	0.033368	0.0388912	0.212039	0.218166	0.148555	0.0852979	0.0540022	0.0443042	0.0406391	0.0394698	0.0290764
a4	0.0364969	0.0253306	0.0298466	0.156596	0.191854	0.156816	0.103123	0.0739048	0.0625506	0.0561474	0.0608093	0.0465242
a53	0.017638	0.0110706	0.0118602	0.0843636	0.150776	0.185929	0.147098	0.0994231	0.0766852	0.0700355	0.0782845	0.0668365
a90	0.0141229	0.00779545	0.00774679	0.0640473	0.124321	0.193955	0.178351	0.122741	0.0861672	0.0710428	0.070935	0.0587753
a92	0.0123899	0.00674389	0.00565437	0.0347723	0.0678712	0.152752	0.174143	0.145767	0.115926	0.0985695	0.0984188	0.0869922
a75	0.00513425	0.00258937	0.00234638	0.0120768	0.0246215	0.0903318	0.12325	0.130892	0.139708	0.143615	0.158372	0.167063
a92	0.00273229	0.00127038	0.00124433	0.00655936	0.0128152	0.0454915	0.0711732	0.0922986	0.121835	0.155422	0.21322	0.275939
a98	0.00155695	0.000662071	0.00057799	0.00345901	0.00700817	0.0214331	0.0407194	0.0756232	0.121272	0.176309	0.238247	0.313133
a79	0.000519304	0.000235901	0.000358048	0.00166769	0.00319379	0.00861559	0.0192048	0.0403303	0.0751947	0.147351	0.262977	0.440352
a44	0.00025411	0.000113189	0.00011787	0.000652795	0.00138774	0.00372678	0.00956534	0.0264508	0.0562685	0.132478	0.27461	0.494375
a18	0.000358399	0.000136841	0.000116362	0.000405334	0.00114946	0.00304344	0.00866149	0.0221443	0.0433468	0.123939	0.275064	0.521634
a26	0.00127669	0.000488655	0.00029687	0.000720076	0.0017431	0.00407417	0.0102992	0.0184671	0.0361287	0.0956557	0.230478	0.600371
a82	0.109378	0.0518827	0.0141311	0.0138811	0.0197377	0.0262998	0.0330811	0.0387868	0.046275	0.0847508	0.167139	0.394657
a87	0.282981	0.168426	0.0561897	0.0390045	0.0336636	0.0359151	0.0361833	0.0373723	0.0413401	0.0542478	0.0812459	0.133431
a23	0.303226	0.191257	0.0715879	0.0415206	0.0335696	0.0384825	0.0413135	0.0456464	0.0486365	0.0562901	0.0620813	0.0663891
a82	0.0497679	0.0324627	0.0135095	0.00770667	0.00754362	0.0124566	0.0215458	0.0468836	0.103254	0.179633	0.24347	0.281767
</S>	0.00585731	0.00520273	0.00292386	0.00249845	0.00299327	0.00575464	0.0126299	0.0318458	0.0750229	0.150103	0.300649	0.404519
