 	il	s'	est	levé	et	j'	en	ai	fait	autant	</S>
a87	0.264527	0.19856	0.0987292	0.0621053	0.0695643	0.0591694	0.0523062	0.0500716	0.0367712	0.042165	0.0660305
a23	0.184878	0.0969779	0.0778685	0.0697089	0.0925458	0.0888452	0.0788285	0.0737628	0.0648914	0.0640397	0.107654
a79	0.169902	0.104333	0.0865489	0.0845565	0.11869	0.10167	0.0743302	0.0584654	0.053771	0.0720993	0.0756331
a20	0.319145	0.235288	0.122964	0.0953705	0.0844517	0.0461529	0.0283676	0.0172198	0.0131062	0.0186956	0.0192386
a73	0.260371	0.258785	0.153188	0.103007	0.0748572	0.0549916	0.0383317	0.0252756	0.0154973	0.00980903	0.00588651
a94	0.170752	0.198727	0.178386	0.130444	0.105058	0.0812543	0.0572012	0.0379932	0.0208739	0.0118102	0.00750076
a4	0.13902	0.175204	0.189728	0.142299	0.109178	0.0836643	0.060878	0.041002	0.02645	0.0180703	0.0145077
a90	0.10894	0.149021	0.181477	0.141714	0.122067	0.0972728	0.0696417	0.0479022	0.032964	0.0251824	0.0238184
a76	0.0865462	0.105472	0.138799	0.126331	0.140064	0.122162	0.0885473	0.0636242	0.0447962	0.0397174	0.0439402
a73	0.0734845	0.08792	0.102099	0.0881605	0.126103	0.123005	0.101444	0.0822675	0.0715702	0.0689854	0.0749602
a94	0.0847405	0.0902492	0.109457	0.100225	0.128437	0.116517	0.0895315	0.0723932	0.0650453	0.0706275	0.0727761
a11	0.0681152	0.0845308	0.0970736	0.0872573	0.114157	0.113626	0.0977386	0.0838819	0.0791859	0.0849828	0.0894502
a24	0.0573231	0.0646092	0.0769305	0.0845707	0.111232	0.126049	0.118762	0.0973678	0.0830572	0.0835496	0.0965492
a9	0.0487312	0.0515904	0.0609008	0.0640902	0.0851875	0.106212	0.109694	0.105764	0.11269	0.112237	0.142904
a87	0.0677924	0.0634773	0.0688907	0.0780875	0.110993	0.134016	0.131512	0.110131	0.0884799	0.06989	0.0767303
a23	0.0425958	0.03677	0.0455577	0.0746403	0.129486	0.136021	0.137606	0.106055	0.0967328	0.0846204	0.109915
a30	0.0357642	0.0282583	0.0349802	0.0492842	0.0852071	0.104467	0.115078	0.0994882	0.0958037	0.121035	0.230635
a13	0.0204497	0.0181758	0.0285314	0.0500054	0.0885457	0.0868626	0.088252	0.0776365	0.0879431	0.161835	0.291763
a54	0.0154013	0.0142103	0.0230837	0.0463743	0.0855531	0.0899487	0.0950843	0.0829395	0.0936585	0.142017	0.31173
a73	0.0517347	0.0579184	0.0620119	0.0728357	0.0841425	0.0828944	0.0814802	0.0660355	0.0677974	0.117881	0.255269
a44	0.0347221	0.0422085	0.0478027	0.0630456	0.105348	0.114644	0.111665	0.0997645	0.089012	0.115008	0.176781
a98	0.0337605	0.0408318	0.0486878	0.0602237	0.0762403	0.090463	0.101307	0.0971632	0.0968811	0.124677	0.229765
a70	0.0336987	0.0389805	0.0415543	0.0465738	0.0634311	0.0720786	0.0777969	0.0895223	0.0929771	0.144645	0.298742
a93	0.0289794	0.0303686	0.0345653	0.0402606	0.0478707	0.0568575	0.0675201	0.0837015	0.108788	0.153224	0.347864
a90	0.0242323	0.0237962	0.025922	0.0345674	0.0483004	0.0587215	0.0753058	0.098562	0.126837	0.169621	0.314135
a98	0.0214175	0.0219081	0.0241413	0.0322131	0.0440995	0.0518857	0.0684676	0.0989229	0.136789	0.187049	0.313106
a41	0.0246169	0.0213731	0.0220842	0.0293258	0.0439131	0.0488934	0.0551331	0.078659	0.114926	0.187843	0.373233
a56	0.0175329	0.0163027	0.0187281	0.024335	0.0366327	0.0414114	0.0480144	0.0743571	0.117626	0.210171	0.394889
a34	0.0223419	0.0211361	0.0247172	0.0315221	0.0413614	0.0432749	0.0484457	0.0651642	0.0978799	0.192843	0.411314
a98	0.0153478	0.0135506	0.0163629	0.0226302	0.0333758	0.0365406	0.0420364	0.0594922	0.0948172	0.208307	0.45754
a9	0.0119528	0.010565	0.0121473	0.0172761	0.0251402	0.0294952	0.0321881	0.0450397	0.0812583	0.206432	0.528505
a87	0.00474716	0.00404266	0.0041157	0.00734079	0.0132235	0.0166029	0.020527	0.0286731	0.0597872	0.217453	0.623487
</S>	0.00570495	0.00444797	0.00288583	0.00296443	0.00450744	0.00590615	0.00918627	0.0193416	0.0526572	0.237298	0.6551
