 	cette	nourriture-ci	ira	chez	ngala	celle-là	ira	chez	apéndi	</S>
a23	0.20537	0.0952284	0.0950363	0.107679	0.128596	0.117987	0.145326	0.0427082	0.0311782	0.0308903
a87	0.401857	0.0577489	0.0723557	0.0783561	0.0690983	0.0811645	0.0738564	0.0408248	0.0456024	0.079136
a23	0.253201	0.122611	0.131773	0.0806797	0.0483897	0.0442507	0.0319437	0.0362641	0.0599559	0.190931
a99	0.386685	0.235215	0.0890244	0.0307304	0.0168649	0.0144477	0.0133996	0.0187774	0.0428842	0.151971
a62	0.477067	0.197861	0.0690979	0.0414713	0.0232712	0.0171155	0.0149378	0.0156067	0.0391437	0.104428
a41	0.50624	0.303564	0.0827387	0.0309874	0.0184213	0.0120138	0.010779	0.00665399	0.0113174	0.0172844
a5	0.395079	0.266176	0.115428	0.0516817	0.0292347	0.0215965	0.0207775	0.0139045	0.033643	0.0524783
a18	0.242979	0.271105	0.161988	0.092574	0.04994	0.0363987	0.0292863	0.0178331	0.043838	0.0540574
a66	0.126665	0.183848	0.195275	0.12754	0.063848	0.0565141	0.0493899	0.0383482	0.0784229	0.0801487
a62	0.0790461	0.0939556	0.152258	0.140838	0.0729448	0.0695902	0.0532032	0.0608497	0.128866	0.148448
a83	0.0842566	0.109616	0.207016	0.217296	0.114866	0.0854428	0.0566274	0.0308753	0.0484133	0.0455897
a62	0.0622383	0.069175	0.176168	0.220111	0.132702	0.100199	0.0670719	0.0441293	0.0645669	0.063638
a31	0.0647054	0.0597152	0.164085	0.243725	0.172514	0.118883	0.0719649	0.0274869	0.0400572	0.036864
a88	0.0556238	0.0448902	0.142004	0.246575	0.193178	0.136592	0.0840549	0.0293606	0.0353879	0.0323327
a75	0.0372938	0.0308712	0.0852131	0.242924	0.219361	0.159297	0.101344	0.0398219	0.0414671	0.0424079
a25	0.0644463	0.044784	0.103741	0.218476	0.188709	0.1269	0.081341	0.043994	0.0623216	0.0652865
