 	les	oiseaux	becquetaient	dans	la	cour	du	village	</S>
a23	0.359731	0.256362	0.159269	0.0735113	0.057998	0.0387912	0.0236928	0.016104	0.0145412
a87	0.296535	0.16175	0.166646	0.0802975	0.0589344	0.0492113	0.0475528	0.0554417	0.0836306
a10	0.161096	0.139283	0.168085	0.0952861	0.0588149	0.0553631	0.065102	0.0922639	0.164706
a87	0.191275	0.192694	0.193656	0.0688432	0.0488412	0.0471052	0.0575734	0.0750737	0.124939
a40	0.178536	0.177414	0.189873	0.073364	0.0572192	0.0542173	0.0622199	0.0799564	0.1272
a41	0.414195	0.402642	0.0995691	0.017158	0.0107811	0.00856662	0.0113939	0.0160005	0.0196944
a94	0.240004	0.505381	0.18132	0.0279504	0.0130152	0.00800565	0.00742869	0.00787461	0.00902032
a76	0.204953	0.434955	0.237174	0.0513892	0.0220167	0.0132256	0.01117	0.0117135	0.0134039
a32	0.208886	0.329511	0.224399	0.101534	0.0489951	0.0283603	0.0197653	0.0184325	0.0201179
a24	0.16882	0.283479	0.264734	0.123477	0.0548454	0.0315329	0.0229299	0.0235438	0.0266378
a88	0.164911	0.252349	0.316438	0.129337	0.052857	0.0271859	0.018009	0.0178078	0.0211041
a54	0.138462	0.186626	0.345807	0.176644	0.0729795	0.0323982	0.0169364	0.0141282	0.0160177
a73	0.130037	0.207149	0.37224	0.146991	0.066764	0.029857	0.0156513	0.014026	0.0172846
a84	0.0727808	0.123829	0.379905	0.1984	0.103059	0.0480976	0.02447	0.0219935	0.0274645
a38	0.0440005	0.0704128	0.331126	0.207495	0.125357	0.0653943	0.0438024	0.047738	0.0646733
a76	0.0552134	0.0903004	0.289902	0.19452	0.128638	0.0714718	0.0458386	0.0519864	0.0721288
a90	0.0801646	0.103173	0.294983	0.189781	0.110211	0.0720033	0.0461293	0.0450619	0.058493
a76	0.0607981	0.0850898	0.283755	0.216918	0.131116	0.0816765	0.0473487	0.042125	0.0511735
a94	0.0658237	0.0854912	0.194969	0.153405	0.106908	0.0911513	0.0803574	0.0932364	0.128658
a20	0.0458319	0.067222	0.200396	0.213137	0.147751	0.106541	0.0698779	0.0656738	0.0835697
a73	0.0533276	0.0635658	0.135463	0.140356	0.114559	0.103516	0.0993984	0.122684	0.167131
a94	0.0397545	0.0474595	0.145636	0.191366	0.149302	0.120818	0.0914162	0.0948394	0.119408
a58	0.0387025	0.0472942	0.111651	0.166965	0.157065	0.131594	0.100334	0.105337	0.141058
a12	0.0247754	0.025488	0.0732953	0.150973	0.173042	0.151205	0.113256	0.118879	0.169085
a41	0.0264659	0.027015	0.0565013	0.093297	0.121861	0.141057	0.143034	0.172503	0.218267
a98	0.0251028	0.0246895	0.0505873	0.081261	0.109203	0.13474	0.14545	0.18051	0.248457
a73	0.0294376	0.030945	0.0588369	0.0797289	0.105664	0.129765	0.141329	0.175511	0.248782
a84	0.0276887	0.0292718	0.0735045	0.101969	0.123358	0.131044	0.127619	0.15978	0.225764
a57	0.0144802	0.0123131	0.0240835	0.051308	0.0928918	0.138878	0.156931	0.181153	0.327962
a87	0.0145468	0.00779901	0.0117658	0.0284101	0.0567255	0.104012	0.154234	0.217169	0.405338
a23	0.0110923	0.00674515	0.0047154	0.0149223	0.036151	0.0834605	0.177573	0.291233	0.374108
a58	0.00679606	0.00419452	0.00311543	0.0136677	0.0290989	0.0675961	0.147209	0.26852	0.459803
a53	0.00492626	0.00427586	0.0075442	0.0268363	0.0363757	0.0633986	0.120475	0.246086	0.490082
a20	0.0091576	0.00859281	0.0187878	0.0497542	0.0567827	0.0750261	0.112585	0.223989	0.445325
a69	0.0182045	0.0147411	0.0317393	0.0387263	0.0475447	0.0608766	0.09365	0.209705	0.484813
a58	0.00944365	0.00879501	0.020566	0.0350727	0.0468533	0.0642146	0.102675	0.226786	0.485594
a82	0.00240971	0.00236426	0.00777927	0.0173136	0.0297377	0.054483	0.109491	0.254748	0.521674
a87	0.00222797	0.00157489	0.00371059	0.0117959	0.0237615	0.0482083	0.110731	0.269125	0.528864
a23	0.00319245	0.00202034	0.00174234	0.00649782	0.0174542	0.047117	0.132664	0.289458	0.499854
a99	0.00481393	0.00306589	0.00170667	0.00896365	0.0263282	0.0758031	0.171431	0.277044	0.430844
a54	0.0039884	0.0030631	0.00249867	0.0137474	0.0291872	0.0665006	0.143889	0.271237	0.465888
a73	0.00736699	0.00545934	0.0131471	0.0449632	0.0646097	0.101597	0.155678	0.22912	0.378059
a94	0.00186803	0.00213106	0.00780334	0.0245987	0.0397048	0.0749715	0.148386	0.269041	0.431496
a38	0.00224127	0.00237938	0.00728885	0.0212732	0.0360876	0.0665597	0.13112	0.266864	0.466186
a41	0.0019321	0.00198479	0.00639086	0.0169346	0.030994	0.0600125	0.124475	0.271255	0.486021
a94	0.00130613	0.00135994	0.00519448	0.0144453	0.0280893	0.0574177	0.130068	0.280152	0.481967
a54	0.00209676	0.00196729	0.00646949	0.0133881	0.022615	0.0454819	0.109456	0.274608	0.523918
a73	0.00394036	0.00352399	0.011151	0.0201164	0.0298813	0.0529436	0.11436	0.256696	0.507387
a84	0.00164132	0.00191664	0.00805692	0.0157941	0.0255827	0.0494562	0.117478	0.271896	0.508178
a57	0.0022387	0.0016943	0.00264475	0.00635309	0.0130169	0.0313457	0.0916881	0.26418	0.586839
a4	0.00383553	0.00201868	0.00202549	0.00565575	0.0120816	0.0357889	0.108161	0.260029	0.570404
a57	0.00202847	0.00119776	0.00231565	0.00697646	0.0135891	0.0367081	0.113764	0.281329	0.542091
a3	0.00128398	0.000856513	0.00157163	0.00540809	0.0128948	0.0353	0.092173	0.238436	0.612076
a87	0.00257326	0.00131657	0.00144978	0.00435489	0.00942682	0.0285735	0.0921381	0.236582	0.623585
</S>	0.00599289	0.00351043	0.0026171	0.00920491	0.0193939	0.0447855	0.107131	0.233896	0.573469
