 	ce	fusil	est	à	moi	donne-le	moi	</S>
a15	0.258762	0.19849	0.147766	0.13097	0.0922578	0.0789352	0.0585603	0.0342577
a10	0.125589	0.110306	0.140711	0.197897	0.157832	0.125689	0.0790881	0.0628875
a62	0.272052	0.117738	0.0879035	0.0901158	0.0864727	0.105576	0.119588	0.120554
a21	0.373266	0.209833	0.146101	0.110385	0.0654902	0.035765	0.0253301	0.0338297
a61	0.503592	0.241534	0.118472	0.0658965	0.0363449	0.0182651	0.00790226	0.00799328
a21	0.414278	0.299474	0.148568	0.0696957	0.0350689	0.0176065	0.00786278	0.00744629
a5	0.431522	0.287089	0.149708	0.0729435	0.0338624	0.015117	0.00534258	0.00441568
a24	0.392234	0.29657	0.158343	0.0784082	0.0373719	0.0201851	0.0087303	0.00815673
a88	0.287853	0.267091	0.204287	0.118786	0.0614543	0.03385	0.0138426	0.0128371
a61	0.19422	0.198368	0.209449	0.15406	0.105651	0.0723702	0.0354758	0.0304056
a75	0.17291	0.165908	0.177509	0.155267	0.131913	0.112397	0.0487454	0.0353507
a85	0.149798	0.133686	0.156375	0.148786	0.134752	0.12969	0.0742028	0.072709
a12	0.111738	0.103914	0.125373	0.130809	0.134266	0.163834	0.123294	0.106771
a96	0.101516	0.0912504	0.107512	0.121932	0.140356	0.179337	0.143278	0.114819
a75	0.0592939	0.0491998	0.0726555	0.0988019	0.142385	0.199571	0.181224	0.196869
a47	0.0661655	0.0524365	0.0742432	0.0894771	0.117717	0.180969	0.202498	0.216493
a2	0.0344907	0.0289353	0.0391624	0.0509588	0.0752746	0.145283	0.274963	0.350932
a57	0.0086557	0.00578042	0.00880818	0.0173484	0.0356139	0.0836963	0.264462	0.575635
a87	0.00495165	0.00367439	0.00689607	0.0160983	0.0393464	0.0961033	0.243861	0.589069
a79	0.062889	0.045191	0.0538801	0.0842725	0.104098	0.153865	0.205594	0.290211
a5	0.0329262	0.0184407	0.0232293	0.0378857	0.0602858	0.133787	0.305949	0.387497
a18	0.0147637	0.00811738	0.0110219	0.019649	0.0362644	0.0923509	0.294993	0.52284
a75	0.00227982	0.00154279	0.00296681	0.00678404	0.0181206	0.0646073	0.245285	0.658413
a85	0.00271034	0.00195493	0.00328044	0.00628122	0.0149158	0.0522466	0.266158	0.652453
a5	0.00676444	0.00556039	0.00862707	0.0142636	0.0248036	0.0698297	0.28369	0.586461
a18	0.0138358	0.00968873	0.0134742	0.0202562	0.0341656	0.0838505	0.268609	0.55612
a31	0.00209599	0.00159302	0.00330345	0.00676892	0.0184154	0.0659509	0.258763	0.64311
a21	0.00228214	0.00176068	0.00331169	0.00684881	0.0188863	0.0697872	0.270352	0.626771
a85	0.00381568	0.00294015	0.005653	0.0112805	0.0264691	0.0781014	0.246967	0.624773
a36	0.00890946	0.0078346	0.0151504	0.0263179	0.0430534	0.0857974	0.2558	0.557136
a2	0.00591668	0.00639691	0.0115319	0.0233107	0.0489751	0.100742	0.232915	0.570212
a57	0.0351329	0.0239188	0.0322419	0.0515611	0.0791917	0.123477	0.22501	0.429467
a87	0.143808	0.0743131	0.056282	0.0702461	0.0748884	0.110823	0.206002	0.263638
a23	0.13958	0.0710679	0.053216	0.0705731	0.0819088	0.140186	0.216869	0.2266
a87	0.0723372	0.0355854	0.0277109	0.0395749	0.0570187	0.116711	0.250846	0.400216
a23	0.0287435	0.0189304	0.0220239	0.0376909	0.0621916	0.131359	0.269332	0.429728
a87	0.0224171	0.0125107	0.01337	0.0236729	0.0422493	0.109807	0.281348	0.494625
</S>	0.0104375	0.00824968	0.0118718	0.0231059	0.044984	0.115115	0.288667	0.497569
